ÈÕÆÚ,000060.SZ,000426.SZ,000603.SZ,000612.SZ,000630.SZ,000688.SZ,000751.SZ,000758.SZ,000807.SZ,000878.SZ,000933.SZ,002114.SZ,002160.SZ,002171.SZ,002203.SZ,002295.SZ,002379.SZ,002501.SZ,002540.SZ,002578.SZ,002806.SZ,002824.SZ,300328.SZ,300337.SZ,300697.SZ,600219.SH,600255.SH,600331.SH,600338.SH,600362.SH,600490.SH,600497.SH,600531.SH,600595.SH,600768.SH,600888.SH,600961.SH,601020.SH,601137.SH,601168.SH,601212.SH,601388.SH,601600.SH,601677.SH,603003.SH,603115.SH,603527.SH,603876.SH,688388.SH,000060.SZ,000426.SZ,000603.SZ,000612.SZ,000630.SZ,000688.SZ,000751.SZ,000758.SZ,000807.SZ,000878.SZ,000933.SZ,002114.SZ,002160.SZ,002171.SZ,002203.SZ,002295.SZ,002379.SZ,002501.SZ,002540.SZ,002578.SZ,002806.SZ,002824.SZ,300328.SZ,300337.SZ,300697.SZ,600219.SH,600255.SH,600331.SH,600338.SH,600362.SH,600490.SH,600497.SH,600531.SH,600595.SH,600768.SH,600888.SH,600961.SH,601020.SH,601137.SH,601168.SH,601212.SH,601388.SH,601600.SH,601677.SH,603003.SH,603115.SH,603527.SH,603876.SH,688388.SH,000060.SZ,000426.SZ,000603.SZ,000612.SZ,000630.SZ,000688.SZ,000751.SZ,000758.SZ,000807.SZ,000878.SZ,000933.SZ,002114.SZ,002160.SZ,002171.SZ,002203.SZ,002295.SZ,002379.SZ,002501.SZ,002540.SZ,002578.SZ,002806.SZ,002824.SZ,300328.SZ,300337.SZ,300697.SZ,600219.SH,600255.SH,600331.SH,600338.SH,600362.SH,600490.SH,600497.SH,600531.SH,600595.SH,600768.SH,600888.SH,600961.SH,601020.SH,601137.SH,601168.SH,601212.SH,601388.SH,601600.SH,601677.SH,603003.SH,603115.SH,603527.SH,603876.SH,688388.SH,000060.SZ,000426.SZ,000603.SZ,000612.SZ,000630.SZ,000688.SZ,000751.SZ,000758.SZ,000807.SZ,000878.SZ,000933.SZ,002114.SZ,002160.SZ,002171.SZ,002203.SZ,002295.SZ,002379.SZ,002501.SZ,002540.SZ,002578.SZ,002806.SZ,002824.SZ,300328.SZ,300337.SZ,300697.SZ,600219.SH,600255.SH,600331.SH,600338.SH,600362.SH,600490.SH,600497.SH,600531.SH,600595.SH,600768.SH,600888.SH,600961.SH,601020.SH,601137.SH,601168.SH,601212.SH,601388.SH,601600.SH,601677.SH,603003.SH,603115.SH,603527.SH,603876.SH,688388.SH,000060.SZ,000426.SZ,000603.SZ,000612.SZ,000630.SZ,000688.SZ,000751.SZ,000758.SZ,000807.SZ,000878.SZ,000933.SZ,002114.SZ,002160.SZ,002171.SZ,002203.SZ,002295.SZ,002379.SZ,002501.SZ,002540.SZ,002578.SZ,002806.SZ,002824.SZ,300328.SZ,300337.SZ,300697.SZ,600219.SH,600255.SH,600331.SH,600338.SH,600362.SH,600490.SH,600497.SH,600531.SH,600595.SH,600768.SH,600888.SH,600961.SH,601020.SH,601137.SH,601168.SH,601212.SH,601388.SH,601600.SH,601677.SH,603003.SH,603115.SH,603527.SH,603876.SH,688388.SH,000060.SZ,000426.SZ,000603.SZ,000612.SZ,000630.SZ,000688.SZ,000751.SZ,000758.SZ,000807.SZ,000878.SZ,000933.SZ,002114.SZ,002160.SZ,002171.SZ,002203.SZ,002295.SZ,002379.SZ,002501.SZ,002540.SZ,002578.SZ,002806.SZ,002824.SZ,300328.SZ,300337.SZ,300697.SZ,600219.SH,600255.SH,600331.SH,600338.SH,600362.SH,600490.SH,600497.SH,600531.SH,600595.SH,600768.SH,600888.SH,600961.SH,601020.SH,601137.SH,601168.SH,601212.SH,601388.SH,601600.SH,601677.SH,603003.SH,603115.SH,603527.SH,603876.SH,688388.SH
2015/6/25,-5.0108,-8.0228,-4.3686,6.3742,0,0,-5.764,-6.4489,-7.5356,0,-1.494,5.2501,-7.4941,-9.4502,0,-6.8847,0,-6.5607,-5.3073,-3.0967,,,-8.4959,-1.9309,,-4.802,0.1894,-6.6307,1.5412,-5.9136,-7.8174,-7.0879,0,0,-1.3809,-6.2789,-6.2678,,-6.4214,-5,,-9.9791,-3.4973,-6.2406,0.6565,,,,,4.3314,5.1955,3.435,11.5189,,,7.1125,3.2317,3.4021,,5.986,32.9318,4.1909,4.6172,,3.0905,,5.8919,4.6733,4.7751,,,1.8447,17.1528,,3.865,10.1735,3.5296,4.4057,2.5814,4.4409,3.2991,,,4.1272,3.4525,2.957,,1.4126,3.5665,,2.8883,3.3209,1.9495,7.8218,,,,,45332967779,8558613541,12350394510,12307284889,23996074288,5053300278,14521364587,20402338623,13974869627,34701602922,18795136493,2196010291,5130200750,8162306636,18575870292,4460545109,5629885650,12237991655,11951836969,3400559425,,,7985600000,4702700855,,32037583279,16544475000,12497520000,5424499989,51507640592,21800460000,28198454650,8128253863,15436563798,3916118016,9092582865,8676682685,,6235000000,28071740000,,11491480000,84596008589,7470630000,2359297680,,,,,103.4931,65.5576,59.8961,43.3625,107.3526,60.1777,164.8558,83.8914,-36.9123,473.6358,-51.2809,262.6816,469.8107,191.5088,47.013,-108.6676,-22.5571,42.8904,79.4611,156.2004,,,163.243,211.511,,35.0918,716.2706,-72.778,634.5186,30.1493,350.8831,174.9662,346.6978,415.9348,1505.8299,-17.1283,217.9389,,89.9114,96.7621,,381.9005,-8.115,43.8521,1005.2065,,,,,8.068,3.8534,20.2182,3.2693,2.1767,16.0961,7.507,4.8277,5.0281,6.2915,2.738,8.6913,11.147,9.1507,6.5519,7.7486,5.9529,4.9655,7.1501,5.5788,,,12.7659,6.8094,,1.7676,9.3483,5.3879,143.6423,1.8792,13.3845,3.9205,5.9825,3.24,39.6198,2.8478,11.6844,,3.1283,2.4691,,5.2312,4.6542,2.8122,9.4423,,,,,1.9772,9.1494,19.09,2.9443,0.3634,19.671,3.3315,1.2228,0.9029,0.5561,0.7842,10.4122,4.6457,1.2204,1.7613,2.5791,3.8254,8.83,7.8624,4.1845,,,15.517,8.2345,,2.2793,3.1777,6.5461,3.5187,0.4322,10.1132,1.4922,0.9154,1.8347,4.648,1.7063,0.5745,,2.185,1.1577,,2.6638,0.9283,1.1941,1.4082,,,,
2015/6/26,-10.0045,-5.0084,-9.9929,-9.9611,0,0,-9.8058,-10.0089,-10.022,0,-10.0101,-10.0157,-10,-10,0,-10.0082,0,-9.9835,-9.9705,-9.9766,,,-9.986,-10.0032,,-10,-10.0189,-9.9917,-10.0117,-9.9919,-9.9729,-9.9941,0,0,-10.0068,-10.0141,-9.9696,,-10,-10.017,,-10.0186,-1.812,-9.9302,-10,,,,,3.5677,4.9493,2.3643,7.2294,,,7.9538,3.2214,4.2575,,3.6401,11.8328,3.8261,4.2173,,3.8747,,6.4057,4.413,4.3806,,,1.6326,5.6293,,4.6256,7.4217,4.7306,3.8512,2.717,4.6486,3.0362,,,1.8229,3.2561,2.8482,,1.5583,4.4546,,2.3716,5.2214,2.266,7.0638,,,,,40797609475,8129960415,11116236600,11081345227,23996074288,5053300278,13097424952,18319731367,12574304499,34701602922,16913722425,1976064249,4617180675,7346075973,18575870292,4014126174,5629885650,11016206421,10760178888,3061298625,,,7188160000,4232281430,,28833824951,14886900000,11248800000,4881416656,46361027028,19626330000,25380276746,8128253863,15436563798,3524238720,8182042127,7811651706,,5611500000,25259800000,,10340200000,83063125081,6728780000,2123367912,,,,,93.1391,62.2742,53.9108,39.0431,107.3526,60.1777,148.6904,75.328,-33.2129,473.6358,-46.1477,236.3722,422.8296,172.3579,47.013,-97.792,-22.5571,38.6084,71.5384,140.6169,,,146.9416,190.3531,,31.5826,644.5082,-65.5062,570.9926,27.1368,315.89,157.4799,346.6978,415.9348,1355.144,-15.4131,196.2113,,80.9202,87.0694,,343.6396,-7.968,39.4975,904.6859,,,,,7.2608,3.6604,18.1979,2.9436,2.1767,16.0961,6.7709,4.3349,4.5242,6.2915,2.464,7.8208,10.0323,8.2357,6.5519,6.9731,5.9529,4.4698,6.4372,5.0222,,,11.4911,6.1283,,1.5908,8.4117,4.8496,129.2613,1.6915,12.0497,3.5286,5.9825,3.24,35.6551,2.5627,10.5195,,2.8154,2.2218,,4.7071,4.5699,2.533,8.4981,,,,,1.7794,8.6912,17.1823,2.651,0.3634,19.671,3.0048,1.098,0.8124,0.5561,0.7057,9.3693,4.1811,1.0983,1.7613,2.321,3.8254,7.9484,7.0785,3.7671,,,13.9675,7.4108,,2.0513,2.8593,5.892,3.1665,0.3891,9.1047,1.343,0.9154,1.8347,4.1829,1.5355,0.5173,,1.9665,1.0418,,2.3969,0.9114,1.0755,1.2674,,,,
2015/6/29,-10.0051,-6.3389,-9.9921,-8.7295,0,0,1.507,-9.8917,-5.7528,0,-1.1236,-9.9956,-9.8453,-10.0088,0,-9.9864,0,-9.9939,-9.9607,-9.9567,,,-10.0031,-9.9859,,-7.9646,-9.979,-9.8165,-9.9903,-9.9373,-10.0226,-9.9869,0,0,-9.981,-10.0313,-9.9932,,-9.9234,-4.2453,,-10,5.421,-8.8796,-9.994,,,,,4.8586,4.6258,3.9412,6.2313,,,9.3015,4.2873,4.0561,,5.1101,11.011,6.4565,4.1492,,4.1082,,7.3767,4.8153,6.0132,,,1.766,5.4979,,5.5065,8.5771,6.1091,5.6362,3.863,5.1547,3.7384,,,2.6016,5.1634,3.5929,,2.0684,4.9752,,3.0846,6.6453,2.343,5.9229,,,,,36715787001,7614613398,10005494481,10114002212,23996074288,5053300278,13294802723,16507592585,11850935697,34701602922,16723680600,1778544077,4162605925,6610820573,18575870292,3613260192,5629885650,9915257089,9688391738,2756494000,,,6469120000,3809650645,,26537325619,13401337500,10144560000,4393749991,41753977789,17659260000,22845584193,8128253863,15436563798,3172483584,7361273011,7031013994,,5054650000,24187450000,,9306180000,87565970385,6131290000,1911159344,,,,,83.8205,58.3267,48.524,35.6348,107.3526,60.1777,150.9311,67.8767,-31.3023,473.6358,-45.6291,212.7453,381.2008,155.1069,47.013,-88.0261,-22.5571,34.7499,64.4127,126.6161,,,132.2429,171.3447,,29.0672,580.1927,-59.0757,513.9489,24.4401,284.2296,141.7526,346.6978,415.9348,1219.8868,-13.8669,176.6034,,72.8902,83.3731,,309.2756,-8.3999,35.9902,814.2719,,,,,6.5344,3.4284,16.3795,2.6866,2.1767,16.0961,6.8729,3.9061,4.2639,6.2915,2.4363,7.0391,9.0446,7.4114,6.5519,6.2767,5.9529,4.0231,5.796,4.5222,,,10.3416,5.5163,,1.4641,7.5723,4.3735,116.3478,1.5234,10.842,3.1762,5.9825,3.24,32.0964,2.3056,9.4683,,2.536,2.1275,,4.2364,4.8176,2.3081,7.6488,,,,,1.6013,8.1402,15.4655,2.4196,0.3634,19.671,3.0501,0.9893,0.7657,0.5561,0.6978,8.4328,3.7695,0.9884,1.7613,2.0892,3.8254,7.1541,6.3734,3.392,,,12.5703,6.6707,,1.888,2.574,5.3136,2.8501,0.3504,8.1921,1.2089,0.9154,1.8347,3.7654,1.3814,0.4656,,1.7714,0.9975,,2.1572,0.9608,0.98,1.1407,,,,
2015/6/30,4.3796,4.4276,9.8678,3.4091,0,0,8.8017,7.2092,6.7532,0,7.0455,-3.6857,4.2902,7.8883,0,1.8154,0,8.1923,5.5313,3.5577,,,8.0332,3.4104,,7.7991,4.2007,8.9522,3.6757,6.9085,4.3551,6.4964,0,0,-2.1922,4.9652,4.9512,,9.3152,7.5862,,10.0229,2.0788,7.0634,0.0671,,,,,5.9878,5.1395,3.8103,6.4167,,,9.0064,4.063,3.3415,,4.2273,19.7329,6.3676,5.8367,,6.7627,,9.6254,5.5058,7.5741,,,2.5546,10.2465,,5.1311,9.7468,5.9162,4.3831,3.7778,6.4558,3.8134,,,5.8942,6.0772,3.7099,,1.9847,4.3337,,3.4896,6.9185,2.4407,9.6209,,,,,38321845613,7951756306,10992820809,10458970224,23996074288,5053300278,14464971861,17697653874,12651258627,34701602922,17901939915,1713001958,4341188863,7144074819,18654575149,3677947894,5650093650,10727542877,10224285313,2854561575,,,6988800000,3882530526,,28607010202,13964287500,11052720000,4555249990,44638571682,18428340000,24329713385,8128253863,15436563798,3102935040,7726771758,7379136217,,5525500000,26022360000,,10238930000,89386269551,6564370000,1912441571,,,,,87.4914,60.9092,53.3122,36.8497,107.3526,60.1777,164.2156,72.7701,-33.4162,473.6358,-48.8439,204.904,397.555,167.3422,47.013,-89.6242,-22.5571,37.5967,67.9756,131.1207,,,142.8663,177.1883,,31.3341,604.5649,-64.3643,532.84,26.1285,296.6081,150.9614,346.6978,415.9348,1193.1439,-14.5555,185.3475,,79.6801,89.6979,,340.2741,-8.5745,38.5324,814.8182,,,,,6.8206,3.5801,17.9958,2.7782,2.1767,16.0961,7.4779,4.1877,4.5519,6.2915,2.6079,6.7796,9.4326,7.996,6.5519,6.3907,5.9529,4.3527,6.1166,4.683,,,11.1724,5.7044,,1.5783,7.8904,4.7651,120.6243,1.6286,11.3142,3.3826,5.9825,3.24,31.3928,2.4201,9.9371,,2.7723,2.2889,,4.661,4.9177,2.4711,7.6539,,,,,1.6715,8.5007,16.9916,2.5021,0.3634,19.671,3.3186,1.0607,0.8174,0.5561,0.747,8.122,3.9312,1.0664,1.7613,2.1271,3.8254,7.7402,6.7259,3.5127,,,13.5801,6.8982,,2.0352,2.6821,5.7893,2.9549,0.3746,8.5489,1.2875,0.9154,1.8347,3.6829,1.45,0.4886,,1.9364,1.0732,,2.3734,0.9808,1.0492,1.1415,,,,
2015/7/1,-10.0054,-9.9939,-9.984,-6.9597,0,0,-5.2632,-7.5395,-8.0292,0,-9.6603,-10.0201,0.2244,-6.4033,0,3.0213,0,-8.01,-5.5172,-9.8422,,,-10,-10.0076,,-8.5233,-9.9664,-6.2558,1.8074,-9.9954,-10.0321,-10.0069,0,0,-10,-9.9585,-10.0071,,-5.1751,-8.9744,,-0.6767,-9.1104,-6.5363,-9.9899,,,,,4.2693,3.9011,5.0428,5.618,,,8.6816,3.3113,2.6362,,3.8122,18.728,5.9703,5.3676,,11.3219,,8.1551,5.2617,6.3544,,,2.3398,12.9619,,3.922,7.4101,5.1155,4.7405,3.0812,5.0429,3.1597,,,3.4513,4.1947,2.5209,,2.1401,3.8069,,2.9077,4.5863,2.0993,8.6655,,,,,34487599630,7157062308,9895301811,9731056545,23996074288,5053300278,13703657553,16363342731,11635464138,34701602922,16172559308,1541356746,4350929750,6686620437,18654575149,3789069648,5650093650,9868265350,9660186813,2573611225,,,6289920000,3493983120,,26168751652,12572550000,10361280000,4637583324,40176789761,16579590000,21895074486,8128253863,15436563798,2792641536,6957300711,6640695137,,5239550000,23687020000,,10169640000,81242825916,6135300000,1721389748,,,,,78.7376,54.8219,47.9896,34.285,107.3526,60.1777,155.5727,67.2836,-30.7331,473.6358,-44.1255,184.3723,398.447,156.6268,47.013,-92.332,-22.5571,34.5852,64.2252,118.2156,,,128.5796,159.456,,28.6634,544.3115,-60.3378,542.4708,23.5169,266.8521,135.8549,346.6978,415.9348,1073.8295,-13.106,166.7995,,75.5565,81.6481,,337.9713,-7.7934,36.0138,733.4184,,,,,6.1381,3.2223,16.1991,2.5849,2.1767,16.0961,7.0843,3.872,4.1864,6.2915,2.356,6.1003,9.4538,7.484,6.5519,6.5838,5.9529,4.004,5.7791,4.2221,,,10.0552,5.1336,,1.4438,7.104,4.467,122.8046,1.4658,10.1791,3.0441,5.9825,3.24,28.2535,2.1791,8.9426,,2.6288,2.0835,,4.6294,4.4697,2.3096,6.8893,,,,,1.5042,7.6511,15.2951,2.3279,0.3634,19.671,3.1439,0.9807,0.7518,0.5561,0.6748,7.3082,3.94,0.9981,1.7613,2.1914,3.8254,7.1202,6.3548,3.1669,,,12.2221,6.2079,,1.8617,2.4148,5.4271,3.0083,0.3372,7.6913,1.1586,0.9154,1.8347,3.3146,1.3056,0.4397,,1.8362,0.9769,,2.3574,0.8915,0.9807,1.0274,,,,
2015/7/2,-9.9821,-10.0269,-9.9777,-10.0394,0,0,-9.465,-9.9725,-10.0529,0,-9.9882,-10.0168,-10,-9.9951,0,0,0,-9.6599,-10,-4.7374,,,-10.0071,-9.9832,,-9.5341,-9.9502,-9.9602,0,-10.0207,-9.9911,-9.9772,0,0,-10.0096,-9.9539,-10.0079,,-8.0837,-9.3561,,-9.3291,-10.0236,-8.8889,-9.9814,,,,,3.9538,3.2447,3.4184,5.8312,,,7.6952,3.5804,2.6374,,3.6598,14.0932,4.8127,5.1908,,,,7.0788,4.7374,6.2801,,,2.0186,8.0429,,4.7166,6.0566,6.4029,,4.0412,5.1048,3.4302,,,5.5055,4.9434,3.0477,,1.8121,4.2198,,3.8055,4.0031,2.0556,8.8069,,,,,31045023934,6439429547,8907975483,8754119766,23996074288,5053300278,12406603546,14731516266,10465761394,34701602922,14557203795,1386962310,3915836775,6018282829,18654575149,3789069648,5650093650,8915004343,8694168131,2451689375,,,5660480000,3145173516,,23673789414,11321550000,9329280000,4637583324,36150809795,14923110000,19710569720,8128253863,15436563798,2513109888,6264776769,5976098166,,4816000000,21470830000,,9220900000,73099382280,5589940000,1549571330,,,,,70.8779,49.325,43.2013,30.843,107.3526,60.1777,140.8477,60.5738,-27.6436,473.6358,-39.7181,165.9042,358.6023,140.9717,47.013,-92.332,-22.5571,31.2443,57.8027,112.6153,,,115.7125,143.5373,,25.9306,490.1512,-54.3281,542.4708,21.1604,240.1907,122.3004,346.6978,415.9348,966.3437,-11.8014,150.1063,,69.4488,74.009,,306.4415,-7.0122,32.8125,660.2131,,,,,5.5254,2.8992,14.5828,2.3254,2.1767,16.0961,6.4138,3.4859,3.7656,6.2915,2.1207,5.4893,8.5084,6.736,6.5519,6.5838,5.9529,3.6172,5.2012,4.0221,,,9.0489,4.6211,,1.3061,6.3972,4.022,122.8046,1.319,9.1621,2.7404,5.9825,3.24,25.4254,1.9622,8.0477,,2.4163,1.8885,,4.1975,4.0217,2.1043,6.2016,,,,,1.3541,6.8839,13.769,2.0942,0.3634,19.671,2.8463,0.8829,0.6762,0.5561,0.6074,6.5761,3.546,0.8983,1.7613,2.1914,3.8254,6.4324,5.7194,3.0169,,,10.999,5.5881,,1.6842,2.1745,4.8866,3.0083,0.3034,6.9228,1.043,0.9154,1.8347,2.9828,1.1757,0.3957,,1.6878,0.8855,,2.1375,0.8021,0.8935,0.9249,,,,
2015/7/3,-10.0266,-10.0224,-9.9951,-9.9562,0,0,-10,-9.9755,-10,0,-10.0522,-10.0124,-10.0332,-9.973,0,0,0,-10.0151,-9.9757,-2.7027,,,-10.0119,-10.014,,-7.9042,-9.9448,-9.9558,0,-1.2055,-10.0099,-9.9831,-9.9891,0,-10.0053,-10.0307,-9.9735,,-5.9375,-9.9889,,0,-9.9607,-4.7346,-10.0124,,,,,4.8173,3.787,3.5395,4.749,,,5.9028,3.9395,2.8128,,2.7326,10.8824,5.1733,4.0375,,,,8.0501,3.7813,5.4467,,,2.4684,7.5033,,5.3626,6.4145,5.0992,,4.6296,4.6173,3.4897,0.1911,,4.369,4.0575,2.4962,,1.7952,4.7376,,,3.1881,2.0248,8.295,,,,,27932275851,5794041694,8017618706,7882538914,23996074288,5053300278,11165943191,13261970886,9419185255,34701602922,13093881743,1248093571,3522954313,5418076724,18654575149,3789069648,5650093650,8022161288,7826866688,2385427500,,,5093760000,2830214633,,21802567736,10195650000,8400480000,4637583324,35715007840,13429320000,17742847870,7316314229,15436563798,2261665152,5636375415,5380070723,,4530050000,19326130000,,9220900000,65818185618,5325280000,1394421863,,,,,63.7713,44.3814,38.8833,27.7722,107.3526,60.1777,126.7629,54.5312,-24.8792,473.6358,-35.7255,149.2931,322.6231,126.9126,47.013,-92.332,-22.5571,28.1152,52.0365,109.5716,,,104.1275,129.1634,,23.881,441.4068,-48.9193,542.4708,20.9053,216.1478,110.0911,312.0658,415.9348,869.6579,-10.6176,135.1354,,65.3253,66.6163,,306.4415,-6.3137,31.259,594.1098,,,,,4.9714,2.6087,13.1253,2.0939,2.1767,16.0961,5.7724,3.1381,3.389,6.2915,1.9075,4.9397,7.6547,6.0642,6.5519,6.5838,5.9529,3.255,4.6824,3.9134,,,8.143,4.1583,,1.2029,5.761,3.6216,122.8046,1.3031,8.245,2.4668,5.3849,3.24,22.8815,1.7653,7.245,,2.2728,1.6999,,4.1975,3.6211,2.0046,5.5807,,,,,1.2183,6.194,12.3928,1.8857,0.3634,19.671,2.5617,0.7948,0.6086,0.5561,0.5464,5.9177,3.1902,0.8087,1.7613,2.1914,3.8254,5.7882,5.1488,2.9354,,,9.8978,5.0285,,1.5511,1.9583,4.4001,3.0083,0.2997,6.2299,0.9389,0.824,1.8347,2.6844,1.0577,0.3562,,1.5875,0.797,,2.1375,0.7222,0.8512,0.8323,,,,
2015/7/6,-9.9631,-9.8919,-9.8406,-5.7108,0,0,-9.9747,1.9714,-7.1895,0,0,-10.0207,-9.6774,-10,0,0,0,-5.1883,-10,-3.3333,,,-9.2788,-9.9844,,5.8518,-9.9693,-9.9509,0,-2.0337,-10.022,-4.3233,0,0,-9.9941,-10.0114,-10,,-9.682,-8.1381,,0,-7.278,-2.7108,-9.977,,,,,5.1526,4.3602,4.7744,7.8027,,,8.0214,4.571,3.7273,,,13.193,5.9919,5.6415,,,,8.7664,5.5493,5.3894,,,3.7866,8.0083,,7.052,9.2643,6.9741,,4.2903,6.2932,4.6722,,,7.9875,6.1903,2.7183,,2.1134,5.8156,,,4.39,2.1474,9.3404,,,,,25149355378,5220898750,7228639185,7432381771,23996074288,5053300278,10052168555,13523423745,8741988929,34701602922,13093881743,1123025453,3182023250,4876269052,18654575149,3789069648,5650093650,7605948735,7044180019,2305913250,,,4621120000,2547634701,,23078400699,9179212500,7564560000,4637583324,34988671248,12083430000,16975769860,7316314229,15436563798,2035632384,5072096648,4842063651,,4091450000,17753350000,,9220900000,61027924656,5180920000,1255300233,,,,,57.4177,39.9912,35.057,26.1862,107.3526,60.1777,114.1187,55.6063,-23.0905,473.6358,-35.7255,134.3328,291.4016,114.2213,47.013,-92.332,-22.5571,26.6565,46.8328,105.9192,,,94.4657,116.2672,,25.2785,397.4016,-44.0514,542.4708,20.4801,194.4854,105.3315,312.0658,415.9348,782.7435,-9.5547,121.6218,,59.0005,61.195,,306.4415,-5.8542,30.4116,534.8354,,,,,4.4761,2.3506,11.8337,1.9743,2.1767,16.0961,5.1966,3.2,3.1453,6.2915,1.9075,4.4447,6.9139,5.4578,6.5519,6.5838,5.9529,3.0861,4.2141,3.783,,,7.3874,3.7431,,1.2733,5.1866,3.2612,122.8046,1.2766,7.4187,2.3602,5.3849,3.24,20.5947,1.5886,6.5205,,2.0528,1.5616,,4.1975,3.3576,1.9503,5.0239,,,,,1.0969,5.5813,11.1733,1.778,0.3634,19.671,2.3062,0.8105,0.5648,0.5561,0.5464,5.3247,2.8815,0.7279,1.7613,2.1914,3.8254,5.4879,4.6339,2.8375,,,8.9794,4.5265,,1.6419,1.763,3.9622,3.0083,0.2936,5.6055,0.8983,0.824,1.8347,2.4161,0.9518,0.3206,,1.4338,0.7322,,2.1375,0.6696,0.8281,0.7493,,,,
2015/7/7,-10,-9.9631,-10,-10.0515,0,0,-9.9579,-10,-10.0352,0,0,-9.9846,-10,0,0,0,0,-9.9735,-10.01,-10,,,-9.9855,-9.9942,,-9.9509,-10.0511,-9.9591,0,-9.7865,0,-9.9214,0,0,-9.9869,-9.9874,-10.0218,,-9.9842,-9.9329,,0,-7.5353,-9.9845,0,,,,,3.5592,1.6647,1.5517,3.1753,,,2.2747,2.6135,2.124,,,0.9084,2.0677,,,,,4.7269,1.9699,6.0612,,,1.278,1.0378,,5.2256,2.8059,2.5855,,6.0137,,4.8484,,,0.3811,2.8752,0.487,,1.0482,6.7777,,,5.4392,1.7632,,,,,,22634419841,4700735406,6505775266,6685312469,23996074288,5053300278,9051181223,12171081371,7864711871,34701602922,13093881743,1010895415,2863820925,4876269052,18654575149,3789069648,5650093650,6847367794,6339056894,2075321925,,,4159680000,2293018408,,20781901366,8256600000,6811200000,4637583324,31564513030,12083430000,15291533361,7316314229,15436563798,1832336640,4565528209,4356802370,,3682950000,15989930000,,9220900000,56429274132,4663630000,1255300233,,,,,51.676,36.0069,31.5513,23.5541,107.3526,60.1777,102.7548,50.0457,-20.7733,473.6358,-35.7255,120.9202,262.2614,114.2213,47.013,-92.332,-22.5571,23.9979,42.1448,95.3273,,,85.0329,104.6472,,22.7631,357.4583,-39.6643,542.4708,18.4758,194.4854,94.8811,312.0658,415.9348,704.572,-8.6004,109.4332,,53.1097,55.1166,,306.4415,-5.4131,27.3752,534.8354,,,,,4.0285,2.1164,10.6503,1.7758,2.1767,16.0961,4.6791,2.88,2.8297,6.2915,1.9075,4.0009,6.2225,5.4578,6.5519,6.5838,5.9529,2.7783,3.7923,3.4047,,,6.6497,3.369,,1.1466,4.6653,2.9364,122.8046,1.1516,7.4187,2.126,5.3849,3.24,18.538,1.4299,5.8671,,1.8478,1.4064,,4.1975,3.1046,1.7556,5.0239,,,,,0.9872,5.0252,10.0559,1.5993,0.3634,19.671,2.0765,0.7294,0.5081,0.5561,0.5464,4.793,2.5933,0.7279,1.7613,2.1914,3.8254,4.9405,4.1701,2.5538,,,8.0828,4.0741,,1.4785,1.5858,3.5676,3.0083,0.2649,5.6055,0.8092,0.824,1.8347,2.1748,0.8568,0.2885,,1.2907,0.6595,,2.1375,0.6192,0.7454,0.7493,,,,
2015/7/8,0,0,-6.7751,0,0,0,-9.9688,-10,0,0,0,-9.9829,0,0,0,0,0,0,-10.0111,0,,,0,0,,0,0,-10,0,-9.9934,0,-10.0327,0,0,-10,-9.9719,-10.0484,,-9.9825,-9.9851,,0,-10.017,-9.9742,0,,,,,,,11.5922,,,,0.4004,11.832,,,,18.6749,,,,,,,8.0232,,,,,,,,,0.5554,,2.364,,3.7293,,,0.0951,0.5995,0.132,,0.2963,5.1054,,,2.8459,0.9414,,,,,,22634419841,4700735406,6065004584,6685312469,23996074288,5053300278,8148882783,10953973233,7864711871,34701602922,13093881743,909978381.3,2863820925,4876269052,18654575149,3789069648,5655303525,6847367794,5704446081,2075321925,,,4159680000,2293018408,,20781901366,8256600000,6130080000,4637583324,28410136974,12083430000,13757377343,7316314229,15436563798,1649102976,4110257840,3919012301,,3315300000,14393320000,,9220900000,50776766197,4198470000,1255300233,,,,,51.676,36.0069,29.4136,23.5541,107.3526,60.1777,92.5113,45.0411,-20.7733,473.6358,-35.7255,108.8488,262.2614,114.2213,47.013,-92.332,-22.5571,23.9979,37.9257,95.3273,,,85.0329,104.6472,,22.7631,357.4583,-35.6979,542.4708,16.6295,194.4854,85.362,312.0658,415.9348,634.1148,-7.7428,98.4369,,47.808,49.6131,,306.4415,-4.8709,24.6447,534.8354,,,,,4.0285,2.1164,9.9287,1.7758,2.1767,16.0961,4.2127,2.592,2.8297,6.2915,1.9075,3.6015,6.2225,5.4578,6.5519,6.5838,5.9529,2.7783,3.4126,3.4047,,,6.6497,3.369,,1.1466,4.6653,2.6428,122.8046,1.0365,7.4187,1.9127,5.3849,3.24,16.6842,1.2874,5.2775,,1.6634,1.266,,4.1975,2.7936,1.5805,5.0239,,,,,0.9872,5.0252,9.3747,1.5993,0.3634,19.671,1.8695,0.6565,0.5081,0.5561,0.5464,4.3146,2.5933,0.7279,1.7613,2.1914,3.8254,4.9405,3.7526,2.5538,,,8.0828,4.0741,,1.4785,1.5858,3.2109,3.0083,0.2384,5.6055,0.728,0.824,1.8347,1.9573,0.7713,0.2595,,1.1618,0.5936,,2.1375,0.5572,0.6711,0.7493,,,,
