ÈÕÆÚ,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH,000008.SZ,000925.SZ,000976.SZ,300351.SZ,300594.SZ,600495.SH,600528.SH,601766.SH,603111.SH,603500.SH,603680.SH,688009.SH,688015.SH,688033.SH
2014/1/16,-1.0465,1.1561,0.9804,3.2382,,0.2427,0.2232,-1.7738,,,,,,,0.4312,0.522,0.3684,4.3298,,0.7045,0.2407,0.4065,,,,,,,1253576068,3164050134,1812692546,840281000,,3744728820,6551808000,44817850609,,,,,,,113.5273,-21.9981,-18.5078,46.5516,,45.441,15.5401,14.77,,,,,,,4.5843,3.3924,4.1721,3.359,,1.7608,1.102,1.6725,,,,,,,8.4863,2.3154,1.4705,13.4859,,1.8366,0.0823,0.6247,,,,,,
2014/1/17,-2.8202,0.4762,-1.6181,-4.4519,,-2.7441,-2.2272,-2.4831,,,,,,,0.4431,0.5347,0.3143,6.3744,,0.9002,0.2856,0.3486,,,,,,,1218222572,3179117039,1783360952,802872200,,3641967900,6405888000,43704992016,,,,,,,110.3256,-22.1029,-18.2083,44.4791,,44.1941,15.194,14.4032,,,,,,,4.455,3.4085,4.1046,3.2095,,1.7125,1.0775,1.631,,,,,,,8.247,2.3264,1.4467,12.8855,,1.7862,0.0805,0.6092,,,,,,
2014/1/20,2.2975,-0.8531,0.3289,-3.9887,,1.6598,0.4556,-0.9259,,,,,,,0.7335,0.3971,0.2265,5.3036,,0.7577,0.1602,0.2791,,,,,,,1246210757,3151996610,1789227271,770848000,,3702415500,6435072000,43300316164,,,,,,,112.8603,-21.9143,-18.2682,42.705,,44.9276,15.2632,14.2699,,,,,,,4.5574,3.3794,4.1181,3.0815,,1.7409,1.0824,1.6159,,,,,,,8.4365,2.3065,1.4515,12.3715,,1.8159,0.0809,0.6035,,,,,,
2014/1/21,1.4184,-2.2945,0.9836,-0.5147,,1.551,1.3605,1.6355,,,,,,,0.451,1.1908,0.264,3.1479,,0.7684,0.19,0.4373,,,,,,,1263887505,3079675464,1806826227,766880400,,3759840720,6522624000,44008498905,,,,,,,114.4612,-21.4115,-18.4479,42.4852,,45.6244,15.4709,14.5033,,,,,,,4.622,3.3019,4.1586,3.0656,,1.7679,1.0971,1.6423,,,,,,,8.5561,2.2536,1.4657,12.3079,,1.8441,0.082,0.6134,,,,,,
2014/1/22,2.2145,0,2.5974,3.9542,,3.135,3.132,4.8276,,,,,,,0.4886,,0.5019,4.7642,,1.8154,0.3851,0.6035,,,,,,,1291875690,3079675464,1853756779,797204200,,3877713540,6726912000,46133047128,,,,,,,116.9959,-21.4115,-18.9271,44.1651,,47.0548,15.9554,15.2034,,,,,,,4.7244,3.3019,4.2666,3.1868,,1.8233,1.1315,1.7216,,,,,,,8.7456,2.2536,1.5038,12.7945,,1.9019,0.0845,0.643,,,,,,
2014/1/23,-0.9122,8.0235,-0.6329,1.5997,,-1.0912,-0.4338,0.8772,,,,,,,0.6727,2.5133,0.5539,5.6587,,1.1304,0.2054,0.4369,,,,,,,1280091191,3326772712,1842024141,809957200,,3835400220,6697728000,46537722980,,,,,,,115.9286,-23.1295,-18.8073,44.8716,,46.5413,15.8862,15.3368,,,,,,,4.6813,3.5668,4.2396,3.2378,,1.8035,1.1266,1.7367,,,,,,,8.6658,2.4344,1.4943,12.9992,,1.8811,0.0842,0.6486,,,,,,
2014/1/24,-0.2301,4.1667,0.9554,0.07,,1.4972,0.4357,0.2174,,,,,,,0.8315,2.2753,0.5301,6.3283,,1.0701,0.2132,0.3341,,,,,,,1277145066,3465388242,1859623098,810524000,,3892825440,6726912000,46638891943,,,,,,,115.6618,-24.0932,-18.987,44.903,,47.2381,15.9554,15.3701,,,,,,,4.6705,3.7154,4.2801,3.2401,,1.8305,1.1315,1.7405,,,,,,,8.6459,2.5359,1.5086,13.0083,,1.9093,0.0845,0.6501,,,,,,
2014/1/27,-2.0761,0.4348,-1.8927,-0.0699,,-0.9317,-0.8677,-3.4707,,,,,,,0.7919,0.8942,0.5397,3.7596,,0.7892,0.197,0.4005,,,,,,,1250629944,3480455147,1824425184,809957200,,3856556880,6668544000,45020188535,,,,,,,113.2605,-24.1979,-18.6276,44.8716,,46.798,15.817,14.8367,,,,,,,4.5735,3.7316,4.1991,3.2378,,1.8134,1.1217,1.6801,,,,,,,8.4664,2.5469,1.48,12.9992,,1.8915,0.0838,0.6275,,,,,,
2014/1/28,0.9423,-1.645,-0.6431,9.2022,,0,-1.0941,-0.2247,,,,,,,0.5182,0.4849,0.4827,11.3317,,0.7215,0.2034,0.2831,,,,,,,1262414443,3423200907,1812692546,884491400,,3856556880,6595584000,44919019572,,,,,,,114.3278,-23.7999,-18.5078,49.0008,,46.798,15.6439,14.8033,,,,,,,4.6166,3.6702,4.1721,3.5358,,1.8134,1.1094,1.6763,,,,,,,8.5462,2.505,1.4705,14.1954,,1.8915,0.0829,0.6261,,,,,,
2014/1/29,-0.1167,3.6972,-0.3236,1.4098,,1.3323,0.2212,-1.5766,,,,,,,0.4734,0.8497,0.4764,8.727,,0.9714,0.2617,0.6856,,,,,,,1260941380,3549762912,1806826227,896961000,,3907937340,6610176000,44210836831,,,,,,,114.1944,-24.6798,-18.4479,49.6916,,47.4215,15.6786,14.5699,,,,,,,4.6113,3.8059,4.1586,3.5856,,1.8376,1.1118,1.6499,,,,,,,8.5362,2.5976,1.4657,14.3956,,1.9167,0.0831,0.6162,,,,,,
2014/1/30,0.1168,0.5093,-0.3247,0.6635,,-1.7015,-0.6623,-2.9748,,,,,,,0.3146,0.5601,0.2468,3.7176,,0.7857,0.2161,0.5924,,,,,,,1262414443,3567843199,1800959908,902912400,,3841444980,6566400000,42895640312,,,,,,,114.3278,-24.8055,-18.388,50.0213,,46.6147,15.5747,14.1365,,,,,,,4.6166,3.8253,4.1451,3.6094,,1.8063,1.1045,1.6008,,,,,,,8.5462,2.6108,1.461,14.4911,,1.8841,0.0825,0.5979,,,,,,
2014/2/7,1.5169,0.7601,3.2573,3.892,,1.4949,0.8889,-0.2358,,,,,,,0.4727,0.7965,0.6298,6.2595,,1.1095,0.1702,0.5227,,,,,,,1281564253,3594963628,1859623098,938054000,,3898870200,6624768000,42794471349,,,,,,,116.062,-24.9941,-18.987,51.9682,,47.3115,15.7132,14.1032,,,,,,,4.6867,3.8544,4.2801,3.7499,,1.8333,1.1143,1.597,,,,,,,8.6758,2.6307,1.5086,15.0551,,1.9122,0.0833,0.5965,,,,,,
2014/2/10,1.6092,0.4191,2.2082,2.7492,,3.3333,3.0837,6.1466,,,,,,,0.775,1.348,0.8332,6.8025,,1.7758,0.4565,0.9726,,,,,,,1302187126,3610030534,1900687330,963843400,,4028832540,6829056000,45424864387,,,,,,,117.9297,-25.0988,-19.4062,53.3969,,48.8885,16.1977,14.97,,,,,,,4.7621,3.8705,4.3747,3.853,,1.8944,1.1487,1.6952,,,,,,,8.8154,2.6417,1.5419,15.469,,1.976,0.0858,0.6331,,,,,,
