ÈÕÆÚ,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH,000039.SZ,002132.SZ,002150.SZ,002342.SZ,002487.SZ,002843.SZ,300228.SZ,300402.SZ,600558.SH,600860.SH,600992.SH,601028.SH,603028.SH,603278.SH,603626.SH,603969.SH
2014/1/16,2.9283,0.5556,1.8651,1.8657,-0.3559,,0.2299,,-0.7874,0.5457,1.8519,-1.2417,,,,,1.7847,0.3489,3.7116,1.5549,0.6646,,1.5951,,3.2365,0.3208,0.4104,1.4789,,,,,20339667075,1201450264,1726578000,1607860800,2016000000,,7192818091,,1559141446,2373140000,1084842000,1152438000,,,,,20.1726,62.6782,36.8378,74.6764,55.2872,,50.4535,,39.2871,-28.734,80.1703,25.676,,,,,2.1274,1.708,3.2693,2.2127,1.3353,,11.4036,,1.423,3.8704,1.2239,1.8903,,,,,0.76,1.1173,1.8739,3.0879,5.7136,,5.7467,,0.7167,1.0997,0.839,1.4066,,,,
2014/1/17,-1.3317,-1.6575,0.8451,-1.0989,-0.5357,,-2.3739,,-2.2487,-1.6282,-0.303,-2.0956,,,,,0.8407,0.4346,2.1875,1.0094,0.614,,0.8458,,1.5333,0.2942,0.2007,0.8932,,,,,20068799838,1181536723,1741168800,1590192000,2005200000,,7022071148,,1524081387,2334500000,1081554600,1128288000,,,,,19.904,61.6394,37.1491,73.8558,54.991,,49.2558,,38.4037,-28.2661,79.9273,25.138,,,,,2.0991,1.6797,3.2969,2.1884,1.3281,,11.1329,,1.391,3.8074,1.2201,1.8506,,,,,0.7498,1.0988,1.8898,3.054,5.683,,5.6103,,0.7006,1.0818,0.8365,1.3771,,,,
2014/1/20,0.184,-0.8427,-3.9106,-1.8519,-1.7953,,-1.3274,,-2.3004,-1.6552,0.152,-1.6267,,,,,0.6069,0.4992,1.9672,0.695,0.5075,,1.1225,,1.0445,0.2257,0.1621,0.7699,,,,,20105736280,1171579953,1673078400,1560744000,1969200000,,6928861464,,1489021328,2295860000,1083198300,1109934000,,,,,19.9406,61.1199,35.6964,72.4881,54.0037,,48.602,,37.5202,-27.7983,80.0488,24.729,,,,,2.103,1.6656,3.168,2.1479,1.3043,,10.9851,,1.359,3.7444,1.222,1.8205,,,,,0.7512,1.0896,1.8159,2.9974,5.581,,5.5358,,0.6845,1.0639,0.8377,1.3547,,,,
2014/1/21,3.7967,1.1331,3.6337,1.8868,3.2907,,0.5952,,1.108,2.6648,0.9105,0.7833,,,,,1.1422,0.3135,1.7909,0.5722,0.5679,,1.2125,,0.8304,0.1865,0.1652,0.7658,,,,,20869089402,1184855647,1733873400,1590192000,2034000000,,6970104687,,1505520179,2357040000,1093060500,1118628000,,,,,20.6977,61.8125,36.9935,73.8558,55.7808,,48.8913,,37.936,-28.5391,80.7776,24.9227,,,,,2.1828,1.6844,3.2831,2.1884,1.3472,,11.0505,,1.3741,3.8441,1.2331,1.8348,,,,,0.7798,1.1019,1.8819,3.054,5.7646,,5.5688,,0.6921,1.0922,0.8454,1.3653,,,,
2014/1/22,-0.295,2.521,-0.2805,4.2593,4.0708,,-0.8284,,1.6438,3.2787,4.5113,6.8221,,,,,1.947,0.6903,1.7133,1.272,1.3095,,1.4695,,1.2593,0.6214,0.6743,2.765,,,,,20807528667,1214725957,1729009800,1657922400,2116800000,,6912364175,,1530268456,2434320000,1142371500,1194942000,,,,,20.6366,63.3708,36.8897,77.0015,58.0515,,48.4863,,38.5596,-29.4748,84.4217,26.623,,,,,2.1764,1.7269,3.2739,2.2816,1.402,,10.9589,,1.3966,3.9702,1.2888,1.96,,,,,0.7775,1.1297,1.8766,3.184,5.9993,,5.5227,,0.7035,1.128,0.8835,1.4584,,,,
2014/1/23,-0.5917,4.6448,-0.2813,0.7105,1.1905,,0.2387,,-0.4043,2.381,1.4388,3.7995,,,,,1.0189,3.1118,1.844,1.3191,1.358,,1.5376,,0.9105,0.7952,0.7646,3.5496,,,,,20684407195,1271147655,1724146200,1669701600,2142000000,,6928861464,,1524081387,2492280000,1158808500,1240344000,,,,,20.5145,66.3142,36.7859,77.5485,58.7426,,48.602,,38.4037,-30.1765,85.6364,27.6345,,,,,2.1635,1.8071,3.2647,2.2978,1.4187,,10.9851,,1.391,4.0647,1.3073,2.0344,,,,,0.7729,1.1822,1.8713,3.2067,6.0707,,5.5358,,0.7006,1.1549,0.8962,1.5139,,,,
2014/1/24,-0.5357,0.7833,-0.4231,0.3527,-0.1681,,5.9524,,1.8945,-0.7752,10.0709,0.5452,,,,,1.0831,1.8242,1.9031,1.1237,1.0029,,2.9597,,1.2928,0.5102,5.6852,2.8635,,,,,20573597871,1281104425,1716850800,1675591200,2138400000,,7341293694,,1552954377,2472960000,1275511200,1247106000,,,,,20.4046,66.8337,36.6303,77.8221,58.6439,,51.495,,39.1312,-29.9426,94.2608,27.7852,,,,,2.1519,1.8213,3.2509,2.3059,1.4163,,11.639,,1.4173,4.0332,1.439,2.0455,,,,,0.7687,1.1914,1.8634,3.218,6.0605,,5.8654,,0.7139,1.1459,0.9865,1.5221,,,,
2014/1/27,-4.4285,-1.5544,-2.8329,2.6362,0.5051,,-0.191,,-1.1952,2.3438,-3.866,-0.8521,,,,,1.4054,0.8255,1.4872,2.8469,0.9706,,1.8327,,0.8239,0.902,8.804,1.8076,,,,,19662498983,1261190884,1668214800,1719763200,2149200000,,7327270998,,1534393169,2530920000,1226200200,1236480000,,,,,19.501,65.7948,35.5926,79.8736,58.9401,,51.3966,,38.6635,-30.6444,90.6167,27.5485,,,,,2.0566,1.7929,3.1588,2.3667,1.4235,,11.6167,,1.4004,4.1277,1.3833,2.0281,,,,,0.7347,1.1729,1.8106,3.3028,6.0911,,5.8542,,0.7054,1.1728,0.9483,1.5091,,,,
2014/1/28,0.9393,-0.2632,1.7493,-0.8562,-0.67,,-0.0338,,-0.1344,1.0178,-2.5469,-1.4844,,,,,0.7374,0.6766,1.0176,1.4455,0.595,,1.3776,,0.5215,1.0633,3.4309,1.5276,,,,,19847181190,1257871961,1697396400,1705039200,2134800000,,7324796405,,1532330813,2556680000,1194969900,1218126000,,,,,19.6842,65.6217,36.2152,79.1898,58.5452,,51.3792,,38.6115,-30.9563,88.3088,27.1395,,,,,2.0759,1.7882,3.214,2.3465,1.4139,,11.6128,,1.3985,4.1697,1.3481,1.998,,,,,0.7416,1.1698,1.8423,3.2745,6.0503,,5.8522,,0.7044,1.1847,0.9242,1.4867,,,,
2014/1/29,-2.4814,2.1108,-0.4298,-0.8636,0.8432,,-4.2793,,-0.5384,-9.9496,-0.4127,2.6963,,,,,1.031,0.972,0.8679,0.9473,0.766,,2.9674,,0.5178,2.2356,2.3435,1.8979,,,,,19354695304,1284423348,1690101000,1721741700,2152800000,,7011347910,,1524081387,2302300000,1190038800,1250970000,,,,,19.1957,67.0068,36.0595,78.5059,59.0388,,49.1806,,38.4037,-27.8763,87.9444,27.8713,,,,,2.0244,1.826,3.2002,2.3262,1.4259,,11.1159,,1.391,3.7549,1.3425,2.0519,,,,,0.7232,1.1945,1.8343,3.2462,6.1013,,5.6017,,0.7006,1.0669,0.9204,1.5268,,,,
