ÈÕÆÚ,000901.SZ,002338.SZ,002819.SZ,002849.SZ,002857.SZ,002870.SZ,300007.SZ,300066.SZ,300112.SZ,300114.SZ,300165.SZ,300259.SZ,300306.SZ,300341.SZ,300349.SZ,300354.SZ,300370.SZ,300371.SZ,300410.SZ,300416.SZ,300417.SZ,300445.SZ,300515.SZ,300553.SZ,300557.SZ,300567.SZ,300572.SZ,300648.SZ,300667.SZ,300720.SZ,603556.SH,603662.SH,603700.SH,000901.SZ,002338.SZ,002819.SZ,002849.SZ,002857.SZ,002870.SZ,300007.SZ,300066.SZ,300112.SZ,300114.SZ,300165.SZ,300259.SZ,300306.SZ,300341.SZ,300349.SZ,300354.SZ,300370.SZ,300371.SZ,300410.SZ,300416.SZ,300417.SZ,300445.SZ,300515.SZ,300553.SZ,300557.SZ,300567.SZ,300572.SZ,300648.SZ,300667.SZ,300720.SZ,603556.SH,603662.SH,603700.SH,000901.SZ,002338.SZ,002819.SZ,002849.SZ,002857.SZ,002870.SZ,300007.SZ,300066.SZ,300112.SZ,300114.SZ,300165.SZ,300259.SZ,300306.SZ,300341.SZ,300349.SZ,300354.SZ,300370.SZ,300371.SZ,300410.SZ,300416.SZ,300417.SZ,300445.SZ,300515.SZ,300553.SZ,300557.SZ,300567.SZ,300572.SZ,300648.SZ,300667.SZ,300720.SZ,603556.SH,603662.SH,603700.SH,000901.SZ,002338.SZ,002819.SZ,002849.SZ,002857.SZ,002870.SZ,300007.SZ,300066.SZ,300112.SZ,300114.SZ,300165.SZ,300259.SZ,300306.SZ,300341.SZ,300349.SZ,300354.SZ,300370.SZ,300371.SZ,300410.SZ,300416.SZ,300417.SZ,300445.SZ,300515.SZ,300553.SZ,300557.SZ,300567.SZ,300572.SZ,300648.SZ,300667.SZ,300720.SZ,603556.SH,603662.SH,603700.SH,000901.SZ,002338.SZ,002819.SZ,002849.SZ,002857.SZ,002870.SZ,300007.SZ,300066.SZ,300112.SZ,300114.SZ,300165.SZ,300259.SZ,300306.SZ,300341.SZ,300349.SZ,300354.SZ,300370.SZ,300371.SZ,300410.SZ,300416.SZ,300417.SZ,300445.SZ,300515.SZ,300553.SZ,300557.SZ,300567.SZ,300572.SZ,300648.SZ,300667.SZ,300720.SZ,603556.SH,603662.SH,603700.SH,000901.SZ,002338.SZ,002819.SZ,002849.SZ,002857.SZ,002870.SZ,300007.SZ,300066.SZ,300112.SZ,300114.SZ,300165.SZ,300259.SZ,300306.SZ,300341.SZ,300349.SZ,300354.SZ,300370.SZ,300371.SZ,300410.SZ,300416.SZ,300417.SZ,300445.SZ,300515.SZ,300553.SZ,300557.SZ,300567.SZ,300572.SZ,300648.SZ,300667.SZ,300720.SZ,603556.SH,603662.SH,603700.SH
2014/1/16,0.6757,-0.8547,,,,,0,-3.4044,7.4499,-1.5634,-6.25,-2.5542,-1.8511,-3.445,-2.009,-0.6222,,,,,,,,,,,,,,,,,,1.1359,1.3283,,,,,,2.9658,29.5046,2.0627,23.0821,2.7541,13.2423,12.4249,4.105,6.7411,,,,,,,,,,,,,,,,,,3730350918,2752435333,,,,,1154275824,2257612181,1202689695,2652000000,1909784250,1373609547,845414424,715778142.4,1130400000,378179069.5,,,,,,,,,,,,,,,,,,78.2504,36.7923,,,,,50.4694,32.8948,71.8691,33.7362,77.3217,34.6748,30.4008,41.6325,38.8376,69.1729,,,,,,,,,,,,,,,,,,4.4695,4.0798,,,,,3.1213,3.2847,5.1479,3.2019,2.9908,5.1213,2.8034,3.5751,6.0698,3.5292,,,,,,,,,,,,,,,,,,2.8129,9.4233,,,,,6.6359,4.9085,7.3068,3.1778,13.2658,11.2124,13.8968,5.8859,9.1127,13.4557,,,,,,,,,,,,,,,,,
2014/1/17,-0.8054,1.2931,,,,,0,-0.188,-2.5333,3.3529,0.6774,-3.2146,-2.5439,1.3875,0.0199,0.3415,,,,,,,,,,,,,,,,,,0.6521,0.842,,,,,,2.9644,18.8661,2.8696,8.0285,3.4298,8.6712,10.1114,2.6567,5.275,,,,,,,,,,,,,,,,,,3700307823,2788027169,,,,,1154275824,2253368550,1172221556,2740920000,1922720400,1329452959,823908267.6,725709652.8,1130625000,379470517.7,,,,,,,,,,,,,,,,,,77.6202,37.2681,,,,,50.4694,32.8329,70.0484,34.8674,77.8455,33.5601,29.6274,42.2102,38.8453,69.4091,,,,,,,,,,,,,,,,,,4.4335,4.1325,,,,,3.1213,3.2785,5.0175,3.3093,3.011,4.9567,2.7321,3.6247,6.071,3.5412,,,,,,,,,,,,,,,,,,2.7902,9.5451,,,,,6.6359,4.8992,7.1217,3.2844,13.3557,10.852,13.5432,5.9676,9.1145,13.5017,,,,,,,,,,,,,,,,,
2014/1/20,0.8119,-0.2979,,,,,0,-3.6723,-9.3707,-2.9596,-2.7975,-3.1681,-1.8902,-8.3578,-1.7313,-0.5672,,,,,,,,,,,,,,,,,,1.4508,0.6455,,,,,,2.6492,18.2369,2.2756,10.0553,1.8847,4.9536,11.5616,3.0274,4.4963,,,,,,,,,,,,,,,,,,3730350918,2779722407,,,,,1154275824,2170617727,1062375897,2659800000,1868933250,1287334367,808334844,665056500,1111050000,377318104.1,,,,,,,,,,,,,,,,,,78.2504,37.1571,,,,,50.4694,31.6272,63.4844,33.8355,75.6678,32.4969,29.0674,38.6823,38.1728,69.0154,,,,,,,,,,,,,,,,,,4.4695,4.1202,,,,,3.1213,3.1581,4.5473,3.2113,2.9268,4.7996,2.6804,3.3218,5.9659,3.5211,,,,,,,,,,,,,,,,,,2.8129,9.5167,,,,,6.6359,4.7193,6.4543,3.1872,12.9821,10.5082,13.2872,5.4688,8.9567,13.4251,,,,,,,,,,,,,,,,,
2014/1/21,1.4094,-0.5122,,,,,0,2.5904,10.0377,2.9326,-2.0036,5.4881,4.8165,2.1867,0.8708,1.9966,,,,,,,,,,,,,,,,,,1.1265,0.4501,,,,,,2.2854,18.8995,1.9525,11.2262,3.0381,7.749,9.4363,2.5924,6.2032,,,,,,,,,,,,,,,,,,3782926333,2765485673,,,,,1154275824,2226845850,1169014384,2737800000,1831486500,1357984908,847268403,679599068.8,1120725000,384851551.7,,,,,,,,,,,,,,,,,,79.3532,36.9668,,,,,50.4694,32.4465,69.8568,34.8277,74.1517,34.2803,30.4674,39.5282,38.5052,70.3934,,,,,,,,,,,,,,,,,,4.5324,4.0991,,,,,3.1213,3.2399,5.0038,3.3055,2.8681,5.063,2.8095,3.3944,6.0179,3.5914,,,,,,,,,,,,,,,,,,2.8525,9.4679,,,,,6.6359,4.8416,7.1022,3.2807,12.7219,11.0849,13.9272,5.5884,9.0347,13.6931,,,,,,,,,,,,,,,,,
2014/1/22,1.0589,2.3166,,,,,0,-0.8099,3.0178,0.3989,4.6097,-2.1011,3.151,-0.8873,1.1443,2.6286,,,,,,,,,,,,,,,,,,1.6805,0.8757,,,,,,2.879,24.0429,2.1623,13.0344,4.2874,11.6946,10.5315,3.9082,8.0856,,,,,,,,,,,,,,,,,,3822983793,2829550978,,,,,1154275824,2208810414,1204293281,2748720000,2034944100,1329452959,873965700.6,673569223.2,1133550000,394967895.6,,,,,,,,,,,,,,,,,,80.1935,37.8231,,,,,50.4694,32.1837,71.9649,34.9666,77.5698,33.5601,31.4274,39.1775,38.9458,72.2438,,,,,,,,,,,,,,,,,,4.5804,4.1941,,,,,3.1213,3.2137,5.1548,3.3187,3.0003,4.9567,2.8981,3.3643,6.0867,3.6858,,,,,,,,,,,,,,,,,,2.8827,9.6873,,,,,6.6359,4.8023,7.3165,3.2937,13.3084,10.852,14.3661,5.5388,9.1381,14.0531,,,,,,,,,,,,,,,,,
2014/1/23,2.0956,2.5577,,,,,0,1.1527,1.8642,1.8729,1.8124,2.9126,-0.6364,1.5271,4.3073,2.3433,,,,,,,,,,,,,,,,,,2.6681,1.1229,,,,,,4.0334,20.9828,2.7646,10.2547,3.625,8.5926,9.4048,6.1593,11.8181,8.6601,3.3913,,,,,,,,,,,,,,,,3903098712,2901921045,,,,,1154275824,2234272206,1226743489,2800200000,2071824750,1368174890,868403763.6,683855430.4,1182375000,404223274.1,693751000,695160000,,,,,,,,,,,,,,,,81.874,38.7905,,,,,50.4694,32.5547,73.3065,35.6215,78.9757,34.5376,31.2274,39.7758,40.6233,73.9367,49.1327,46.2769,,,,,,,,,,,,,,,,4.6764,4.3013,,,,,3.1213,3.2507,5.2509,3.3808,3.0547,5.101,2.8796,3.4157,6.3489,3.7722,10.2838,14.8738,,,,,,,,,,,,,,,,2.9431,9.935,,,,,6.6359,4.8577,7.4529,3.3554,13.5496,11.1681,14.2746,5.6234,9.5317,14.3824,7.4235,15.1672,,,,,,,,,,,,,,,
2014/1/24,-0.5131,0.8994,,,,,0,-1.472,0.0654,-1.2256,2.9668,1.291,2.0495,0.9336,-0.8754,4.6326,10.0039,3.7632,,,,,,,,,,,,,,,,2.0674,1.131,,,,,,2.9582,15.9992,2.415,10.3206,4.0074,8.9377,9.5888,5.3903,21.591,59.163,62.7907,,,,,,,,,,,,,,,,3883069982,2928021725,,,,,1154275824,2201384059,1227545282,2765880000,2133292500,1385837525,886201962,690239972.8,1172025000,422949272.4,763153000,721320000,,,,,,,,,,,,,,,,81.4539,39.1394,,,,,50.4694,32.0755,73.3544,35.1849,81.3188,34.9834,31.8675,40.1471,40.2677,77.3618,54.0479,48.0184,,,,,,,,,,,,,,,,4.6524,4.34,,,,,3.1213,3.2028,5.2543,3.3394,3.1454,5.1669,2.9386,3.4476,6.2933,3.9469,11.3125,15.4335,,,,,,,,,,,,,,,,2.928,10.0244,,,,,6.6359,4.7862,7.4578,3.3143,13.9516,11.3122,14.5672,5.6759,9.4482,15.0487,8.1662,15.738,,,,,,,,,,,,,,,
2014/1/27,-1.0316,-1.9449,,,,,0,0.6747,-0.0653,0.5076,-3.2203,0,-3.682,0.1028,1.4398,-3.2061,-5.2697,-9.8985,,,,,,,,,,,,,,,,2.1337,2.1582,,,,,,4.5024,16.7214,2.4165,6.8663,3.1678,8.3146,7.2312,4.0402,11.8133,51.052,41.3043,,,,,,,,,,,,,,,,3843012523,2871074787,,,,,1154275824,2216236770,1226743489,2779920000,2539665250,1385837525,853571931.6,690949366.4,1188900000,409389066.7,722937500,649920000,,,,,,,,,,,,,,,,80.6136,38.3782,,,,,50.4694,32.2919,73.3065,35.3635,78.7,34.9834,30.6941,40.1884,40.8475,74.8815,51.1998,43.2653,,,,,,,,,,,,,,,,4.6044,4.2556,,,,,3.1213,3.2245,5.2509,3.3564,3.0441,5.1669,2.8304,3.4511,6.3839,3.8204,10.7164,13.9059,,,,,,,,,,,,,,,,2.8978,9.8294,,,,,6.6359,4.8185,7.4529,3.3311,13.5023,11.3122,14.0308,5.6817,9.5843,14.5662,7.7358,14.1802,,,,,,,,,,,,,,,
2014/1/28,-2.215,1.2397,,,,,0,-2.8243,7.1895,-3.367,-4.4483,-2.8922,-2.3892,-6.2628,1.6843,-2.6288,1.9721,-3.8035,,,,,,,,,,,,,,,,1.3588,0.8317,,,,,,1.8878,21.695,1.3371,6.3455,1.9696,5.541,8.9723,3.1906,10.2254,38.7361,25.1415,,,,,,,,,,,,,,,,3757890421,2906666623,,,,,1154275824,2153643199,1314940733,2686320000,2426692400,1345756930,833178162.6,647676356.8,1208925000,398626998.7,737194500,625200000,,,,,,,,,,,,,,,,78.828,38.8539,,,,,50.4694,31.3799,78.5769,34.1728,75.1992,33.9717,29.9607,37.6714,41.5355,72.913,52.2095,41.6197,,,,,,,,,,,,,,,,4.5025,4.3084,,,,,3.1213,3.1334,5.6284,3.2434,2.9087,5.0174,2.7628,3.235,6.4915,3.72,10.9277,13.3769,,,,,,,,,,,,,,,,2.8337,9.9513,,,,,6.6359,4.6824,7.9888,3.219,12.9017,10.9851,13.6956,5.3259,9.7457,14.1833,7.8884,13.6408,,,,,,,,,,,,,,,
2014/1/29,3.1979,4.2857,,,,,0,-0.4926,-3.3537,1.8583,0.9531,1.0096,3.6938,1.0405,1.9914,3.6717,-7.7723,-3.0326,,,,,,,,,,,,,,,,1.7321,1.4587,,,,,,2.248,17.4044,1.1066,5.9994,2.3755,5.8185,5.117,4.4029,8.394,28.6037,18.4714,,,,,,,,,,,,,,,,3878062800,3031238050,,,,,1154275824,2143034120,1270842111,2736240000,2449820700,1359343572,863954214,654415596,1233000000,413263411.2,679897500,606240000,,,,,,,,,,,,,,,,81.3489,40.5191,,,,,50.4694,31.2253,75.9417,34.8079,75.9159,34.3146,31.0674,38.0634,42.3627,75.5902,48.1516,40.3575,,,,,,,,,,,,,,,,4.6464,4.493,,,,,3.1213,3.118,5.4396,3.3036,2.9364,5.0681,2.8649,3.2686,6.6207,3.8566,10.0784,12.9713,,,,,,,,,,,,,,,,2.9243,10.3778,,,,,6.6359,4.6593,7.7208,3.2788,13.0246,11.096,14.2015,5.3813,9.9398,14.704,7.2753,13.2272,,,,,,,,,,,,,,,
