ÈÕÆÚ,000401.SZ,000546.SZ,000672.SZ,000789.SZ,000877.SZ,000935.SZ,002233.SZ,600326.SH,600425.SH,600449.SH,600585.SH,600668.SH,600720.SH,600801.SH,600802.SH,600881.SH,600883.SH,601992.SH,900933.SH,000401.SZ,000546.SZ,000672.SZ,000789.SZ,000877.SZ,000935.SZ,002233.SZ,600326.SH,600425.SH,600449.SH,600585.SH,600668.SH,600720.SH,600801.SH,600802.SH,600881.SH,600883.SH,601992.SH,900933.SH,000401.SZ,000546.SZ,000672.SZ,000789.SZ,000877.SZ,000935.SZ,002233.SZ,600326.SH,600425.SH,600449.SH,600585.SH,600668.SH,600720.SH,600801.SH,600802.SH,600881.SH,600883.SH,601992.SH,900933.SH,000401.SZ,000546.SZ,000672.SZ,000789.SZ,000877.SZ,000935.SZ,002233.SZ,600326.SH,600425.SH,600449.SH,600585.SH,600668.SH,600720.SH,600801.SH,600802.SH,600881.SH,600883.SH,601992.SH,900933.SH,000401.SZ,000546.SZ,000672.SZ,000789.SZ,000877.SZ,000935.SZ,002233.SZ,600326.SH,600425.SH,600449.SH,600585.SH,600668.SH,600720.SH,600801.SH,600802.SH,600881.SH,600883.SH,601992.SH,900933.SH,000401.SZ,000546.SZ,000672.SZ,000789.SZ,000877.SZ,000935.SZ,002233.SZ,600326.SH,600425.SH,600449.SH,600585.SH,600668.SH,600720.SH,600801.SH,600802.SH,600881.SH,600883.SH,601992.SH,900933.SH
2014/1/16,1.2694,0.5291,0.2212,-0.4329,0.5405,2.5135,-0.339,-0.5042,0.5618,0.419,1.1875,0.3212,0,1.2405,0.188,0,-0.7752,-1.913,-0.2094,0.7662,0.7848,0.4438,1.0329,0.5307,3.5331,0.4892,0.4794,0.1634,0.8109,0.5001,1.2193,0.6271,1.5611,0.3494,0.3418,0.233,1.1787,0.0232,8704555758,833557346.7,954426538.1,3761793686,4910465638,995283337.2,3267257098,3239424000,4936068508,1803020108,64755184754,3220694967,4889824928,5901408174,2035386640,7199981820,1208770560,7143343122,5901408174,28.0889,46.8754,14.133,8.5812,17.5264,51.3656,13.1392,664.9203,56.9731,11.462,9.1465,15.9948,10.5243,8.4055,106.8683,33.0883,182.6356,7.5144,6.9179,0.813,5.5787,2.5251,1.7911,0.7359,1.748,1.3928,3.0363,0.916,0.8436,1.5288,1.8561,1.1779,1.1354,1.9294,0.8959,1.7654,0.9193,0.9344,0.6158,10.8002,1.4489,0.6088,0.6208,1.7433,1.3785,1.856,2.0351,0.8175,1.5525,1.4986,0.8413,0.6208,1.1186,0.5354,34.6192,0.5394,0.511
2014/1/17,-1.8106,-3.1579,-2.4283,-1.6304,-0.5376,0.1751,-1.1905,-1.5203,1.1173,-0.6954,1.05,-0.3202,-1.9048,-2.639,-1.3133,-1.8421,-1.5625,-3.7234,-1.6084,0.5029,1.0094,0.4958,0.7564,0.3772,2.7466,0.3433,0.2827,0.2402,0.7574,0.7819,0.9434,0.4991,0.8086,0.3237,0.4113,0.3037,1.1003,0.0611,8546952381,807234483.1,931250617.7,3700460093,4884065285,997026390.4,3228361180,3190176000,4991220111,1790481721,65435134192,3210383243,4796685406,5745668844,2008655483,7067350576,1189883520,6877367581,5745668844,27.5803,45.3952,13.7898,8.4413,17.4322,51.4556,12.9828,654.8117,57.6096,11.3823,9.2425,15.9436,10.3238,8.1837,105.4647,32.4788,179.7819,7.2346,6.804,0.7983,5.4025,2.4638,1.7619,0.732,1.7511,1.3762,2.9901,0.9262,0.8377,1.5449,1.8502,1.1555,1.1054,1.9041,0.8794,1.7378,0.8851,0.919,0.6047,10.4591,1.4138,0.5989,0.6174,1.7464,1.3621,1.8278,2.0578,0.8118,1.5688,1.4938,0.8253,0.6044,1.1039,0.5255,34.0783,0.5193,0.5025
2014/1/20,3.4043,-0.3623,-0.4525,0,-0.5405,0.3497,-0.6885,-1.8868,-1.3812,-0.4202,-3.3007,-2.3555,0,0.1936,-0.5703,0.8043,-0.1984,0.7366,-0.1421,1.0326,0.9502,0.3289,0.4679,0.3555,3.4412,0.3835,0.4114,0.2689,0.6337,0.5386,0.9825,0.4113,0.5881,0.3116,0.2305,0.1576,0.6883,0.0159,8837912462,804309720.5,927036814,3700460093,4857664932,1000512497,3206134941,3129984000,4922280607,1782958688,63275294800,3134763938,4796685406,5756793082,1997199273,7124192538,1187522640,6928029589,5756793082,28.5192,45.2307,13.7274,8.4413,17.338,51.6355,12.8934,642.4568,56.8139,11.3344,8.9375,15.5681,10.3238,8.1995,104.8632,32.74,179.4252,7.2879,6.799,0.8255,5.3829,2.4527,1.7619,0.728,1.7572,1.3667,2.9337,0.9134,0.8342,1.4939,1.8066,1.1555,1.1075,1.8932,0.8865,1.7343,0.8916,0.9184,0.6253,10.4212,1.4074,0.5989,0.6141,1.7525,1.3527,1.7933,2.0294,0.8084,1.5171,1.4586,0.8253,0.6056,1.0976,0.5297,34.0107,0.5232,0.5022
2014/1/21,0.823,0.7273,10,2.7624,1.9928,2.6132,2.0797,0.6993,3.6415,2.2504,3.0341,1.5351,2.4272,5.2174,1.7208,1.0638,2.7833,6.5814,2.2776,0.9486,0.9973,3.319,1.1445,0.4945,12.7133,0.4439,0.2751,0.2339,0.9497,0.5222,0.6246,0.8229,1.4462,0.3353,0.317,0.4436,1.5587,0.0451,8910652482,810159245.7,1019740495,3802682747,4954466226,1026658294,3272813657,3151872000,5101523318,1823081528,65195152038,3182885314,4913109809,6057147504,2031567903,7199981820,1220574960,7383987660,6057147504,28.7539,45.5596,15.1001,8.6745,17.6835,52.9849,13.1615,646.9495,58.8828,11.5895,9.2087,15.8071,10.5744,8.6273,106.6678,33.0883,184.4191,7.7676,6.9519,0.8323,5.4221,2.6979,1.8106,0.7425,1.8032,1.3952,2.9542,0.9467,0.853,1.5392,1.8343,1.1835,1.1653,1.9258,0.8959,1.7826,0.9503,0.939,0.6304,10.497,1.5481,0.6154,0.6263,1.7983,1.3809,1.8058,2.1033,0.8266,1.5631,1.481,0.8453,0.6372,1.1165,0.5354,34.9573,0.5576,0.5135
2014/1/22,2.585,2.5271,1.6529,1.5054,2.8419,-1.528,3.2258,2.2569,1.3514,2.3384,1.8405,2.3758,5.8452,2.0202,3.7594,2.1053,2.1277,1.8868,2.4356,0.9544,1.1379,3.8778,1.4724,0.8233,7.5409,0.9813,0.4884,0.3488,1.367,0.4247,1.2316,2.8766,1.7976,0.8297,0.5825,0.4289,1.3739,0.1235,9140995879,830632584.1,1036595710,3859927434,5095268108,1010970815,3378388292,3223008000,5170462823,1865712045,66395062811,3258504620,5200290003,6179514120,2107942636,7351560385,1246544640,7523308182,6179514120,29.4972,46.711,15.3497,8.8051,18.186,52.1753,13.5861,661.5507,59.6785,11.8605,9.3781,16.1826,11.1925,8.8016,110.6778,33.7849,188.3429,7.9141,7.1237,0.8538,5.5591,2.7425,1.8378,0.7636,1.7756,1.4402,3.0209,0.9595,0.8729,1.5676,1.8779,1.2527,1.1889,1.9982,0.9148,1.8205,0.9682,0.9622,0.6467,10.7623,1.5737,0.6247,0.6441,1.7708,1.4254,1.8466,2.1317,0.8459,1.5919,1.5162,0.8947,0.6501,1.1585,0.5467,35.701,0.5681,0.5262
2014/1/23,0.2653,0.5282,-0.813,-0.1059,-0.8636,-1.5517,0,0.1698,-0.2667,-0.5376,-0.1205,-0.3165,-0.1493,1.0801,1.6304,-1.0309,-0.947,2.1886,1.2228,0.7676,1.1525,1.6649,1.4397,0.5253,3.6212,0.8186,0.4826,0.2783,1.2342,0.4145,1.4166,1.5508,1.1241,1.4221,0.4529,0.3891,1.8567,0.0777,9165242553,835019728,1028168103,3855838528,5051267520,995283337.2,3378388292,3228480000,5156674922,1855681335,66315068760,3248192896,5192528376,6246259547,2142311266,7275771103,1234740240,7687959708,6246259547,29.5755,46.9577,15.2249,8.7958,18.029,51.3656,13.5861,662.6739,59.5194,11.7967,9.3668,16.1314,11.1758,8.8967,112.4824,33.4366,186.5594,8.0873,7.2131,0.856,5.5884,2.7202,1.8359,0.757,1.748,1.4402,3.026,0.9569,0.8682,1.5657,1.872,1.2508,1.2017,2.0308,0.9053,1.8033,0.9894,0.9743,0.6484,10.8191,1.5609,0.6241,0.6386,1.7433,1.4254,1.8497,2.126,0.8414,1.5899,1.5114,0.8934,0.6571,1.1774,0.541,35.363,0.5805,0.5328
2014/1/24,1.1905,2.1016,-0.2049,0.6363,0.5226,0,0.4934,0.8475,0.5348,1.3514,0,1.2698,1.1958,-0.1781,0.5348,0.5208,1.912,-0.4942,0,0.6828,1.3479,1.7873,1.2516,0.5299,3.2878,0.7084,0.4716,0.2603,2.8863,0.4146,1.5112,2.0474,0.9411,0.6646,0.4283,0.2968,1.5327,0.0727,9274352583,852568303.7,1026061201,3880371965,5077667873,995283337.2,3395057971,3255840000,5184250723,1880758110,66315068760,3289439790,5254621391,6235135309,2153767476,7313665744,1258349040,7649963202,6235135309,29.9276,47.9445,15.1937,8.8517,18.1232,51.3656,13.6531,668.2898,59.8376,11.9562,9.3668,16.3362,11.3094,8.8808,113.0839,33.6108,190.1265,8.0474,7.2046,0.8662,5.7059,2.7146,1.8476,0.761,1.748,1.4473,3.0517,0.9621,0.8799,1.5657,1.8957,1.2658,1.1996,2.0416,0.9101,1.8378,0.9845,0.9732,0.6561,11.0465,1.5577,0.628,0.6419,1.7433,1.4324,1.8654,2.1374,0.8527,1.5899,1.5306,0.9041,0.6559,1.1837,0.5438,36.0391,0.5777,0.5321
2014/1/27,-2.6144,-1.5437,-2.2587,-2.1075,-1.5598,-2.8021,-0.982,-1.0084,-0.5319,-1.3333,-5.3679,-1.0449,-2.2157,-2.4978,0,0.5181,-1.8762,-3.1457,-1.8792,0.6431,1.0337,1.3165,1.1417,0.5467,2.7334,0.8746,0.3626,0.378,1.3198,0.6309,1.4918,1.131,1.0284,0.5201,0.5976,0.3487,1.0723,0.1416,9031885849,839406871.9,1002885281,3798593841,4998466814,967394487.2,3361718612,3223008000,5156674922,1855681335,62755333465,3255067379,5138196988,6079395980,2153767476,7351560385,1234740240,7409318664,6079395980,29.1451,47.2044,14.8505,8.6652,17.8405,49.9263,13.519,661.5507,59.5194,11.7967,8.864,16.1655,11.0588,8.659,113.0839,33.7849,186.5594,7.7942,7.0678,0.8436,5.6178,2.6533,1.8086,0.7491,1.6991,1.4331,3.0209,0.9569,0.8682,1.4816,1.8759,1.2377,1.1696,2.0416,0.9148,1.8033,0.9536,0.9547,0.639,10.876,1.5225,0.6148,0.6319,1.6945,1.4184,1.8466,2.126,0.8414,1.5046,1.5146,0.8841,0.6396,1.1837,0.5467,35.363,0.5595,0.522
2014/1/28,0.5369,0.6969,0.4202,0.8611,-0.1761,0.9009,0.1653,0.5093,-0.8021,0.1351,1.211,2.8511,0.1511,1.0979,-0.8865,0.2577,-1.3384,3.2479,-0.8208,0.4155,0.5905,0.8146,0.6543,0.3614,1.6205,0.329,0.3439,0.2281,1.0867,0.2701,2.9462,0.837,0.5344,0.2636,0.4323,0.4288,1.5273,0.0863,9080379196,845256397.2,1007099084,3831305091,4989666696,976109752.8,3367275172,3239424000,5115311219,1858189013,63515276955,3347872890,5145958615,6146141407,2134673793,7370507706,1218214080,7649963202,6146141407,29.3016,47.5333,14.9129,8.7398,17.8091,50.3761,13.5414,664.9203,59.0419,11.8127,8.9714,16.6264,11.0755,8.7541,112.0813,33.872,184.0624,8.0474,7.0133,0.8481,5.6569,2.6645,1.8242,0.7478,1.7144,1.4354,3.0363,0.9493,0.8694,1.4996,1.9294,1.2396,1.1824,2.0235,0.9171,1.7792,0.9845,0.9473,0.6424,10.9518,1.5289,0.6201,0.6308,1.7097,1.4207,1.856,2.109,0.8425,1.5228,1.5578,0.8854,0.6466,1.1732,0.5481,34.8897,0.5777,0.518
2014/1/29,0.6676,0,-0.2092,-0.2134,-0.3527,-2.1429,0.6601,0,1.3477,-0.135,1.1965,-0.1027,-0.1508,-0.181,-0.7156,-0.7712,1.938,-0.8278,0,0.4044,0.6443,0.6636,0.5917,0.364,2.4621,0.3587,0.2811,0.1929,0.7249,0.2599,1.7414,0.6543,0.5025,0.3081,0.56,0.4598,0.8898,0.0382,9140995879,845256397.2,1004992182,3823127278,4972066461,955193115.2,3389501411,3239424000,5184250723,1855681335,64275220445,3344435649,5138196988,6135017169,2119398846,7313665744,1241822880,7586635692,6135017169,29.4972,47.5333,14.8817,8.7212,17.7463,49.2966,13.6308,664.9203,59.8376,11.7967,9.0787,16.6094,11.0588,8.7382,111.2793,33.6108,187.6295,7.9808,7.0156,0.8538,5.6569,2.6589,1.8203,0.7451,1.6776,1.4449,3.0363,0.9621,0.8682,1.5175,1.9274,1.2377,1.1803,2.0091,0.9101,1.8136,0.9764,0.9476,0.6467,10.9518,1.5257,0.6188,0.6286,1.6731,1.4301,1.856,2.1374,0.8414,1.541,1.5562,0.8841,0.6454,1.1648,0.5438,35.5658,0.5729,0.5182
