ÈÕÆÚ,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH
2014/1/16,4.9815,0.7968,-0.4141,5.2174,0.1838,0,2.5939,-1.8127,,1.4223,,,-0.3356,3.4242,1.3418,0.2852,1.525,0.1596,0.2517,1.5712,0.767,,0.8813,,,0.0857,1723933542,2294387916,1289080000,1723933542,,1075879200,2087765523,2233666630,,3639624480,,,2087765523,1.9916,169.4574,305.301,0.667,44.2074,2677.0169,462.9973,-9.3029,,13.4268,,,146.4178,447.9537,1.0246,2.459,150.0311,3.3949,2.2523,6.8153,12.1587,,2.0667,,,2.1552,11.5715,0.6981,0.8895,3.8756,0.2717,3.8374,5.7242,1.418,,1.14,,,1.8102
2014/1/17,4.9209,-1.7787,-1.0395,4.9587,-0.9174,-1.6293,-3.1386,-3.0769,,-0.9709,,,-0.1684,2.9211,0.972,0.3901,0.2803,0.0969,0.1685,1.0615,0.7624,,0.6672,,,0.0826,1808766827,2253578645,1275680000,1808766827,,1058349600,2022238445,2164938426,,3604288320,,,2022238445,2.0896,166.4434,302.1274,0.6998,43.7835,2633.3995,448.4655,-9.0167,,13.2965,,,146.1138,469.9971,1.0064,2.4334,157.4047,3.3623,2.2156,6.6013,11.7846,,2.0467,,,2.1508,12.1409,0.6857,0.8803,4.0661,0.2691,3.7748,5.5446,1.3744,,1.1289,,,1.8065
2014/1/20,0.335,3.0181,-0.6303,5.1181,0.1852,0.4141,-1.8002,3.1746,,-0.5447,,,-0.3373,4.7768,1.0643,0.3819,0.0301,0.0593,0.2053,0.6437,0.8775,,0.8842,,,0.0587,1814826348,2321594097,1267640000,1814826348,,1062732000,1985834512,2233666630,,3584657120,,,1985834512,2.0966,171.4668,300.2232,0.736,43.8874,2644.3039,440.3923,-9.3029,,13.2241,,,145.7212,471.5716,1.0368,2.4181,165.547,3.3703,2.2248,6.4825,12.1587,,2.0355,,,2.145,12.1816,0.7064,0.8747,4.2764,0.2697,3.7905,5.4447,1.418,,1.1227,,,1.8016
2014/1/21,1.0017,1.9531,1.6913,4.8689,1.8484,1.0309,1.1916,-0.6154,,2.3001,,,1.0152,2.8054,1.8409,0.2577,0.0973,0.2018,0.2023,0.7066,0.6353,,1.2756,,,0.0557,1833004909,2366937731,1289080000,1833004909,,1073688000,2009497068,2219920989,,3667108160,,,2009497068,2.1176,174.8158,305.301,0.7716,44.6828,2671.5647,445.6399,-9.2457,,13.5282,,,147.1597,476.2952,1.057,2.459,173.5456,3.4314,2.2477,6.5598,12.0839,,2.0823,,,2.1662,12.3036,0.7202,0.8895,4.483,0.2746,3.8296,5.5096,1.4093,,1.1486,,,1.8194
2014/1/22,-3.4711,0.1916,2.7027,0.7143,0.1815,2.449,3.7138,1.8576,,1.9272,,,2.0101,2.6127,1.6073,0.7229,3.0966,0.374,0.5832,1.6999,0.9724,,1.7372,,,0.4282,1769379945,2371472095,1323920000,1769379945,,1099982400,2084125130,2261157912,,3737780480,,,2084125130,2.0441,175.1507,313.5524,0.7773,44.7769,2736.9908,462.1899,-9.4174,,13.7889,,,150.1693,459.7626,1.0591,2.5255,174.8363,3.4386,2.3028,6.8034,12.3084,,2.1225,,,2.2105,11.8765,0.7215,0.9136,4.5164,0.2752,3.9233,5.7142,1.4355,,1.1707,,,1.8566
2014/1/23,-1.8836,0.7648,3.0364,4.6099,-0.1812,-0.5976,10.0437,-0.6079,,-1.1555,,,3.1199,2.4159,1.4983,1.045,1.6316,0.4254,0.4335,3.5802,0.7126,,1.4458,,,0.8405,1736052583,2389609549,1364120000,1736052583,,1093408800,2293447741,2247412271,,3694591840,,,2293447741,2.0056,176.4903,323.0732,0.8133,44.7049,2720.6343,508.6108,-9.3602,,13.6296,,,154.9051,451.1027,1.0672,2.6021,182.9333,3.4331,2.289,7.4867,12.2336,,2.098,,,2.2802,11.6528,0.7271,0.9413,4.7255,0.2747,3.8999,6.2882,1.4267,,1.1572,,,1.9152
2014/1/24,5.0611,0.5693,0.7859,4.7458,-0.1815,1.2024,2.3016,0.6116,,5.2072,,,-0.4777,3.3171,1.6065,0.6435,2.0612,0.4278,0.3257,5.4433,1.0044,,2.9865,,,0.6267,1823915628,2403212639,1374840000,1823915628,,1106556000,2346233443,2261157912,,3886977600,,,2346233443,2.1071,177.495,325.6121,0.8507,44.5632,2753.3473,520.3169,-9.4174,,14.3393,,,153.9834,473.9334,1.0732,2.6226,191.3545,3.4222,2.3166,7.659,12.3084,,2.2072,,,2.2666,12.2426,0.7312,0.9487,4.9431,0.2739,3.9468,6.4329,1.4355,,1.2174,,,1.9038
2014/1/27,-3.4884,-2.8302,-0.1949,-0.6472,-0.5455,0.7921,0.3103,-2.4316,,-2.9293,,,-0.16,2.1321,1.2829,0.5333,0.9499,0.2104,0.66,2.8622,0.8004,,2.2693,,,0.2035,1760290665,2335197187,1372160000,1760290665,,1115320800,2353514230,2206175348,,3773116640,,,2353514230,2.0336,172.4715,324.9774,0.8445,44.2823,2775.156,521.9315,-9.1884,,13.9193,,,153.7043,457.4009,1.0429,2.6175,189.9541,3.4006,2.3349,7.6828,12.0091,,2.1425,,,2.2625,11.8155,0.7105,0.9468,4.9069,0.2721,3.978,6.4528,1.4006,,1.1818,,,1.9003
2014/1/28,-2.926,3.8835,-1.9531,-4.886,0.3656,0.1965,1.0828,0.6231,,-0.3122,,,0.1603,1.4723,1.4571,0.5299,1.6732,0.1501,0.607,2.8309,0.4471,,1.4678,,,0.157,1708784742,2425884456,1345360000,1708784742,,1117512000,2378996982,2219920989,,3761337920,,,2378996982,1.9741,179.1694,318.6302,0.8035,44.4589,2780.6082,527.5828,-9.2457,,13.8758,,,154.0288,444.0173,1.0834,2.5664,180.7327,3.4142,2.3395,7.7659,12.0839,,2.1359,,,2.2673,11.4698,0.7381,0.9284,4.6687,0.2732,3.9859,6.5227,1.4093,,1.1781,,,1.9043
2014/1/29,0.5319,1.1215,1.7928,0.3425,0.1821,0.5882,3.8256,0,,-0.1044,,,0.32,0.7607,1.6741,0.5002,0.7333,0.0444,0.3804,3.2587,0.7237,,1.5979,,,0.2127,1717874022,2453090637,1369480000,1717874022,,1124085600,2470006813,2219920989,,3757411680,,,2470006813,1.9846,181.1788,324.3427,0.8068,44.5683,2796.9647,547.7657,-9.2457,,13.8614,,,154.5723,446.3791,1.0955,2.6124,181.467,3.4226,2.3533,8.063,12.0839,,2.1336,,,2.2753,11.5308,0.7464,0.945,4.6876,0.2739,4.0093,6.7722,1.4093,,1.1769,,,1.911
