ÈÕÆÚ,000017.SZ,000913.SZ,002105.SZ,200017.SZ,200054.SZ,600099.SH,600679.SH,600877.SH,603129.SH,603766.SH,603776.SH,603787.SH,900916.SH
2019/3/21,5.6,11.78,5.12,2.23,8.02,7.25,17.01,5.57,24.623,5.19,18.3796,11.5314,0.625
2019/3/22,5.65,12.21,5.13,2.2,8.09,7.52,17.71,5.75,23.4509,5.27,18.9256,11.6685,0.623
2019/3/25,5.92,11.76,5.1,2.24,7.91,7.68,15.94,5.75,22.4069,5.24,18.2591,11.7175,0.606
2019/3/26,5.43,11.22,5.04,2.14,7.97,7.22,14.7,5.46,21.6978,5.04,17.8124,11.2374,0.598
2019/3/27,5.33,11.28,4.95,2.18,7.81,7.14,14.92,5.45,22.1705,5.02,17.5784,11.257,0.604
2019/3/28,5.24,11.61,4.82,2.16,7.81,6.95,14.16,5.43,21.5993,4.92,17.3373,11.2178,0.605
2019/3/29,5.38,11.9,4.94,2.2,7.99,7.12,14.6,5.58,22.3577,5.06,17.7273,11.4628,0.611
2019/4/1,5.5,12.08,5.18,2.23,8.05,7.41,15.05,5.76,23.2441,5.37,18.2449,11.7959,0.618
2019/4/2,5.47,11.86,5.38,2.2,8.1,7.55,15.04,5.75,22.9585,5.37,18.2804,11.6293,0.619
2019/4/3,5.63,11.81,5.92,2.21,8.1,7.65,16.15,5.96,23.1653,5.37,18.7625,12.031,0.627
2019/4/4,5.57,11.61,5.59,2.21,8.05,7.65,15.62,5.98,23.0471,5.45,18.5356,11.9134,0.622
2019/4/8,5.48,12.05,5.65,2.15,8.11,7.57,15.02,6.04,22.4266,5.38,17.9187,11.7175,0.614
2019/4/9,5.46,11.87,5.5,2.18,8.2,7.81,15.15,6.32,22.8107,5.33,18.5782,12.2661,0.616
2019/4/10,5.48,11.49,5.39,2.16,8.16,7.72,14.89,6.36,23.2933,5.38,18.486,11.9918,0.61
2019/4/11,5.48,11.22,5.46,2.15,8.1,8.49,14.55,6.57,22.4562,5.33,17.9967,12.4229,0.607
2019/4/12,5.39,11.32,5.35,2.12,8.1,9.34,14.42,6.9,22.6039,5.54,17.8691,13.6574,0.6
2019/4/15,5.29,10.99,5.49,2.1,7.55,8.88,14.42,7.01,22.7418,5.38,17.8265,12.7364,0.601
2019/4/16,5.37,11.07,5.51,2.12,7.55,8.88,14.59,7.36,22.6433,5.35,17.9684,12.5503,0.608
2019/4/17,5.39,11.72,5.92,2.12,7.56,9.3,14.92,7.73,22.8698,5.55,18.1244,13.0989,0.613
2019/4/18,5.36,11.41,6.01,2.08,7.5,8.7,14.56,7.34,22.5645,5.5,17.8195,12.5601,0.608
2019/4/19,5.42,11.34,5.53,2.1,7.49,8.54,14.38,7.4,22.3281,5.47,18.3158,12.6384,0.603
2019/4/22,5.53,11.07,5.36,2.1,7.37,8.27,14.12,7.05,22.2395,5.41,17.8549,12.5209,0.597
2019/4/23,5.23,10.8,5.3,2.07,7.27,8.12,14.36,7.4,21.747,5.14,18.0676,12.5699,0.597
2019/4/24,5.24,10.94,5.36,2.05,7.45,8.42,13.59,7.06,21.6584,5.21,18.5498,12.8638,0.592
2019/4/25,4.91,10.68,5,1.99,7.28,8.19,13.16,6.71,22.1311,5,17.8124,12.707,0.59
2019/4/26,4.88,10.2,4.87,1.98,7.3,8.13,13.12,6.69,22.4857,4.86,16.9189,11.8743,0.589
2019/4/29,4.64,9.77,4.56,1.92,7.13,8.94,12.8,6.43,22.2001,4.86,16.5644,11.0023,0.566
2019/4/30,4.74,10.01,4.59,1.95,6.97,8.18,13.06,6.72,21.8258,4.8,17.706,11.2374,0.566
2019/5/6,4.35,9.07,4.26,1.85,6.4,7.36,11.75,6.38,20.0431,4.38,16.4013,10.1989,0.535
2019/5/7,4.43,9.98,4.4,1.87,6.51,7.31,11.92,6.08,19.856,4.44,17.2309,10.5614,0.53
2019/5/8,4.4,10.35,4.43,1.86,6.58,7.17,11.93,5.88,19.984,4.58,16.6707,10.9337,0.53
2019/5/9,4.35,10.2,4.57,1.86,6.39,7.37,11.87,5.91,19.9545,4.62,17.5216,10.9827,0.525
2019/5/10,4.5,10.3,4.65,1.9,6.54,7.58,12.23,6.09,20.3681,4.65,19.2731,11.0807,0.538
2019/5/13,4.52,10.1,4.54,1.87,6.35,7.6,13.45,6.13,20.3681,4.49,19.8333,10.8945,0.552
2019/5/14,4.45,10.18,4.48,1.85,6.36,7.52,13.87,6.05,19.9939,4.5,19.0462,10.9141,0.549
2019/5/15,4.55,10.31,4.58,1.86,6.48,7.88,14.35,6.02,20.5454,4.53,20.9536,11.0415,0.553
2019/5/16,4.61,10.48,4.64,1.86,6.48,7.84,13.8,6.05,20.5947,4.54,20.592,11.3256,0.545
2019/5/17,4.34,10.1,4.37,1.8,6.38,7.5,13.11,5.92,20.1416,4.41,20.9182,11.0611,0.536
2019/5/20,4.28,9.8,4.45,1.76,6.06,7.75,13.34,5.78,19.9052,4.3,19.4716,11.1493,0.525
2019/5/21,4.39,9.99,4.57,1.8,6.21,7.86,13.97,6,20.3878,4.35,20.3367,11.4628,0.53
2019/5/22,4.35,9.88,4.62,1.83,6.19,7.83,13.55,6,20.4765,4.3,19.7765,11.6587,0.524
2019/5/23,4.21,9.65,4.44,1.76,6.16,7.28,12.8,5.9,20.2893,4.2,18.6704,11.6489,0.516
2019/5/24,4.23,9.56,4.43,1.76,6.05,7.45,13.31,5.78,19.8855,4.29,17.7698,11.9232,0.515
2019/5/27,4.65,9.75,4.6,1.88,6.16,7.6,13.35,6,20.4174,4.25,17.9825,11.9918,0.51
2019/5/28,4.6,9.86,4.62,1.87,6.12,7.61,13.37,6.06,20.7227,4.19,19.1525,12.2172,0.503
2019/5/29,4.6,9.95,4.64,1.86,6.18,7.82,13.38,6.02,20.2992,4.22,18.6987,12.2857,0.507
2019/5/30,4.51,10.19,4.56,1.84,6.11,7.83,14.72,5.88,20.1613,4.23,18.5073,12.5895,0.524
2019/5/31,4.43,10.06,4.59,1.83,6.15,7.79,15.33,5.88,20.2696,4.16,18.1031,12.2563,0.519
2019/6/3,4.39,9.78,4.44,1.82,6.14,7.53,14.51,5.84,20.3386,4.03,17.9613,12.3641,0.511
2019/6/4,4.27,9.62,4.34,1.81,5.87,7.16,15.06,5.8,19.7082,4.06,17.0111,12.08,0.52
2019/6/5,4.3,9.6,4.35,1.84,5.91,7.3,14.47,5.81,19.3635,3.98,17.5358,12.22,0.513
2019/6/6,4.07,9.52,4.18,1.73,5.94,7.21,13.83,5.52,18.7135,3.98,16.4864,11.9,0.511
2019/6/10,4.17,9.8,4.2,1.72,5.97,7.22,13.75,5.45,18.7824,3.92,16.7416,13.09,0.511
2019/6/11,4.32,10.16,4.43,1.76,6.05,7.44,14.33,5.72,19.3241,4.1,17.3302,13.61,0.525
2019/6/12,4.75,10.24,4.48,1.88,6.04,7.5,14.2,5.7,19.3044,4.09,17.0182,14.09,0.523
2019/6/13,4.56,10.39,4.46,1.84,5.95,7.69,14.64,5.71,19.334,4.12,17.7982,15.5,0.529
2019/6/14,4.47,10.28,4.31,1.81,5.79,7.34,13.96,5.64,19.1271,4.05,17.0182,14.97,0.52
2019/6/17,4.51,10.35,4.29,1.83,5.68,7.54,14.78,5.55,19.0779,4.11,17.0962,15.62,0.527
2019/6/18,4.48,10.33,4.28,1.83,5.72,7.43,15,5.49,19.068,4.06,17.2309,14.23,0.525
2019/6/19,4.48,10.86,4.42,1.84,5.73,7.65,14.73,5.53,19.5999,4.12,17.3515,14.38,0.529
2019/6/20,4.53,10.86,4.46,1.83,5.64,7.75,14.78,5.6,20.0431,4.22,17.8336,14.92,0.531
2019/6/21,4.62,10.83,4.63,1.88,5.93,7.93,14.77,5.79,20.5257,4.26,18.3371,16.41,0.536
2019/6/24,4.68,11.23,4.55,1.89,5.94,8.09,15.05,5.72,20.4568,4.41,18.2165,18.05,0.534
2019/6/25,4.56,10.81,4.6,1.85,5.92,7.82,14.88,5.66,20.5553,4.3,18.33,16.41,0.532
2019/6/26,4.53,10.65,4.61,1.85,5.88,7.77,14.33,5.66,20.7523,4.24,18.23,14.77,0.531
2019/6/27,4.52,10.55,4.58,1.87,5.92,7.77,14.3,5.81,20.9,4.25,18.71,14.5,0.53
2019/6/28,4.47,10.3,4.59,1.85,5.83,7.57,13.96,6.1,20.83,4.19,18.27,14.75,0.529
2019/7/1,4.61,10.5,4.7,1.89,6.07,7.75,14.24,6.24,21.2,4.32,18.78,14.66,0.536
2019/7/2,4.61,10.55,4.61,1.88,6.03,7.79,14.16,6.21,21.58,4.28,18.49,14.5,0.533
2019/7/3,4.51,10.32,4.63,1.85,6.02,7.89,13.98,6.16,21.55,4.24,18.23,14.8,0.527
2019/7/4,4.53,10.32,4.66,1.87,6.01,8,13.71,6.31,21.56,4.23,18.02,14.53,0.523
2019/7/5,4.5,10.31,4.67,1.85,5.91,8.01,13.76,6.31,21.78,4.22,18.21,14.32,0.523
2019/7/8,4.36,10.04,4.45,1.82,5.91,7.6,12.98,5.99,21.23,4.05,17.31,14.26,0.506
2019/7/9,4.34,10.09,4.61,1.81,5.95,7.53,13.08,6.29,21.21,4.05,17.33,14.43,0.504
2019/7/10,4.29,10.06,4.5,1.79,6,7.52,12.98,6.32,21.55,4.04,17.16,14.45,0.505
2019/7/11,4.26,10.05,4.44,1.8,5.98,7.62,12.88,6.33,21.54,3.97,17.36,14.49,0.503
2019/7/12,4.32,10.32,4.46,1.79,5.82,7.55,13.02,6.63,21.3,3.99,17.35,15.94,0.504
2019/7/15,4.37,10.26,4.91,1.8,5.81,7.56,13.08,6.96,21.56,4.15,17.5,17.53,0.507
2019/7/16,4.4,10.16,5.4,1.82,5.75,7.44,13.42,6.82,21.88,4.11,17.3,19.28,0.511
2019/7/17,4.4,10.1,5.94,1.8,5.68,7.54,13.24,7.07,21.01,4.06,17.58,19.49,0.507
2019/7/18,4.29,9.99,5.35,1.8,5.52,7.37,12.9,7.06,20.23,3.98,17.05,19.18,0.506
2019/7/19,4.43,10,4.92,1.84,5.5,7.4,13.01,6.73,21.01,4.03,17.1,19.85,0.507
2019/7/22,4.22,9.77,4.81,1.79,5.45,7.11,12.39,6.39,20.38,3.92,16.41,19.76,0.503
2019/7/23,4.31,9.88,4.86,1.82,5.3,7.18,12.58,6.53,20.13,3.92,16.59,19.57,0.506
2019/7/24,4.5,9.89,4.78,1.82,5.34,7.33,12.69,6.68,20.32,3.95,16.98,21.53,0.507
2019/7/25,4.45,9.89,4.93,1.83,5.25,7.32,12.88,6.85,20.08,3.95,16.79,20.11,0.507
2019/7/26,4.44,9.91,4.85,1.82,5.19,7.28,13.3,6.79,20.19,3.96,17.39,19.67,0.51
2019/7/29,4.34,10.01,4.7,1.78,5.26,7.31,13.4,6.73,20.18,3.91,17.15,18.87,0.509
2019/7/30,4.36,10.02,4.68,1.8,5.25,7.35,13.24,6.7,20.1,3.9,17.33,19.55,0.508
2019/7/31,4.29,9.9,4.55,1.79,5.29,7.22,13.01,6.83,20.14,3.91,17.4,19.58,0.505
2019/8/1,4.28,9.91,4.57,1.79,5.25,7.15,12.83,6.79,20.07,3.81,17.49,19.33,0.496
2019/8/2,4.21,9.78,4.49,1.79,5.2,6.94,12.5,6.71,19.86,3.72,17.67,19.42,0.482
2019/8/5,4.11,9.7,4.44,1.76,5.05,6.87,12.47,6.48,19.41,3.68,17.18,19.42,0.461
2019/8/6,3.96,9.28,4.27,1.72,4.97,6.5,11.86,6.24,19.04,3.5,17.56,20.08,0.444
2019/8/7,3.9,9.26,4.24,1.75,4.85,6.54,11.78,6.17,18.9,3.51,17.32,19.72,0.448
2019/8/8,3.9,9.27,4.28,1.75,4.8,6.67,11.8,6.23,19.12,3.51,17.3,19.97,0.45
2019/8/9,3.86,9.35,4.29,1.71,4.65,6.52,11.52,6.1,18.54,3.47,16.73,19.44,0.445
2019/8/12,3.97,9.44,4.41,1.69,4.47,6.64,11.84,6.06,18.5,3.5,16.86,19.56,0.448
2019/8/13,3.95,9.37,4.4,1.69,4.42,6.5,11.71,5.94,18.07,3.41,16.66,19.61,0.443
2019/8/14,3.95,9.39,4.5,1.7,4.44,6.55,11.65,6.22,18.53,3.54,17.12,19.43,0.44
2019/8/15,3.96,9.32,4.45,1.67,4.39,6.54,11.71,6.17,18.46,3.5,17.25,19.72,0.439
2019/8/16,4.06,9.3,4.4,1.7,4.48,6.57,11.72,6.35,18.37,3.49,17.22,19.62,0.445
2019/8/19,4.47,9.41,4.56,1.78,4.52,6.77,12.5,6.42,19.07,3.63,17.66,21.16,0.463
2019/8/20,4.92,9.47,4.73,1.87,4.49,6.77,12.33,6.54,19.45,3.63,17.64,22.29,0.461
2019/8/21,5.41,9.42,4.8,1.95,4.47,6.76,12.95,6.51,19.3,3.61,17.66,23.2,0.467
2019/8/22,5.91,9.36,4.92,1.88,4.48,6.86,12.74,6.67,19.45,3.65,17.7,23.62,0.468
2019/8/23,5.32,9.32,4.81,1.83,4.42,6.77,12.52,6.66,21.4,3.62,17.33,23.51,0.46
2019/8/26,5.1,9.25,4.79,1.85,4.39,6.79,12.21,6.48,23.54,3.58,16.96,24.2,0.451
2019/8/27,5.16,9.38,4.84,1.85,4.49,6.92,12.55,6.59,25.25,3.7,17.13,22.62,0.455
2019/8/28,5.68,9.46,4.86,1.89,4.57,6.95,12.49,6.5,24.15,3.66,17.22,21.72,0.45
2019/8/29,6.25,9.52,4.89,1.94,4.62,6.86,12.61,6.52,23.88,3.65,17.58,21.72,0.449
2019/8/30,5.63,9.33,4.66,1.87,4.59,6.79,12.31,6.47,24.26,3.6,17.58,21.48,0.449
2019/9/2,6.19,9.51,4.81,1.93,4.63,6.95,12.4,6.27,26.69,3.67,17.38,21.44,0.455
2019/9/3,5.91,9.75,4.9,1.92,4.55,6.96,12.38,6.23,25.98,3.69,17.75,21.5,0.45
2019/9/4,5.77,9.66,4.94,1.9,4.53,6.98,12.45,6.35,25.86,3.74,17.74,21.6,0.449
2019/9/5,5.62,9.69,4.91,1.9,4.65,7.04,12.64,6.3,26.1,3.75,17.8,21.56,0.46
2019/9/6,5.59,9.74,4.92,1.9,4.58,7.04,12.6,6.37,26.5,3.78,17.92,21.22,0.462
2019/9/9,5.56,9.97,5,1.9,4.75,7.14,12.79,6.38,26.22,3.85,18,21.39,0.471
2019/9/10,5.48,9.92,5.19,1.9,5,7.17,12.93,6.32,26,3.83,18.08,21.19,0.474
2019/9/11,5.31,9.88,5.1,1.9,5.31,7.13,12.83,6.29,26.34,3.87,18.14,20.81,0.473
2019/9/12,5.34,9.95,5.16,1.9,5.47,7.25,12.86,6.35,28,3.89,18.08,21.14,0.478
2019/9/16,5.35,10.1,5.19,1.9,5.41,7.3,12.92,6.3,28.2,3.92,18.23,20.45,0.477
2019/9/17,5.41,9.82,5.21,1.87,5.44,7.11,13.09,6.11,26.4,3.8,18.86,20.33,0.469
2019/9/18,5.19,9.81,5.13,1.85,5.3,7.1,14.4,6.12,28.63,3.84,20.75,19.7,0.498
2019/9/19,5.14,9.85,5.07,1.88,5.3,7.27,14.49,6.21,30.04,3.81,20.21,21.19,0.495
2019/9/20,5.09,9.92,5.08,1.89,5.25,7.39,13.82,6.41,29.04,3.8,20.36,20.63,0.499
2019/9/23,5.12,9.75,4.9,1.88,5.19,7.28,13.52,6.66,29.41,3.78,21.29,20.72,0.498
2019/9/24,5.06,9.81,5.14,1.88,5.35,7.23,13.32,6.71,29,3.74,20.87,20.68,0.497
2019/9/25,5.04,9.52,4.93,1.88,5.3,7.07,13.19,6.37,28,3.63,20.25,21.66,0.496
2019/9/26,4.74,9.37,4.9,1.85,5.17,6.71,12.37,6.17,30.8,3.62,19.44,22.59,0.495
2019/9/27,4.87,9.39,4.86,1.87,5.28,6.89,12.5,6.2,31.85,3.59,19.06,21.95,0.497
2019/9/30,4.77,9.53,4.76,1.85,5.13,6.83,12.28,6.08,33.3,3.52,18.26,21.58,0.5
