ÈÕÆÚ,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH
2014/1/16,-0.2058,4.1775,0.2545,0,-2.1933,-0.2564,,2.2149,-1.4742,,,,0,0.9091,-1.0776,,,,,0.33,0.7304,0.4533,7.1474,4.8409,0.5097,,3.6617,4.3721,,,,0.6307,0.423,0.6102,,,,,2370909192,2093992690,1890014848,1074343485,1675514694,942485868.7,,985158310.5,818069786.3,,,,2057000000,2913300490,2693693252,,,,,13.6554,75.672,73.4415,28.6618,19.6159,95.7025,,110.9777,23.7277,,,,14.5564,9.3058,25.0485,,,,,0.9959,1.3435,1.4702,4.0099,2.6229,1.6381,,3.8605,2.4685,,,,4.059,1.1784,2.1639,,,,,0.3661,0.3972,0.3157,4.481,2.4875,0.7964,,2.7604,2.4948,,,,0.8848,0.3412,0.7646,,,,
2014/1/17,-1.8557,1.7544,-1.7766,-3.4803,0.8306,-1.5424,,-2.8892,1.5794,,,,-0.9091,-2.4453,-1.0893,,,,,0.3568,1.2642,0.335,5.2937,4.9657,0.3767,,1.9191,5.6769,,,,0.8098,0.3688,0.468,,,,,2326912939,2130729404,1856435904,1036953341,1689430929,927948811.6,,956694667.5,830990256.7,,,,2038300000,2842061482,2664350189,,,,,13.402,76.9995,72.1367,27.6643,19.7789,94.2263,,107.7713,24.1024,,,,14.424,9.0783,24.7757,,,,,0.9774,1.3671,1.4441,3.8704,2.6447,1.6128,,3.7489,2.5075,,,,4.0221,1.1496,2.1403,,,,,0.3593,0.4042,0.3101,4.325,2.5081,0.7842,,2.6807,2.5342,,,,0.8767,0.3329,0.7562,,,,
2014/1/20,1.0504,-0.9852,0,-2.0032,1.6474,-0.2611,,0.4132,-1.8822,,,,1.0008,0.2639,0.1468,,,,,0.2279,0.5486,0.2688,3.4756,5.4486,0.2515,,1.8903,3.8605,,,,0.6472,0.2354,0.3897,,,,,2351355301,2109736996,1856435904,1016181038,1717263399,925525968.7,,960647951.3,815349687.2,,,,2058700000,2849560325,2668262597,,,,,13.5428,76.2409,72.1367,27.1101,20.1047,93.9803,,108.2166,23.6488,,,,14.5684,9.1022,24.8121,,,,,0.9877,1.3536,1.4441,3.7928,2.6883,1.6086,,3.7644,2.4603,,,,4.0624,1.1526,2.1434,,,,,0.363,0.4002,0.3101,4.2384,2.5495,0.7821,,2.6917,2.4865,,,,0.8855,0.3337,0.7573,,,,
2014/1/21,1.0395,0.4975,0.7752,1.6353,0.6483,0.7853,,1.9753,5.2544,,,,0.4129,1.9737,2.566,,,,,0.3138,0.2956,0.3903,3.2269,5.7917,0.2782,,1.8212,7.6451,,,,0.5767,0.3013,1.2032,,,,,2375797664,2120233200,1870826880,1032798880,1728396387,932794497.3,,979623713.3,858191247.1,,,,2067200000,2905801647,2736729746,,,,,13.6835,76.6202,72.6959,27.5534,20.235,94.7184,,110.3542,24.8914,,,,14.6286,9.2819,25.4487,,,,,0.998,1.3604,1.4552,3.8548,2.7057,1.6213,,3.8388,2.5896,,,,4.0791,1.1754,2.1984,,,,,0.3668,0.4022,0.3125,4.3077,2.566,0.7883,,2.7449,2.6171,,,,0.8891,0.3403,0.7768,,,,
2014/1/22,2.0576,1.2376,1.7949,0.9654,0.4831,2.0779,,1.1299,0.3962,,,,2.6316,2.1935,0.9292,,,,,0.7122,0.5155,0.9483,4.4431,5.6846,0.59,,2.1346,6.6113,,,,0.9246,0.5701,1.5819,,,,,2424682390,2146473710,1904405824,1042769586,1736746128,952177240.1,,990692907.8,861591370.9,,,,2121600000,2969541812,2762160401,,,,,13.9651,77.5685,74.0007,27.8194,20.3328,96.6866,,111.6011,24.99,,,,15.0135,9.4855,25.6852,,,,,1.0185,1.3772,1.4814,3.8921,2.7188,1.655,,3.8822,2.5998,,,,4.1865,1.2011,2.2189,,,,,0.3744,0.4072,0.3181,4.3493,2.5784,0.8046,,2.7759,2.6275,,,,0.9125,0.3478,0.784,,,,
2014/1/23,-0.8065,0.2445,0.7557,2.6295,-1.6827,0.7634,,0.7183,0.6314,,,,2.4038,-0.1263,-0.779,,,,,0.6501,0.3964,0.7801,7.8522,7.938,0.5613,,3.1722,6.9229,,,,1.3952,0.3598,1.0078,,,,,2405128500,2151721812,1918796800,1070189025,1707522035,959445768.6,,997808818.5,867031569,,,,2172600000,2965792391,2740642154,,,,,13.8525,77.7582,74.5599,28.5509,19.9907,97.4246,,112.4028,25.1478,,,,15.3744,9.4735,25.4851,,,,,1.0103,1.3806,1.4926,3.9944,2.673,1.6676,,3.9101,2.6162,,,,4.2871,1.1996,2.2016,,,,,0.3713,0.4082,0.3205,4.4636,2.535,0.8108,,2.7959,2.6441,,,,0.9345,0.3474,0.7779,,,,
2014/1/24,0.4065,0.4878,1,-0.7764,3.423,0.5051,,1.4263,2.2745,,,,0.939,0.6321,1.142,,,,,0.5829,0.5878,1.005,7.9641,6.9474,0.4791,,3.4187,8.0536,,,,0.8967,0.4499,1.3543,,,,,2414905445,2162218016,1937984768,1061880104,1765970222,964291454.3,,1012040640,886752287,,,,2193000000,2984539498,2771941422,,,,,13.9088,78.1375,75.3055,28.3293,20.6749,97.9167,,114.006,25.7198,,,,15.5188,9.5334,25.7762,,,,,1.0144,1.3873,1.5075,3.9634,2.7645,1.676,,3.9658,2.6758,,,,4.3274,1.2072,2.2267,,,,,0.3728,0.4102,0.3237,4.429,2.6218,0.8149,,2.8357,2.7042,,,,0.9433,0.3496,0.7868,,,,
2014/1/27,-0.2024,-1.699,-0.9901,0,-0.8668,0.7538,,1.7969,-1.9939,,,,-0.155,-0.8794,-2.5406,,,,,0.4464,0.7896,0.6875,5.6287,5.6828,1.1209,,3.3297,5.967,,,,0.9823,0.4362,1.0682,,,,,2410016972,2125481302,1918796800,1061880104,1750662363,971559982.9,,1030225745,869071643.3,,,,2189600000,2958293548,2701518069,,,,,13.8806,76.8099,74.5599,28.3293,20.4957,98.6547,,116.0545,25.207,,,,15.4947,9.4496,25.1213,,,,,1.0123,1.3637,1.4926,3.9634,2.7405,1.6886,,4.0371,2.6224,,,,4.3207,1.1966,2.1702,,,,,0.3721,0.4032,0.3205,4.429,2.599,0.821,,2.8867,2.6503,,,,0.9418,0.3465,0.7668,,,,
2014/1/28,0.8114,0.4938,-0.5,-2.6604,-0.5564,0,,-1.7652,-2.2692,,,,1.1646,-0.1267,-0.1448,,,,,0.4401,0.4353,0.4465,4.3728,5.2211,0.8028,,2.0724,5.2173,,,,1.2313,0.3092,0.9612,,,,,2429570862,2135977506,1909202816,1033629772,1740920999,971559982.9,,1012040640,849350925.2,,,,2215100000,2954544126,2697605661,,,,,13.9932,77.1892,74.1871,27.5756,20.3817,98.6547,,114.006,24.635,,,,15.6752,9.4376,25.0849,,,,,1.0206,1.3705,1.4851,3.8579,2.7253,1.6886,,3.9658,2.5629,,,,4.371,1.1951,2.167,,,,,0.3751,0.4052,0.3189,4.3111,2.5846,0.821,,2.8357,2.5902,,,,0.9528,0.346,0.7657,,,,
2014/1/29,0,1.7199,0.7538,-0.9646,2.478,0.2494,,1.3281,2.7222,,,,-0.0767,0.2538,0.4351,,,,,0.3644,0.9052,0.6269,3.5179,5.2504,0.6761,,1.4847,4.2113,,,,0.78,0.4597,0.6082,,,,,2429570862,2172714220,1923593792,1237296947,1784061327,973982825.7,,1025481805,872471767.1,,,,2213400000,2962042969,2709342886,,,,,13.9932,78.5168,74.7463,27.3096,20.8867,98.9007,,115.5201,25.3056,,,,15.6631,9.4615,25.1941,,,,,1.0206,1.3941,1.4963,3.8207,2.7928,1.6929,,4.0185,2.6327,,,,4.3676,1.1981,2.1764,,,,,0.3751,0.4122,0.3213,4.2696,2.6486,0.8231,,2.8734,2.6607,,,,0.952,0.3469,0.769,,,,
