ÈÕÆÚ,000859.SZ,000973.SZ,002108.SZ,002263.SZ,002324.SZ,002395.SZ,002450.SZ,002768.SZ,002825.SZ,002838.SZ,002886.SZ,300180.SZ,300218.SZ,300221.SZ,300230.SZ,300305.SZ,300321.SZ,300325.SZ,300478.SZ,300538.SZ,300539.SZ,300586.SZ,300644.SZ,300716.SZ,300717.SZ,600143.SH,601208.SH,603266.SH,603580.SH,603615.SH,603991.SH,000859.SZ,000973.SZ,002108.SZ,002263.SZ,002324.SZ,002395.SZ,002450.SZ,002768.SZ,002825.SZ,002838.SZ,002886.SZ,300180.SZ,300218.SZ,300221.SZ,300230.SZ,300305.SZ,300321.SZ,300325.SZ,300478.SZ,300538.SZ,300539.SZ,300586.SZ,300644.SZ,300716.SZ,300717.SZ,600143.SH,601208.SH,603266.SH,603580.SH,603615.SH,603991.SH,000859.SZ,000973.SZ,002108.SZ,002263.SZ,002324.SZ,002395.SZ,002450.SZ,002768.SZ,002825.SZ,002838.SZ,002886.SZ,300180.SZ,300218.SZ,300221.SZ,300230.SZ,300305.SZ,300321.SZ,300325.SZ,300478.SZ,300538.SZ,300539.SZ,300586.SZ,300644.SZ,300716.SZ,300717.SZ,600143.SH,601208.SH,603266.SH,603580.SH,603615.SH,603991.SH,000859.SZ,000973.SZ,002108.SZ,002263.SZ,002324.SZ,002395.SZ,002450.SZ,002768.SZ,002825.SZ,002838.SZ,002886.SZ,300180.SZ,300218.SZ,300221.SZ,300230.SZ,300305.SZ,300321.SZ,300325.SZ,300478.SZ,300538.SZ,300539.SZ,300586.SZ,300644.SZ,300716.SZ,300717.SZ,600143.SH,601208.SH,603266.SH,603580.SH,603615.SH,603991.SH,000859.SZ,000973.SZ,002108.SZ,002263.SZ,002324.SZ,002395.SZ,002450.SZ,002768.SZ,002825.SZ,002838.SZ,002886.SZ,300180.SZ,300218.SZ,300221.SZ,300230.SZ,300305.SZ,300321.SZ,300325.SZ,300478.SZ,300538.SZ,300539.SZ,300586.SZ,300644.SZ,300716.SZ,300717.SZ,600143.SH,601208.SH,603266.SH,603580.SH,603615.SH,603991.SH,000859.SZ,000973.SZ,002108.SZ,002263.SZ,002324.SZ,002395.SZ,002450.SZ,002768.SZ,002825.SZ,002838.SZ,002886.SZ,300180.SZ,300218.SZ,300221.SZ,300230.SZ,300305.SZ,300321.SZ,300325.SZ,300478.SZ,300538.SZ,300539.SZ,300586.SZ,300644.SZ,300716.SZ,300717.SZ,600143.SH,601208.SH,603266.SH,603580.SH,603615.SH,603991.SH
2014/1/16,-1.7341,-0.2625,0.4525,-0.2012,-1.418,1.1307,0.9813,,,,,-0.2003,1.194,-0.4831,-1.1148,0,-3.3806,-1.8998,,,,,,,,0.7782,-1.6645,,,,,0.6183,0.7116,1.5079,0.7096,0.9581,0.733,0.7296,,,,,1.8863,4.1181,2.2879,5.1615,3.3244,16.2277,2.0422,,,,,,,,0.5321,4.001,,,,,1429628175,2935043225,2986112232,3377249879,2457295038,1439388300,20314237668,,,,,1128911875,601413120,633450000,504844920,584640000,674784040.3,1072347421,,,,,,,,13646192000,2435123712,,,,,-36.4803,46.5442,20.224,232.2027,21.8835,76.4345,30.9636,,,,,26.2905,29.1104,102.6492,27.4983,39.9922,60.6314,29.379,,,,,,,,18.0755,69.9967,,,,,1.6056,1.8048,2.579,1.3925,2.9869,1.8175,5.4144,,,,,1.7864,2.5211,1.8165,2.6439,1.9552,3.2662,2.5245,,,,,,,,1.7486,2.259,,,,,1.0507,1.2176,1.5232,4.657,2.5249,2.6211,6.3875,,,,,3.2511,1.8156,1.2763,4.0209,4.1039,3.8056,1.6165,,,,,,,,0.9459,4.3337,,,,
2014/1/17,-0.8824,-2.3684,0.2252,-1.6129,-0.3752,-0.6211,-9.764,,,,,-0.0669,-3.3432,1.4563,4.6223,-1.2931,-2.3237,1.2324,,,,,,,,-2.7027,0.5208,,,,,0.3548,0.7339,0.9142,0.581,0.735,0.3497,2.5653,,,,,1.4176,3.0326,4,7.6754,2.1875,8.3748,2.2769,,,,,,,,0.6758,3.7046,,,,,1417013809,2865529043,2992837710,3322778107,2448074419,1430448000,18330755879,,,,,1128156750,581306880,642675000,528180480,577080000,659103962.5,1085562970,,,,,,,,13277376000,2447806648,,,,,-36.1585,45.4418,20.2696,228.4575,21.8013,75.9597,27.9403,,,,,26.2729,28.1372,104.1441,28.7694,39.4751,59.2225,29.741,,,,,,,,17.587,70.3613,,,,,1.5915,1.762,2.5848,1.37,2.9757,1.8062,4.8858,,,,,1.7852,2.4368,1.8429,2.7661,1.9299,3.1903,2.5556,,,,,,,,1.7013,2.2707,,,,,1.0415,1.1888,1.5267,4.5819,2.5154,2.6048,5.7638,,,,,3.2489,1.7549,1.2949,4.2068,4.0508,3.7172,1.6364,,,,,,,,0.9204,4.3563,,,,
2014/1/20,-0.5935,-0.5391,-0.8989,-1.8443,-2.1971,-1.875,0.9231,,,,,-4.8193,-3.6623,-1.7544,-5.0647,1.6843,-4.7307,-2.4348,,,,,,,,0.1984,-3.2383,,,,,0.2965,0.4863,1.7327,0.5667,0.8473,0.3432,1.4637,,,,,2.7675,2.5041,3.5917,6.62,3.306,10.4295,2.4255,,,,,,,,0.4742,3.2682,,,,,1408604231,2850081447,2965935798,3261497363,2394287473,1403627100,18499962856,,,,,1073787750,560017920,631400000,501429960,586800000,627924037.5,1059131872,,,,,,,,13303720000,2368538298,,,,,-35.9439,45.1968,20.0874,224.2442,21.3223,74.5355,28.1982,,,,,25.0067,27.1068,102.317,27.3123,40.14,56.4209,29.0169,,,,,,,,17.6219,68.0828,,,,,1.582,1.7525,2.5616,1.3447,2.9103,1.7724,4.9309,,,,,1.6991,2.3475,1.8106,2.626,1.9624,3.0394,2.4934,,,,,,,,1.7047,2.1972,,,,,1.0353,1.1823,1.513,4.4974,2.4602,2.556,5.817,,,,,3.0924,1.6906,1.2722,3.9937,4.1191,3.5414,1.5966,,,,,,,,0.9222,4.2152,,,,
2014/1/21,1.791,1.626,1.0204,2.2965,-4.3004,3.8217,0.1016,,,,,2.8129,3.6959,2.7597,2.6107,0.7362,2.899,2.0499,,,,,,,,0.9901,3.3467,,,,,0.4686,0.5446,0.6472,0.6048,4.6415,0.8091,0.9559,,,,,1.6362,3.3324,3.1968,5.4413,4.7107,6.8276,1.9104,,,,,,,,0.4266,2.9143,,,,,1433832964,2896424235,2996200449,3336396050,2291323891,1457268900,18518763631,,,,,1103992750,580715520,648825000,514520640,591120000,646127346.3,1080843131,,,,,,,,13435440000,2447806648,,,,,-36.5876,45.9317,20.2924,229.3938,20.4054,77.384,28.2269,,,,,25.7101,28.1086,105.1407,28.0253,40.4355,58.0566,29.6117,,,,,,,,17.7964,70.3613,,,,,1.6103,1.781,2.5877,1.3756,2.7851,1.8401,4.9359,,,,,1.7469,2.4343,1.8605,2.6946,1.9769,3.1275,2.5445,,,,,,,,1.7216,2.2707,,,,,1.0538,1.2016,1.5284,4.6007,2.3544,2.6537,5.8229,,,,,3.1794,1.7531,1.3073,4.098,4.1494,3.644,1.6293,,,,,,,,0.9313,4.3563,,,,
2014/1/22,1.7595,2.1333,1.5713,2.0408,2.0791,1.5951,2.5888,,,,,0.1368,4.0733,0,0.5531,-0.1218,-0.6416,1.5721,,,,,,,,2.549,1.1658,,,,,0.9695,0.851,1.5363,0.7224,2.4145,0.979,0.935,,,,,2.1971,5.0636,5.1586,7.7655,4.4848,10.7777,3.465,,,,,,,,0.6238,3.3765,,,,,1459061696,2958214619,3043278795,3404485765,2338963757,1480513680,18998183400,,,,,1105503000,604369920,648825000,517366440,590400000,641982038.4,1097834551,,,,,,,,13777912000,2476343254,,,,,-37.2314,46.9116,20.6112,234.0754,20.8297,78.6183,28.9577,,,,,25.7453,29.2535,105.1407,28.1803,40.3862,57.6841,30.0772,,,,,,,,18.25,71.1816,,,,,1.6387,1.819,2.6284,1.4037,2.8431,1.8694,5.0637,,,,,1.7493,2.5335,1.8605,2.7095,1.9744,3.1075,2.5845,,,,,,,,1.7655,2.2972,,,,,1.0724,1.2272,1.5524,4.6946,2.4033,2.696,5.9737,,,,,3.1837,1.8245,1.3073,4.1206,4.1443,3.6207,1.6549,,,,,,,,0.9551,4.4071,,,,
2014/1/23,-0.5764,-0.2611,-0.5525,0,-0.3942,0.3623,-1.5339,,,,,0.6831,0.7828,1.1058,2.5303,2.2561,2.3021,1.8917,,,,,,,,-0.1912,5.3777,,,,,0.5038,0.7799,2.2318,0.6031,1.971,0.7063,1.5425,,,,,2.4005,5.0037,6.6134,8.9261,6.1802,12.016,4.1524,,,,,,,,0.6007,5.6962,,,,,1450652119,2950490821,3026465100,3404485765,2329743138,1485877860,18706771384,,,,,1113054250,609100800,656000000,530457120,603720000,656760962.3,1118601843,,,,,,,,13751568000,2609514082,,,,,-37.0168,46.7891,20.4973,234.0754,20.7475,78.9032,28.5135,,,,,25.9212,29.4825,106.3034,28.8934,41.2974,59.012,30.6462,,,,,,,,18.2151,75.0095,,,,,1.6292,1.8143,2.6138,1.4037,2.8318,1.8762,4.986,,,,,1.7613,2.5533,1.8811,2.778,2.019,3.179,2.6334,,,,,,,,1.7621,2.4207,,,,,1.0662,1.224,1.5438,4.6946,2.3938,2.7058,5.882,,,,,3.2055,1.8388,1.3218,4.2249,4.2378,3.704,1.6862,,,,,,,,0.9533,4.6441,,,,
2014/1/24,4.058,3.1414,1.8889,10,2.2427,-0.6017,2.7638,,,,,1.6282,3.1068,0,1.7167,1.9678,0.6586,1.3502,,,,,,,,0.3831,2.5516,,,,,1.4748,2.375,2.3953,3.5288,2.2175,0.9211,1.4121,,,,,2.9116,6.545,4.621,12.5222,6.1952,13.2392,4.5744,,,,,,,,0.6326,4.0485,,,,,1509519161,3043176396,3083631663,3744934342,2381993314,1476937560,19223792703,,,,,1131177250,628024320,656000000,539563680,615600000,661086501,1133705328,,,,,,,,13804256000,2676099496,,,,,-38.5189,48.2589,20.8845,257.4829,21.2129,78.4284,29.3015,,,,,26.3432,30.3985,106.3034,29.3894,42.11,59.4007,31.06,,,,,,,,18.2849,76.9235,,,,,1.6953,1.8713,2.6632,1.5441,2.8954,1.8649,5.1238,,,,,1.79,2.6326,1.8811,2.8257,2.0587,3.1999,2.669,,,,,,,,1.7689,2.4825,,,,,1.1094,1.2625,1.573,5.1641,2.4475,2.6895,6.0446,,,,,3.2576,1.8959,1.3218,4.2974,4.3212,3.7284,1.709,,,,,,,,0.9569,4.7626,,,,
2014/1/27,-2.7855,-0.2538,1.3086,2.1818,-1.4839,0.2421,3.3252,,,,,-1.8024,-2.0716,-1.25,-2.0042,-2.5731,-8.0698,-1.582,,,,,,,,-0.3817,-1.4218,,,,,0.8913,1.4731,1.7032,3.8246,1.7777,0.6527,1.2339,,,,,1.9866,4.8316,3.1439,6.2306,4.4145,19.5996,3.6278,,,,,,,,0.5225,3.0054,,,,,1467471274,3035452598,3123984531,3826642000,2346647607,1480513680,19863019062,,,,,1110788875,615014400,647800000,528749640,599760000,607738190.2,1115769940,,,,,,,,13751568000,2638050688,,,,,-37.446,48.1365,21.1578,263.1007,20.8981,78.6183,30.2759,,,,,25.8684,29.7688,104.9746,28.8004,41.0265,54.6072,30.5686,,,,,,,,18.2151,75.8298,,,,,1.6481,1.8665,2.6981,1.5777,2.8524,1.8694,5.2942,,,,,1.7577,2.5781,1.8576,2.7691,2.0057,2.9417,2.6267,,,,,,,,1.7621,2.4472,,,,,1.0785,1.2592,1.5936,5.2767,2.4112,2.696,6.2456,,,,,3.1989,1.8567,1.3052,4.2113,4.21,3.4275,1.682,,,,,,,,0.9533,4.6949,,,,
2014/1/28,-0.8596,0.2545,0.1076,-1.4235,-1.3098,0.6039,-0.0947,,,,,-0.5438,-2.4038,-1.1076,-1.8299,2.401,-2.1056,-0.423,,,,,,,,-0.5747,0,,,,,0.8543,0.7823,1.221,1.6095,1.3405,0.459,0.7957,,,,,1.4834,4.5754,2.9392,4.4879,4.927,9.5567,1.9012,,,,,,,,0.5276,2.7455,,,,,1454856908,3043176396,3127347270,3772170228,2315912209,1489453980,19844218287,,,,,1104747875,600230400,640625000,519073920,614160000,594941804.8,1111050101,,,,,,,,13286400000,2638050688,,,,,-37.1241,48.2589,21.1806,259.3555,20.6244,79.0931,30.2472,,,,,25.7277,29.0532,103.8119,28.2733,42.0115,53.4574,30.4393,,,,,,,,17.599,75.8298,,,,,1.634,1.8713,2.701,1.5553,2.815,1.8807,5.2892,,,,,1.7481,2.5161,1.837,2.7184,2.0539,2.8798,2.6156,,,,,,,,1.7025,2.4472,,,,,1.0693,1.2625,1.5953,5.2016,2.3796,2.7123,6.2397,,,,,3.1815,1.812,1.2908,4.1342,4.3111,3.3554,1.6748,,,,,,,,0.921,4.6949,,,,
2014/1/29,0,1.5228,2.6882,-1.083,3.3179,1.2005,-1.7054,,,,,2.529,1.9704,2.08,1.9737,0.7034,1.3026,3.4834,,,,,,,,0,1.0817,,,,,0.7543,1.1746,2.1759,2.355,1.5161,0.6991,0.9722,,,,,2.5052,2.7179,2.4763,3.0576,4.0083,6.3612,2.7369,,,,,,,,0.4969,2.4531,,,,,1454856908,3089519184,3211415745,3731316398,2392750703,1507334580,19505804332,,,,,1132687500,612057600,653950000,529318800,618480000,602691728.3,1149752780,,,,,,,,13286400000,2666587294,,,,,-37.1241,48.9939,21.75,256.5466,21.3087,80.0426,29.7314,,,,,26.3784,29.6256,105.9712,28.8314,42.307,54.1537,31.4996,,,,,,,,17.599,76.6501,,,,,1.634,1.8998,2.7736,1.5384,2.9084,1.9033,5.199,,,,,1.7923,2.5657,1.8752,2.7721,2.0684,2.9173,2.7067,,,,,,,,1.7025,2.4737,,,,,1.0693,1.2817,1.6382,5.1453,2.4586,2.7448,6.1333,,,,,3.262,1.8477,1.3176,4.2158,4.3414,3.3991,1.7332,,,,,,,,0.921,4.7457,,,,
