ÈÕÆÚ,002047.SZ,002081.SZ,002325.SZ,002375.SZ,002482.SZ,002504.SZ,002620.SZ,002713.SZ,002781.SZ,002789.SZ,002811.SZ,002822.SZ,002830.SZ,002856.SZ,300506.SZ,300592.SZ,300621.SZ,600193.SH,600209.SH,601886.SH,603030.SH,603081.SH,603466.SH,603828.SH,002047.SZ,002081.SZ,002325.SZ,002375.SZ,002482.SZ,002504.SZ,002620.SZ,002713.SZ,002781.SZ,002789.SZ,002811.SZ,002822.SZ,002830.SZ,002856.SZ,300506.SZ,300592.SZ,300621.SZ,600193.SH,600209.SH,601886.SH,603030.SH,603081.SH,603466.SH,603828.SH,002047.SZ,002081.SZ,002325.SZ,002375.SZ,002482.SZ,002504.SZ,002620.SZ,002713.SZ,002781.SZ,002789.SZ,002811.SZ,002822.SZ,002830.SZ,002856.SZ,300506.SZ,300592.SZ,300621.SZ,600193.SH,600209.SH,601886.SH,603030.SH,603081.SH,603466.SH,603828.SH,002047.SZ,002081.SZ,002325.SZ,002375.SZ,002482.SZ,002504.SZ,002620.SZ,002713.SZ,002781.SZ,002789.SZ,002811.SZ,002822.SZ,002830.SZ,002856.SZ,300506.SZ,300592.SZ,300621.SZ,600193.SH,600209.SH,601886.SH,603030.SH,603081.SH,603466.SH,603828.SH,002047.SZ,002081.SZ,002325.SZ,002375.SZ,002482.SZ,002504.SZ,002620.SZ,002713.SZ,002781.SZ,002789.SZ,002811.SZ,002822.SZ,002830.SZ,002856.SZ,300506.SZ,300592.SZ,300621.SZ,600193.SH,600209.SH,601886.SH,603030.SH,603081.SH,603466.SH,603828.SH,002047.SZ,002081.SZ,002325.SZ,002375.SZ,002482.SZ,002504.SZ,002620.SZ,002713.SZ,002781.SZ,002789.SZ,002811.SZ,002822.SZ,002830.SZ,002856.SZ,300506.SZ,300592.SZ,300621.SZ,600193.SH,600209.SH,601886.SH,603030.SH,603081.SH,603466.SH,603828.SH
2014/1/16,7.3043,1.6079,2.3199,2.5728,2.5672,0,1.9255,,,,,,,,,,,3.1199,-0.4269,6.6958,,,,,2.0817,0.6503,1.5192,0.6279,0.5138,,2.8408,,,,,,,,,,,1.5775,6.031,3.8756,,,,,2135080917,21597239376,3993423108,13716365234,7853979388,730869449.9,825702832,,,,,,,,,,,2671342440,3501526253,3816499372,,,,,29.87,14.7188,21.1553,17.2731,16.9911,-71.354,23.5295,,,,,,,,,,,32.039,-165.2587,29.0861,,,,,6.3015,4.1521,3.2248,3.5702,2.3941,1.7355,1.952,,,,,,,,,,,3.7619,6.2135,1.8177,,,,,1.7625,1.2498,1.6678,1.2727,1.0223,5.0672,1.2635,,,,,,,,,,,26.8936,20.0973,0.7107,,,,
2014/1/17,-3.0794,3.7774,-0.5967,-1.3158,-1.1641,0,-0.5668,,,,,,,,,,,-2.8662,-0.2144,-2.8649,,,,,0.7828,1.0952,1.001,0.9367,0.3581,,3.2847,,,,,,,,,,,1.0729,3.1599,1.9484,,,,,2069332882,22413061588,3969596001,13535886744,7762547730,730869449.9,821023156,,,,,,,,,,,2594775300,3494020302,3707159008,,,,,28.9501,15.2748,21.029,17.0458,16.7933,-71.354,23.3962,,,,,,,,,,,31.1207,-164.9045,28.2528,,,,,6.1075,4.3089,3.2056,3.5232,2.3662,1.7355,1.9409,,,,,,,,,,,3.6541,6.2002,1.7656,,,,,1.7082,1.297,1.6578,1.2559,1.0104,5.0672,1.2563,,,,,,,,,,,26.1227,20.0542,0.6904,,,,
2014/1/20,-3.01,0.4427,0.12,-0.625,-0.5889,0,-3.6099,,,,,,,,,,,0.6557,-2.7927,-2.1067,,,,,1.0408,1.1295,0.3771,0.3689,0.2826,,2.745,,,,,,,,,,,0.6264,2.3226,1.2434,,,,,2007045270,22512283209,3974361423,13451287452,7716831901,730869449.9,791385208,,,,,,,,,,,2611790220,3396442936,3629058748,,,,,28.0787,15.3424,21.0543,16.9393,16.6944,-71.354,22.5516,,,,,,,,,,,31.3247,-160.2992,27.6576,,,,,5.9236,4.328,3.2094,3.5012,2.3523,1.7355,1.8708,,,,,,,,,,,3.678,6.0271,1.7284,,,,,1.6568,1.3028,1.6598,1.2481,1.0044,5.0672,1.211,,,,,,,,,,,26.294,19.4942,0.6758,,,,
2014/1/21,0.5172,1.0284,0.2398,0.587,1.5995,0,2.2339,,,,,,,,,,,0.8143,1.989,1.4347,,,,,0.7356,0.4426,0.5373,0.3544,0.3088,,1.5583,,,,,,,,,,,0.7951,2.458,0.8583,,,,,2017426539,22743800323,3983892265,13530246791,7840264639,730869449.9,809063984,,,,,,,,,,,2633058870,3463996497,3681125588,,,,,28.224,15.5002,21.1048,17.0387,16.9614,-71.354,23.0554,,,,,,,,,,,31.5798,-163.4874,28.0544,,,,,5.9543,4.3725,3.2171,3.5217,2.3899,1.7355,1.9126,,,,,,,,,,,3.708,6.1469,1.7532,,,,,1.6654,1.3162,1.6638,1.2554,1.0205,5.0672,1.238,,,,,,,,,,,26.5081,19.8819,0.6855,,,,
2014/1/22,2.2298,3.3931,4.4258,3.5848,2.9155,0,2.635,,,,,,,,,,,3.0695,2.7086,1.6973,,,,,1.0788,0.9522,1.5075,0.746,1.0415,,2.6213,,,,,,,,,,,1.565,3.8738,1.7043,,,,,2062412036,23515524037,4160212856,14015282733,8068843783,730869449.9,830382508,,,,,,,,,,,2713879740,3557820888,3743605796,,,,,28.8533,16.0261,22.0388,17.6495,17.4559,-71.354,23.6629,,,,,,,,,,,32.5492,-167.9156,28.5306,,,,,6.0871,4.5209,3.3595,3.648,2.4596,1.7355,1.963,,,,,,,,,,,3.8218,6.3134,1.783,,,,,1.7025,1.3608,1.7374,1.3004,1.0503,5.0672,1.2707,,,,,,,,,,,27.3218,20.4204,0.6972,,,,
2014/1/23,-1.8456,-1.1252,2.6346,3.4205,2.0397,0,2.7552,,,,,,,,,,,-1.4107,-1.1603,0.9736,,,,,0.9535,0.8783,1.7687,1.1475,1.285,,3.8734,,,,,,,,,,,1.4064,2.7336,1.9773,,,,,2024347385,23250933049,4269817548,14494678722,8233420767,730869449.9,853260924,,,,,,,,,,,2675596170,3516538156,3780052584,,,,,28.3208,15.8458,22.6195,18.2532,17.812,-71.354,24.3149,,,,,,,,,,,32.09,-165.9672,28.8084,,,,,5.9747,4.47,3.448,3.7728,2.5097,1.7355,2.0171,,,,,,,,,,,3.7679,6.2402,1.8003,,,,,1.6711,1.3455,1.7832,1.3449,1.0717,5.0672,1.3057,,,,,,,,,,,26.9364,20.1835,0.7039,,,,
2014/1/24,1.8803,1.138,0.4464,4.2412,3.7202,0,1.5235,,,,,,,,,,,2.0668,-0.2134,0.9642,,,,,1.4313,1.5211,3.7742,1.9652,1.1691,,4.5446,,,,,,,,,,,1.6417,2.2176,1.6476,,,,,2062412036,23515524037,4288879233,15109433578,8539716820,730869449.9,866260024,,,,,,,,,,,2730894660,3509032205,3816499372,,,,,28.8533,16.0261,22.7205,19.0274,18.4746,-71.354,24.6853,,,,,,,,,,,32.7532,-165.613,29.0861,,,,,6.0871,4.5209,3.4634,3.9328,2.6031,1.7355,2.0478,,,,,,,,,,,3.8458,6.2269,1.8177,,,,,1.7025,1.3608,1.7912,1.4019,1.1116,5.0672,1.3256,,,,,,,,,,,27.4931,20.1404,0.7107,,,,
2014/1/27,0.1678,-7.2668,-5.4444,-5.9351,-4.7109,0,1.2005,,,,,,,,,,,-2.4922,0.8556,-0.5457,,,,,0.9276,2.3007,6.0244,1.9072,1.5183,,3.7146,,,,,,,,,,,1.2141,2.9445,1.1378,,,,,2065872459,21806707241,4055373586,14212681081,8137417526,730869449.9,876659304,,,,,,,,,,,2662834980,3539056010,3795672636,,,,,28.9017,14.8616,21.4835,17.8981,17.6043,-71.354,24.9816,,,,,,,,,,,31.9369,-167.03,28.9274,,,,,6.0973,4.1923,3.2748,3.6994,2.4805,1.7355,2.0724,,,,,,,,,,,3.7499,6.2801,1.8078,,,,,1.7054,1.2619,1.6937,1.3187,1.0592,5.0672,1.3415,,,,,,,,,,,26.8079,20.3127,0.7069,,,,
2014/1/28,0,-3.2861,0.5875,2.3413,-0.1685,0,-0.1186,,,,,,,,,,,-0.7987,-2.439,0,,,,,0.7209,2.6195,1.99,0.8757,0.4523,,3.8646,,,,,,,,,,,1.0564,1.8498,0.9372,,,,,2065872459,21090106649,4079200693,14545438297,8123702778,730869449.9,875619376,,,,,,,,,,,2641566330,3452737570,3795672636,,,,,28.9017,14.3732,21.6097,18.3171,17.5746,-71.354,24.952,,,,,,,,,,,31.6819,-162.9561,28.9274,,,,,6.0973,4.0546,3.2941,3.786,2.4763,1.7355,2.07,,,,,,,,,,,3.72,6.127,1.8078,,,,,1.7054,1.2205,1.7036,1.3496,1.0574,5.0672,1.3399,,,,,,,,,,,26.5938,19.8173,0.7069,,,,
2014/1/29,-0.335,-0.6796,-0.7009,-1.2408,-1.0692,0,0.4751,,,,,,,,,,,-0.4831,-3.8043,-0.5487,,,,,0.7277,0.9708,1.1307,0.3669,0.353,,2.192,,,,,,,,,,,1.1411,3.1886,0.8375,,,,,2058951614,20946786531,4050608165,14364959807,8036842703,730869449.9,879779088,,,,,,,,,,,2628805140,3321383424,3774845900,,,,,28.8049,14.2755,21.4582,18.0899,17.3867,-71.354,25.0705,,,,,,,,,,,31.5288,-156.7567,28.7687,,,,,6.0768,4.027,3.271,3.739,2.4498,1.7355,2.0798,,,,,,,,,,,3.702,5.8939,1.7978,,,,,1.6997,1.2122,1.6917,1.3328,1.0461,5.0672,1.3462,,,,,,,,,,,26.4653,19.0634,0.703,,,,
