ÈÕÆÚ,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH,000628.SZ,002949.SZ,300492.SZ,300500.SZ,300668.SZ,300675.SZ,300746.SZ,300778.SZ,600170.SH,600491.SH,600629.SH,600769.SH,600846.SH,600939.SH,601668.SH,601789.SH,603017.SH,603887.SH
2014/1/16,0.5076,,,,,,,,1.0563,-0.6079,1.0791,-0.4396,0.1818,,1.0067,-0.369,,,0.8405,,,,,,,,0.4503,0.1585,0.3024,0.2151,1.0812,,0.2567,2.5061,,,1115218338,,,,,,,,4855434132,3098652000,2933638424,1698646716,3442435953,,89858192200,907035999.3,,,93.143,,,,,,,,9.845,13.9813,211.3411,3.2937,21.4363,,4.4268,17.4406,,,6.1893,,,,,,,,1.2279,0.9983,3.7804,48.6645,2.2442,,0.765,1.9155,,,0.6273,,,,,,,,0.1561,0.2022,7.7029,53.0889,0.9289,,0.1326,0.2928,,
2014/1/17,-3.7037,,,,,,,,-1.3937,-1.5291,-3.5587,-1.5453,-3.2668,,-0.9967,-1.9753,,,0.8503,,,,,,,,0.4507,0.1904,0.5449,0.3287,0.9995,,0.1738,2.6014,,,1073913955,,,,,,,,4787762576,3051272000,2829238480,1672398312,3329978880,,88962595600,889119238.8,,,89.6932,,,,,,,,9.7078,13.7675,203.82,3.2428,20.736,,4.3827,17.0961,,,5.9601,,,,,,,,1.2108,0.983,3.6458,47.9125,2.1709,,0.7574,1.8776,,,0.604,,,,,,,,0.1539,0.1991,7.4288,52.2685,0.8985,,0.1313,0.2871,,
2014/1/20,0.6993,,,,,,,,0.3534,-0.3106,-1.599,-4.4843,0.5629,,0,0.7557,,,0.4118,,,,,,,,0.3477,0.263,0.3203,0.476,0.5689,,0.1407,1.8315,,,1081423843,,,,,,,,4804680465,3041796000,2783998504,1597402872,3348721726,,88962595600,895838024,,,90.3205,,,,,,,,9.7421,13.7248,200.5609,3.0973,20.8527,,4.3827,17.2252,,,6.0018,,,,,,,,1.2151,0.98,3.5875,45.764,2.1831,,0.7574,1.8918,,,0.6083,,,,,,,,0.1545,0.1984,7.31,49.9246,0.9036,,0.1313,0.2892,,
2014/1/21,0.6944,,,,,,,,0.8803,0.6231,1,2.1127,0.7463,,0.6711,0.25,,,0.549,,,,,,,,0.5052,0.1959,0.2231,0.2537,0.5986,,0.1103,2.0525,,,1088933731,,,,,,,,4846975187,3060748000,2811838489,1631150820,3373712186,,89559660000,898077619.1,,,90.9477,,,,,,,,9.8278,13.8103,202.5665,3.1628,21.0083,,4.4121,17.2683,,,6.0435,,,,,,,,1.2257,0.9861,3.6234,46.7308,2.1994,,0.7625,1.8965,,,0.6125,,,,,,,,0.1558,0.1997,7.3831,50.9794,0.9103,,0.1321,0.2899,,
2014/1/22,4.8276,,,,,,,,2.9668,3.4056,3.0941,3.2184,2.037,,2.3333,2.8678,,,1.7489,,,,,,,,0.8761,0.4252,0.4803,0.3128,0.9739,,0.3281,4.3651,,,1141502946,,,,,,,,4990777243,3164984000,2898838442,1683647628,3442435953,,91649385400,923832962.3,,,95.3383,,,,,,,,10.1194,14.2806,208.834,3.2646,21.4363,,4.515,17.7635,,,6.3352,,,,,,,,1.2621,1.0196,3.7355,48.2348,2.2442,,0.7803,1.9509,,,0.642,,,,,,,,0.1605,0.2065,7.6116,52.6201,0.9289,,0.1352,0.2983,,
2014/1/23,-1.4803,,,,,,,,0.5085,0.2994,0.8403,1.3363,0.1815,,-1.6287,-0.8485,,,1.1007,,,,,,,,0.6079,0.4752,0.4545,0.3331,0.8927,,0.3455,3.2223,,,1124605698,,,,,,,,5016154077,3174460000,2923198429,1706146260,3448683568,,90156724400,915994379.5,,,93.927,,,,,,,,10.1708,14.3233,210.5889,3.3082,21.4752,,4.4415,17.6128,,,6.2414,,,,,,,,1.2685,1.0227,3.7669,48.8793,2.2483,,0.7676,1.9344,,,0.6325,,,,,,,,0.1613,0.2071,7.6755,53.3233,0.9305,,0.133,0.2957,,
2014/1/24,4.3406,,,,,,,,1.0118,0.8955,0.9524,0.8791,1.2681,,0.6623,1.5892,,,2.9175,,,,,,,,1.0005,0.2927,0.2616,0.2146,1.0892,,0.2411,5.8353,,,1173419969,,,,,,,,5066907744,3202888000,2951038414,1721145348,3492416874,,90753788800,930551747.4,,,98.004,,,,,,,,10.2738,14.4516,212.5946,3.3373,21.7475,,4.4709,17.8927,,,6.5123,,,,,,,,1.2814,1.0319,3.8028,49.309,2.2768,,0.7726,1.9651,,,0.66,,,,,,,,0.1629,0.209,7.7486,53.792,0.9423,,0.1339,0.3004,,
2014/1/27,-2.88,,,,,,,,-0.3339,-1.4793,0.8255,-1.3072,-1.9678,,-1.3158,-0.9627,,,1.3606,,,,,,,,0.5963,0.2901,0.3945,0.4234,1.0678,,0.2184,3.0322,,,1139625474,,,,,,,,5049989855,3155508000,2975398401,1698646716,3423693108,,89559660000,921593367.2,,,95.1815,,,,,,,,10.2394,14.2378,214.3495,3.2937,21.3196,,4.4121,17.7205,,,6.3248,,,,,,,,1.2771,1.0166,3.8342,48.6645,2.232,,0.7625,1.9462,,,0.641,,,,,,,,0.1624,0.2059,7.8126,53.0889,0.9238,,0.1321,0.2975,,
2014/1/28,0,,,,,,,,-0.1675,-0.3003,-1.5205,5.0773,-0.9124,,1,0.3645,,,0.7067,,,,,,,,0.6248,0.2304,0.3709,0.7325,1.0801,,0.1389,1.9473,,,1139625474,,,,,,,,5041530910,3146032000,2930158425,1784891472,3392455032,,90455256600,924952759.8,,,95.1815,,,,,,,,10.2223,14.1951,211.0903,3.4609,21.125,,4.4562,17.7851,,,6.3248,,,,,,,,1.2749,1.0135,3.7759,51.1353,2.2116,,0.7701,1.9533,,,0.641,,,,,,,,0.1621,0.2052,7.6938,55.7843,0.9154,,0.1335,0.2986,,
2014/1/29,-0.3295,,,,,,,,-0.8389,0.3012,2.7316,-1.2605,1.6575,,0,0.1211,,,0.6952,,,,,,,,0.8711,0.2252,0.4844,0.5859,0.7801,,0.1462,2.2321,,,1135870530,,,,,,,,4999236188,3155508000,3010198382,1762392840,3448683568,,90455256600,926072557.3,,,94.8678,,,,,,,,10.1365,14.2378,216.8565,3.4173,21.4752,,4.4562,17.8066,,,6.304,,,,,,,,1.2643,1.0166,3.879,50.4907,2.2483,,0.7701,1.9557,,,0.6389,,,,,,,,0.1607,0.2059,7.904,55.0812,0.9305,,0.1335,0.299,,
