ÈÕÆÚ,000721.SZ,002186.SZ,002306.SZ,000721.SZ,002186.SZ,002306.SZ,000721.SZ,002186.SZ,002306.SZ,000721.SZ,002186.SZ,002306.SZ,000721.SZ,002186.SZ,002306.SZ,000721.SZ,002186.SZ,002306.SZ
2014/2/17,2.0408,-0.4719,0.8104,7.2171,0.655,1.3666,1504092240,5316274768,3602953660,151.7962,48.8228,-8.8167,3.1968,5.8882,8.2697,3.8312,2.8247,6.2035
2014/2/18,-0.6667,2.9505,1.2862,5.252,1.3281,1.1663,1494064958,5473130083,3649293900,150.7842,50.2633,-8.9301,3.1755,6.0619,8.3761,3.8057,2.908,6.2833
2014/2/19,-2.0134,-0.4094,0,5.3635,0.634,0.881,1463983114,5450722181,3649293900,147.7483,50.0575,-8.9301,3.1115,6.0371,8.3761,3.7291,2.8961,6.2833
2014/2/20,1.3699,-3.443,-1.5873,5.349,0.7249,0.7199,1484037677,5263056001,3591368600,149.7722,48.334,-8.7883,3.1542,5.8292,8.2431,3.7802,2.7964,6.1836
2014/2/21,-1.1261,-0.0532,-1.7742,4.4239,0.5634,1.1256,1467325541,5260255013,3527650770,148.0856,48.3083,-8.6324,3.1187,5.8261,8.0969,3.7376,2.7949,6.0738
2014/2/24,1.5945,0.5857,4.2693,3.5083,0.3596,1.6783,1490722531,5291065879,3678256550,150.4469,48.5913,-9.001,3.1684,5.8603,8.4425,3.7972,2.8113,6.3332
2014/2/25,-5.157,3.2292,0.6299,4.299,1.5944,1.5312,1413846706,5461926132,3701426670,142.6884,50.1604,-9.0577,3.005,6.0495,8.4957,3.6014,2.9021,6.373
2014/2/26,0.1182,4.5641,5.1643,2.4024,2.1891,2.0218,1415517919,5711214043,3892580160,142.8571,52.4498,-9.5254,3.0085,6.3256,8.9345,3.6056,3.0346,6.7022
2014/2/27,-3.66,0,-2.8274,2.9175,1.2069,1.2634,1363710298,5711214043,3782522090,137.6285,52.4498,-9.2561,2.8984,6.3256,8.6819,3.4737,3.0346,6.5127
2014/2/28,1.7157,-1.9127,2.9096,2.4907,0.7346,1.2185,1387107288,5601975520,3892580160,139.9898,51.4465,-9.5254,2.9482,6.2046,8.9345,3.5333,2.9765,6.7022
2014/3/3,2.2892,1.9,1.0417,2.8178,0.7343,2.5254,1418860346,5708413055,3933127870,143.1944,52.424,-9.6247,3.0156,6.3225,9.0275,3.6141,3.0331,6.772
2014/3/4,2.5913,-0.8342,-1.0309,4.0036,0.5406,2.1626,1455627046,5660796263,3892580160,146.905,51.9867,-9.5254,3.0938,6.2698,8.9345,3.7078,3.0078,6.7022
2014/3/5,-2.1814,-1.3855,3.4226,2.7838,0.6215,2.028,1423873987,5582368606,4025808350,143.7004,51.2665,-9.8515,3.0263,6.1829,9.2403,3.6269,2.9661,6.9316
2014/3/6,2.4648,-1.4049,0.2878,3.0578,0.5198,1.9826,1458969473,5503940948,4037393410,147.2423,50.5462,-9.8798,3.1009,6.096,9.2669,3.7163,2.9244,6.9515
2014/3/7,0,1.8321,-4.7346,2.9768,0.431,4.8501,1458969473,5604776508,3846239920,147.2423,51.4723,-9.412,3.1009,6.2077,8.8281,3.7163,2.978,6.6224
2014/3/10,-3.7801,-2.6487,-1.6566,2.9719,0.5263,2.6202,1403819424,5456324156,3782522090,141.6764,50.1089,-9.2561,2.9837,6.0433,8.6819,3.5758,2.8991,6.5127
2014/3/11,0.5952,-4.1581,-2.7565,1.8391,0.5453,1.5837,1412175492,5229444148,3678256550,142.5197,48.0253,-9.001,3.0014,5.792,8.4425,3.5971,2.7786,6.3332
2014/3/12,0.1183,-0.9106,3.4646,1.4718,0.4267,1.4545,1413846706,5181827356,3805692210,142.6884,47.5881,-9.3128,3.005,5.7393,8.735,3.6014,2.7533,6.5526
2014/3/13,0.8274,2.0541,1.2177,1.4831,0.3428,2.0028,1425545201,5288264891,3852032450,143.869,48.5655,-9.4262,3.0299,5.8571,8.8414,3.6312,2.8098,6.6324
2014/3/14,3.8687,-0.1589,-1.5038,3.8717,0.1727,2.2424,1480695250,5279861928,3794107150,149.4349,48.4884,-9.2845,3.1471,5.8478,8.7085,3.7716,2.8054,6.5326
2014/3/17,2.2573,0.9549,0.458,4.5173,0.2397,1.0631,1514119522,5330279707,3811484740,152.8081,48.9514,-9.327,3.2181,5.9037,8.7483,3.8568,2.8321,6.5625
2014/3/18,2.3179,-0.4204,0.7599,6.423,0.3222,1.5515,1549215007,5307871805,3840447390,156.3501,48.7456,-9.3979,3.2927,5.8789,8.8148,3.9462,2.8202,6.6124
2014/3/19,1.0787,0.4749,0.3017,3.4562,0.2087,1.168,1565927143,5333080695,3852032450,158.0367,48.9771,-9.4262,3.3282,5.9068,8.8414,3.9888,2.8336,6.6324
2014/3/20,-6.19,-2.3634,1.5038,3.8194,0.3756,2.0987,1468996754,5207036246,3909957750,148.2543,47.8196,-9.568,3.1222,5.7672,8.9744,3.7418,2.7667,6.7321
2014/3/21,2.8441,-1.5062,-0.1481,3.1545,0.893,4.4946,1510777094,5128608589,3904165220,152.4708,47.0993,-9.5538,3.211,5.6803,8.9611,3.8483,2.725,6.7221
2014/3/24,0.7743,-0.1092,-1.0386,2.5794,0.3065,2.4455,1522475590,5123006613,3863617510,153.6515,47.0479,-9.4546,3.2359,5.6741,8.868,3.8781,2.722,6.6523
2014/3/25,-2.6345,0.0547,-1.0495,2.4066,0.222,1.1195,1482366463,5125807601,3823069800,149.6036,47.0736,-9.3553,3.1506,5.6772,8.7749,3.7759,2.7235,6.5825
2014/3/26,0.2255,-0.0546,-0.4545,1.4825,0.1567,1.0659,1485708890,5123006613,3805692210,149.9409,47.0479,-9.3128,3.1577,5.6741,8.735,3.7844,2.722,6.5526
2014/3/27,-4.2745,-1.4215,-2.4353,2.2257,0.2591,1.0539,1422202774,5050180931,3713011730,143.5317,46.3791,-9.086,3.0227,5.5935,8.5223,3.6227,2.6833,6.393
2014/3/28,-0.235,0.1109,-1.092,2.8938,0.275,1.8079,1418860346,5055782907,3672464020,143.1944,46.4305,-8.9868,3.0156,5.5997,8.4292,3.6141,2.6863,6.3232
2014/3/31,-0.8245,-0.0554,-2.6814,1.5194,0.1241,1.6952,1407161851,5052981919,3573991010,142.0138,46.4048,-8.7458,2.9908,5.5966,8.2032,3.5843,2.6848,6.1536
2014/4/1,1.9002,0.8869,2.7553,1.1878,0.155,1.4109,1433901269,5097797723,3672464020,144.7123,46.8164,-8.9868,3.0476,5.6462,8.4292,3.6525,2.7086,6.3232
2014/4/2,0.4662,0.1648,-0.3155,1.6074,0.1659,0.4531,1440586123,5106200686,3660878960,145.387,46.8935,-8.9584,3.0618,5.6555,8.4027,3.6695,2.7131,6.3032
2014/4/3,-1.5081,-0.2194,1.7405,1.7461,0.1269,0.9759,1418860346,5094996735,3724596790,143.1944,46.7906,-9.1144,3.0156,5.6431,8.5489,3.6141,2.7071,6.4129
2014/4/4,1.7668,0.8796,0.9331,1.8454,0.2327,0.9402,1449895982,5139812540,3759351970,145.7243,47.2022,-9.1994,3.0689,5.6927,8.6287,3.678,2.7309,6.4728
2014/4/8,0.9259,0.3815,-0.3082,1.8508,0.2613,0.6615,1463320945,5159419454,3747766910,147.0736,47.3823,-9.1711,3.0973,5.7144,8.6021,3.7121,2.7414,6.4528
2014/4/9,4.0138,-0.6515,3.0912,2.9562,0.3412,1.3165,1522055157,5125807601,3863617510,152.9768,47.0736,-9.4546,3.2217,5.6772,8.868,3.861,2.7235,6.6523
2014/4/10,-0.882,-1.0383,-0.5997,2.4046,0.4991,1.4483,1508630195,5072588833,3840447390,151.6275,46.5848,-9.3979,3.1932,5.6183,8.8148,3.827,2.6952,6.6124
2014/4/11,-2.7809,-0.5522,0.4525,2.1028,0.3103,1.2574,1466677186,5044578956,3857824980,147.4109,46.3276,-9.4404,3.1044,5.5872,8.8547,3.7206,2.6803,6.6423
2014/4/14,2.9748,-0.6663,5.1051,2.0646,0.4244,3.5144,1510308315,5010967103,4054771000,151.7962,46.0189,-9.9223,3.1968,5.55,9.3067,3.8312,2.6625,6.9814
2014/4/15,-1.5556,-0.7267,-5.7143,2.1117,0.3379,10.0776,1486814630,4974554262,3823069800,149.4349,45.6845,-9.3553,3.1471,5.5097,8.7749,3.7716,2.6431,6.5825
2014/4/16,0.5643,1.8581,0,1.3755,0.2279,,1495205232,5066986858,3823069800,150.2782,46.5334,-9.3553,3.1648,5.6121,8.7749,3.7929,2.6923,6.5825
2014/4/17,-0.3367,-0.995,0,1.4941,0.1414,,1490170871,5016569078,3823069800,149.7722,46.0704,-9.3553,3.1542,5.5562,8.7749,3.7802,2.6655,6.5825
2014/4/18,0.1126,-0.335,0,0.9579,0.2129,,1491848991,4999763152,3823069800,149.9409,45.916,-9.3553,3.1577,5.5376,8.7749,3.7844,2.6565,6.5825
2014/4/21,-2.5872,-1.6246,0,1.2615,0.2839,,1453252223,4918534507,3823069800,146.0616,45.1701,-9.3553,3.076,5.4476,8.7749,3.6865,2.6134,6.5825
2014/4/22,-2.5404,-0.9112,0,2.19,0.2214,,1416333575,4873718702,3823069800,142.3511,44.7585,-9.3553,2.9979,5.398,8.7749,3.5929,2.5896,6.5825
2014/4/23,-0.9479,-1.1494,0,1.0112,0.2714,,1402908613,4817698947,3823069800,141.0018,44.244,-9.3553,2.9695,5.336,8.7749,3.5588,2.5598,6.5825
2014/4/24,0.1196,1.4535,0,1.403,0.2919,,1404586733,4887723641,3823069800,141.1704,44.8871,-9.3553,2.973,5.4135,8.7749,3.5631,2.597,6.5825
2014/4/25,-3.1063,-1.3754,0,2.1401,0.1588,,1360955604,4820499935,3823069800,136.7852,44.2697,-9.3553,2.8807,5.3391,8.7749,3.4524,2.5613,6.5825
2014/4/28,-9.9751,-4.0093,0,3.1586,0.2718,,1211602893,4627231780,3823069800,121.7743,42.4948,-9.3553,2.5645,5.125,8.7749,3.0735,2.4586,6.5825
2014/4/29,0.277,1.4528,0,1.456,0.1072,,1214959133,4694455486,3823069800,122.1116,43.1122,-9.3553,2.5716,5.1995,8.7749,3.082,2.4943,6.5825
2014/4/30,-0.5525,2.5656,0,1.2648,0.2125,,1208246652,4814897959,3823069800,121.4369,44.2183,-9.3553,2.5574,5.3329,8.7749,3.065,2.5583,6.5825
2014/5/5,3.0556,0.5236,0,1.507,0.1969,,1245165300,4840106849,3823069800,125.1475,44.4498,-9.3553,2.6356,5.3608,8.7749,3.1586,2.5717,6.5825
2014/5/6,0.8086,-1.6204,0,1.4,0.3241,,1255234022,4761679192,3823069800,126.1595,43.7296,-9.3553,2.6569,5.2739,8.7749,3.1842,2.53,6.5825
