ÈÕÆÚ,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH
2014/1/16,0.1416,-0.3141,0,-1.8274,-2.6316,,,0,0.8499,0,,,3.3245,3.488,,0.4272,6.5041,,,0.3253,0.3522,0.6775,,,6693818436,47035598470,2001172876,18480736429,2336964378,,,4349912064,10233732469,1156559096,,,243.5733,189.0593,-5.7017,25.6105,-18.3494,,,15.8091,10.4336,41.6781,,,3.0643,2.4776,6.7304,4.2086,5.6531,,,0.7575,1.5572,3.6475,,,0.2243,0.6675,0.718,0.4801,0.4442,,,0.2755,0.4544,1.4259,,
2014/1/17,-0.1414,-1.2605,0,0.5171,0.5405,,,-1.0417,-0.4213,-1.31,,,2.0296,1.9273,,0.3518,4.7108,,,0.2278,0.5016,0.5358,,,6684350517,46442712775,2001172876,18576293494,2349596618,,,4304600480,10190612810,1141407666,,,243.2288,186.6762,-5.7017,25.7429,-18.4486,,,15.6444,10.3896,41.1321,,,3.06,2.4463,6.7304,4.2304,5.6836,,,0.7496,1.5506,3.5997,,,0.2239,0.6591,0.718,0.4826,0.4466,,,0.2726,0.4525,1.4072,,
2014/1/20,1.8414,1.7021,0,-3.035,-3.2258,,,-1.8421,0.8463,-0.2212,,,2.0229,2.3065,,0.2699,7.0291,,,0.2704,0.4086,0.3508,,,6807433459,47233227035,2001172876,18012506809,2273803178,,,4225305208,10276852128,1138882428,,,247.7075,189.8537,-5.7017,24.9616,-17.8535,,,15.3562,10.4775,41.0411,,,3.1163,2.488,6.7304,4.102,5.5003,,,0.7358,1.5637,3.5917,,,0.2281,0.6703,0.718,0.468,0.4322,,,0.2676,0.4563,1.4041,,
2014/1/21,7.2323,1.4644,0,2.7056,0.9722,,,1.0724,1.2587,0.8869,,,4.8665,2.3404,,0.302,5.998,,,0.2921,0.4091,0.4714,,,7299765225,47924927013,2001172876,18499847842,2295909598,,,4270616792,10406211106,1148983381,,,265.6224,192.6339,-5.7017,25.637,-18.027,,,15.5209,10.6094,41.4051,,,3.3417,2.5244,6.7304,4.213,5.5538,,,0.7437,1.5834,3.6236,,,0.2446,0.6802,0.718,0.4806,0.4364,,,0.2704,0.462,1.4165,,
2014/1/22,9.987,3.6082,0,6.9731,0.9629,,,3.4483,2.0718,10.1099,,,5.1245,5.077,,1.0899,5.863,,,0.6962,0.5827,2.1058,,,8028794956,49654176956,2001172876,19789868224,2318016018,,,4417879440,10621809403,1265144338,,,292.1502,199.5846,-5.7017,27.4247,-18.2006,,,16.0561,10.8292,45.5911,,,3.6754,2.6155,6.7304,4.5068,5.6072,,,0.7693,1.6162,3.9899,,,0.269,0.7047,0.718,0.5142,0.4406,,,0.2798,0.4716,1.5597,,
2014/1/23,10.0236,-0.0995,0,8.1603,0.2725,,,0.5128,0,2.7944,,,11.4363,3.8467,,1.4973,6.5375,,,0.4812,0.4062,5.3315,,,8833568035,49604769815,2001172876,21404782627,2324332138,,,4440535232,10621809403,1300497673,,,321.4341,199.3861,-5.7017,29.6626,-18.2502,,,16.1385,10.8292,46.8651,,,4.0438,2.6129,6.7304,4.8745,5.6225,,,0.7733,1.6162,4.1014,,,0.2959,0.704,0.718,0.5561,0.4418,,,0.2812,0.4716,1.6033,,
2014/1/24,0.2144,2.1912,0,6.6518,-0.8152,,,1.0204,2.3004,-1.3592,,,9.6712,3.5246,,1.7484,6.0877,,,0.7553,0.5233,2.5198,,,8852503872,50691726923,2001172876,22828582900,2305383778,,,4485846816,10866154139,1282821006,,,322.1231,203.7551,-5.7017,31.6357,-18.1014,,,16.3031,11.0783,46.2281,,,4.0525,2.6701,6.7304,5.1988,5.5767,,,0.7812,1.6534,4.0457,,,0.2966,0.7194,0.718,0.5931,0.4382,,,0.2841,0.4825,1.5815,,
2014/1/27,-2.139,5.5556,0,-1.3813,-2.7397,,,1.2626,-0.7937,-0.7874,,,5.8102,5.3099,,0.8698,4.1532,,,0.7086,0.5227,1.2192,,,8663145501,53507933974,2001172876,22513244585,2242222579,,,4542486296,10779914820,1272720053,,,315.2328,215.0748,-5.7017,31.1987,-17.6055,,,16.509,10.9904,45.8641,,,3.9658,2.8185,6.7304,5.127,5.4239,,,0.791,1.6403,4.0138,,,0.2902,0.7594,0.718,0.5849,0.4262,,,0.2876,0.4786,1.5691,,
2014/1/28,-1.6393,-2.3084,0,-0.8489,-1.6901,,,1.2469,0.6667,0.5952,,,4.807,2.7681,,0.5079,3.349,,,0.6531,0.2978,1.1097,,,8521126722,52272755443,2001172876,22322130454,2204325859,,,4599125776,10851780919,1280295767,,,310.065,210.11,-5.7017,30.9339,-17.3079,,,16.7148,11.0637,46.1371,,,3.9008,2.7534,6.7304,5.0834,5.3322,,,0.8009,1.6512,4.0377,,,0.2855,0.7419,0.718,0.5799,0.419,,,0.2912,0.4818,1.5784,,
2014/1/29,5.6667,2.2684,0,2.012,1.1461,,,-0.4926,0.6623,0.1972,,,4.7201,3.2576,,0.6137,2.5443,,,0.5001,0.326,0.7626,,,9003990570,53458526833,2001172876,22771248661,2229590339,,,4576469984,10923647018,1282821006,,,327.6354,214.8762,-5.7017,31.5563,-17.5063,,,16.6325,11.1369,46.2281,,,4.1219,2.8159,6.7304,5.1857,5.3933,,,0.797,1.6621,4.0457,,,0.3017,0.7587,0.718,0.5916,0.4238,,,0.2898,0.485,1.5815,,
2014/1/30,-5.8885,-4.0665,0,-3.1473,-6.2323,,,-1.2376,-0.9211,-0.5906,,,5.6886,3.2682,,0.6394,5.8137,,,0.4633,0.2769,0.7362,,,8473787129,51284612618,2001172876,22054570671,2090635700,,,4519830504,10823034479,1275245291,,,308.3425,206.1382,-5.7017,30.5631,-16.4153,,,16.4266,11.0344,45.9551,,,3.8791,2.7014,6.7304,5.0225,5.0572,,,0.7871,1.6468,4.0218,,,0.2839,0.7278,0.718,0.573,0.3974,,,0.2862,0.4805,1.5722,,
2014/2/7,10.0559,0,0,3.9861,3.0211,,,0.2506,0.1328,0.5941,,,4.6416,2.9019,,0.6042,3.1378,,,0.3497,0.3887,0.8161,,,9325899801,51284612618,2001172876,22933695672,2153796900,,,4531158400,10837407699,1282821006,,,339.349,206.1382,-5.7017,31.7814,-16.9112,,,16.4678,11.049,46.2281,,,4.2692,2.7014,6.7304,5.2227,5.21,,,0.7891,1.649,4.0457,,,0.3124,0.7278,0.718,0.5958,0.4094,,,0.2869,0.4812,1.5815,,
2014/2/10,5.8883,1.2524,0,2.2917,2.9326,,,4.75,2.5199,2.5591,,,6.9061,3.4456,,0.8814,4.4144,,,1.4556,0.6387,1.7562,,,9875039079,51926905454,2001172876,23459259531,2216958099,,,4746388424,11110498874,1315649102,,,359.3309,208.7199,-5.7017,32.5097,-17.4071,,,17.25,11.3274,47.4111,,,4.5206,2.7352,6.7304,5.3424,5.3628,,,0.8265,1.6906,4.1492,,,0.3308,0.737,0.718,0.6095,0.4214,,,0.3006,0.4933,1.622,,
2014/2/11,-3.164,-2.2835,0,-2.0367,0.4274,,,6.6826,1.6818,-0.1919,,,4.5821,3.6318,,0.7276,3.7986,,,4.2103,0.6632,1.2161,,,9562597766,50741134064,2001172876,22981474205,2226432279,,,5063569512,11297350731,1313123864,,,347.9619,203.9537,-5.7017,31.8476,-17.4815,,,18.4028,11.5179,47.3201,,,4.3776,2.6727,6.7304,5.2336,5.3857,,,0.8818,1.719,4.1412,,,0.3204,0.7201,0.718,0.5971,0.4232,,,0.3206,0.5016,1.6189,,
2014/2/12,0.7921,3.6027,0,-4.3659,1.5603,,,10.0671,1.9084,1.9231,,,4.2555,3.4749,,1.2325,4.1104,,,8.4321,0.6009,2.3214,,,9638341114,52569198290,2001172876,21978125019,2261170939,,,5573324832,11512949028,1338376246,,,350.718,211.3016,-5.7017,30.4572,-17.7543,,,20.2554,11.7377,48.2301,,,4.4123,2.769,6.7304,5.0051,5.4697,,,0.9706,1.7518,4.2209,,,0.3229,0.7461,0.718,0.571,0.4298,,,0.3529,0.5112,1.65,,
2014/2/13,-8.3497,-3.6654,0,-4.7826,0.9777,,,0.4065,1.1236,-2.8302,,,4.7572,2.9875,,0.8479,7.2809,,,7.314,0.9311,1.4574,,,8833568035,50642319781,2001172876,20926997301,2283277358,,,5595980624,11642308006,1300497673,,,321.4341,203.5565,-5.7017,29.0005,-17.9278,,,20.3377,11.8696,46.8651,,,4.0438,2.6675,6.7304,4.7657,5.5232,,,0.9745,1.7715,4.1014,,,0.2959,0.7187,0.718,0.5437,0.434,,,0.3544,0.5169,1.6033,,
2014/2/14,1.0718,0.4878,0,0.8676,1.1065,,,5.2632,0.7407,1.7476,,,2.7521,1.8299,,0.5829,5.6737,,,5.2469,0.4826,1.3373,,,8928247221,50889355488,2001172876,21108555725,2308541838,,,5890505920,11728547324,1323224817,,,324.8793,204.5494,-5.7017,29.2521,-18.1262,,,21.4082,11.9576,47.6841,,,4.0872,2.6806,6.7304,4.8071,5.5843,,,1.0258,1.7846,4.1731,,,0.2991,0.7222,0.718,0.5484,0.4388,,,0.373,0.5207,1.6313,,
2014/2/17,7.9533,3.1068,0,3.2594,2.4624,,,0,0.1225,1.9084,,,5.1163,3.6652,,0.7756,7.0877,,,3.5756,0.5252,2.1385,,,9638341114,52470384008,2001172876,21796566595,2365386918,,,5890505920,11742920544,1348477199,,,350.718,210.9044,-5.7017,30.2056,-18.5726,,,21.4082,11.9722,48.5941,,,4.4123,2.7638,6.7304,4.9638,5.7218,,,1.0258,1.7868,4.2527,,,0.3229,0.7447,0.718,0.5663,0.4496,,,0.373,0.5214,1.6625,,
2014/2/18,-0.8841,-0.1883,0,-2.3674,-0.6676,,,1.5385,-2.3256,1.3109,,,3.458,3.2901,,0.6988,6.0721,,,3.8906,0.745,2.5276,,,9553129847,52371569725,2001172876,21280558442,2349596618,,,5981129088,11469829368,1366153866,,,347.6174,210.5072,-5.7017,29.4905,-18.4486,,,21.7375,11.6938,49.2311,,,4.3733,2.7586,6.7304,4.8462,5.6836,,,1.0416,1.7452,4.3085,,,0.32,0.7433,0.718,0.5529,0.4466,,,0.3787,0.5093,1.6843,,
2014/2/19,-0.6938,7.2642,0,-3.3678,3.3602,,,-2.2727,1.6291,1.4787,,,3.9574,6.7809,,0.8134,9.623,,,2.3317,0.6553,2.6915,,,9486854417,56175919601,2001172876,20563880453,2428548117,,,5845194336,11656681225,1386355772,,,345.2057,225.7987,-5.7017,28.4973,-19.0685,,,21.2435,11.8843,49.9591,,,4.3429,2.959,6.7304,4.683,5.8746,,,1.0179,1.7737,4.3722,,,0.3178,0.7973,0.718,0.5343,0.4616,,,0.3701,0.5176,1.7092,,
2014/2/20,1.0978,-3.0783,0,-4.0892,-3.5111,,,-5.2326,-0.3699,-3.4608,,,3.9689,4.8944,,1.042,5.6188,,,3.5251,0.4779,1.8773,,,9591001522,54446669658,2001172876,19722978278,2343280498,,,5539341144,11613561566,1338376246,,,348.9954,218.848,-5.7017,27.332,-18.399,,,20.1319,11.8403,48.2301,,,4.3906,2.8679,6.7304,4.4915,5.6683,,,0.9646,1.7671,4.2209,,,0.3213,0.7727,0.718,0.5124,0.4454,,,0.3508,0.5156,1.65,,
2014/2/21,-2.4679,-2.9038,0,0.0484,0.2695,,,-2.045,0.1238,-1.8868,,,2.4412,3.2082,,0.577,3.7644,,,3.5556,0.439,1.3096,,,9354303557,52865641138,2001172876,19732533984,2349596618,,,5426062184,11627934786,1313123864,,,340.3825,212.4931,-5.7017,27.3452,-18.4486,,,19.7202,11.855,47.3201,,,4.2822,2.7847,6.7304,4.4937,5.6836,,,0.9449,1.7693,4.1412,,,0.3134,0.7503,0.718,0.5127,0.4466,,,0.3436,0.5163,1.6189,,
2014/2/24,-0.9109,-3.1776,0,-0.8232,2.957,,,1.4614,-3.0902,-0.3846,,,1.9741,2.6687,,0.6192,6.9136,,,4.2399,0.457,1.7124,,,9269092290,51185798335,2001172876,19570086973,2419073937,,,5505357456,11268604292,1308073388,,,337.2819,205.741,-5.7017,27.1201,-18.9941,,,20.0084,11.4886,47.1381,,,4.2432,2.6962,6.7304,4.4567,5.8517,,,0.9587,1.7146,4.1253,,,0.3105,0.7264,0.718,0.5084,0.4598,,,0.3486,0.5003,1.6127,,
2014/2/25,2.145,-5.695,0,-7.8125,-6.1358,,,-5.5556,-3.5714,-3.668,,,5.8718,3.2181,,1.2462,9.0307,,,3.7664,0.4648,1.3862,,,9467918580,48270777001,2001172876,18041173929,2270645118,,,5199504264,10866154139,1260093862,,,344.5167,194.0241,-5.7017,25.0014,-17.8287,,,18.8968,11.0783,45.4091,,,4.3342,2.5426,6.7304,4.1085,5.4926,,,0.9055,1.6534,3.974,,,0.3172,0.6851,0.718,0.4687,0.4316,,,0.3292,0.4825,1.5535,,
