ÈÕÆÚ,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH
2014/1/16,-0.7133,0.3846,1.6603,-0.309,-0.3937,2.3613,,0,0,-0.9124,3.0195,-0.5155,,0.7846,3.8447,0.4247,0.5008,0.1799,0.4476,,0.6018,1.1337,0.4448,3.8886,0.3254,,2572598923,2809937630,10938677611,1935316282,2712041346,18871950605,,2809937630,2631636000,14778326488,1520221859,3582714088,,138.177,75.391,121.377,11.9822,41.27,20.0931,,34.5754,129.3088,20.8891,19.3712,12.7739,,9.2655,3.2767,2.775,2.5732,0.4565,5.4818,,1.5028,4.561,1.7024,2.0781,1.4517,,14.9991,6.3967,6.1894,2.2483,2.4791,7.119,,2.9336,7.5964,4.0437,1.4982,6.8619,
2014/1/17,-1.5086,-0.9579,-1.1307,-1.0331,-1.581,-5.5794,,-0.6579,1.3317,-3.1308,-1.3793,-1.209,,0.3805,1.694,0.9346,0.7575,0.1194,0.5566,,0.2921,2.1459,0.2935,1.6421,0.2481,,2533788163,2783022519,10814999095,1915323345,2669163221,17819009155,,2783022519,2666682000,14315653283,1499253281,3539399755,,136.0924,74.6689,120.0046,11.8584,40.6175,18.972,,34.3336,131.0309,20.2351,19.104,12.6194,,9.1257,3.2453,2.7436,2.5466,0.4492,5.1759,,1.4922,4.6218,1.6491,2.0495,1.4342,,14.7728,6.3354,6.1194,2.2251,2.4399,6.7218,,2.9131,7.6976,3.9171,1.4775,6.779,
2014/1/20,-0.2188,-0.1934,-0.1271,0,0,1.3636,,0.6623,-2.1505,-0.3802,-1.7483,-0.3497,,0.2954,1.583,0.2853,0.3713,0.103,0.2949,,0.4935,1.158,0.2023,1.1466,0.2297,,2528243769,2777639496,10801257038,1915323345,2669163221,18061995644,,2777639496,2609334000,14261221141,1473042560,3527024232,,135.7946,74.5244,119.8521,11.8584,40.6175,19.2307,,34.5789,128.213,20.1582,18.77,12.5753,,9.1057,3.2391,2.7402,2.5466,0.4492,5.2465,,1.5029,4.5224,1.6428,2.0136,1.4291,,14.7405,6.3231,6.1116,2.2251,2.4399,6.8134,,2.9339,7.532,3.9022,1.4517,6.7553,
2014/1/21,0,-2.907,0.3817,0.2088,2.8112,0.8408,,-0.9868,0.4884,2.8626,1.9573,1.9298,,0.4693,3.1646,0.3836,0.5316,0.2977,0.136,,0.5958,0.9906,0.2973,1.3442,0.3673,,2528243769,2696894162,10842483210,1919321933,2744199939,18213862199,,2696894162,2622078000,14669462204,1501874353,3595089612,,135.7946,72.358,120.3096,11.8831,41.7593,19.3924,,34.2255,128.8392,20.7352,19.1374,12.818,,9.1057,3.1449,2.7506,2.5519,0.4619,5.2906,,1.4876,4.5444,1.6899,2.053,1.4567,,14.7405,6.1393,6.1349,2.2298,2.5085,6.8707,,2.9039,7.5688,4.0139,1.4801,6.8856,
2014/1/22,0.8041,1.996,3.1686,3.2292,10.1562,0.0556,,0.9967,2.6731,2.5974,2.9668,1.8933,,1.0732,2.3926,1.3122,0.9585,2.8173,0.4899,,0.3258,1.8776,0.4151,1.9782,0.6418,,2548573214,2750724385,11199967392,1981300037,3022907745,18335608200,,2750724385,2692170000,15050487197,1546432580,3663154992,,136.8865,73.8023,124.1217,12.2669,95.5267,19.4032,,34.5767,132.2833,21.2738,19.7052,13.0607,,9.179,3.2077,2.8378,2.6343,1.0566,5.2936,,1.5028,4.6659,1.7338,2.1139,1.4843,,14.859,6.2619,6.3293,2.3018,5.7383,6.8745,,2.9337,7.7711,4.1182,1.524,7.016,
2014/1/23,-0.6526,-0.7828,-0.1229,-0.4036,1.773,-1.2778,,-0.6579,1.1834,-1.085,-0.339,-0.8446,,1.0242,1.4854,1.6452,0.6699,4.0992,0.4195,,0.1572,2.3059,0.3585,2.1202,0.5412,,2531940032,2729192296,11186208218,1973302862,3076505400,18101319873,,2729192296,2724030000,14887190771,1541190436,3632216182,,135.9931,73.2246,123.9692,12.2174,97.2205,19.1553,,34.3562,133.8487,21.043,19.6384,12.9504,,9.1191,3.1826,2.8343,2.6237,1.0753,5.2259,,1.4932,4.7211,1.715,2.1068,1.4718,,14.7621,6.2129,6.3216,2.2925,5.84,6.7867,,2.915,7.8631,4.0735,1.5189,6.9567,
2014/1/24,-0.292,4.5365,3.321,2.0263,-1.0453,-2.3073,,1.9868,0.8187,1.0969,1.8707,1.1925,,0.9941,3.223,1.1256,0.9639,1.5813,1.2243,,1.129,1.7957,0.3456,2.1941,0.5542,,2524547506,2853001808,13487857908,2013288736,3044346807,17683675464,,2853001808,2746332000,15050487197,1570022230,3675530515,,135.5961,76.5464,128.0863,12.4649,96.2042,18.7133,,34.9912,134.9446,21.2738,20.0057,13.1048,,9.0924,3.327,2.9284,2.6768,1.0641,5.1053,,1.5208,4.7598,1.7338,2.1462,1.4893,,14.719,6.4947,6.5315,2.3389,5.779,6.6301,,2.9689,7.9275,4.1182,1.5473,7.0397,
2014/1/27,-3.3675,0.3774,-0.8333,1.0924,-3.8732,-7.0276,,-0.3247,-1.7401,0,-0.5008,2.3569,,1.3156,3.1197,1.5007,1.0828,1.0543,2.0574,,0.5161,1.372,0.3976,1.8534,1.1922,,2439533461,2863767853,13375459092,2035280966,2926431966,17774183070,,2863767853,2698542000,15050487197,1562159013,3762159180,,131.0299,76.8353,127.0189,12.6011,92.478,17.3982,,34.8479,132.5964,21.2738,19.9055,13.4137,,8.7862,3.3395,2.904,2.7061,1.0229,4.7466,,1.5146,4.677,1.7338,2.1354,1.5244,,14.2233,6.5192,6.4771,2.3645,5.5551,6.1642,,2.9567,7.7895,4.1182,1.5395,7.2056,
2014/1/28,-0.5303,2.6316,-2.401,-1.0806,1.8315,-3.9653,,0.3257,-1.4168,-0.1808,0.8389,-0.3289,,0.6111,2.7146,0.8141,0.5531,0.6679,1.5771,,0.249,0.9251,0.2342,1.5177,0.45,,2426596541,2939130165,13054319618,2013288736,2980029621,17069382750,,2939130165,2660310000,15023271126,1575264374,3749783657,,130.335,78.8572,123.9692,12.4649,94.1717,16.7083,,34.973,130.7178,21.2353,20.0725,13.3695,,8.7397,3.4274,2.8343,2.6768,1.0416,4.5583,,1.52,4.6107,1.7306,2.1534,1.5194,,14.1479,6.6908,6.3216,2.3389,5.6569,5.9197,,2.9673,7.6792,4.1107,1.5524,7.1819,
2014/1/29,1.2947,-1.2821,0.738,1.6882,0.3597,3.0323,,0.3247,0.7186,1.2681,-0.3328,0,,0.569,2.0165,0.5034,1.1548,1.0098,0.7445,,0.2773,0.7531,0.2998,1.4677,0.3817,,2458014775,2901449009,13150661460,2047276728,2990749152,17586970485,,2901449009,2679426000,15213783622,1570022230,3749783657,,132.0225,77.8462,124.8841,12.6753,94.5105,17.2149,,35.1088,131.6571,21.5046,20.0057,13.3695,,8.8528,3.3834,2.8552,2.722,1.0453,4.6966,,1.5259,4.6438,1.7526,2.1462,1.5194,,14.331,6.605,6.3682,2.3784,5.6772,6.0992,,2.9789,7.7344,4.1629,1.5473,7.1819,
