代码,简称,date,前收盘价,收盘价,yield
000016.SH,上证50,2014-01-02,1574.781,1561.099,-0.008688192
000016.SH,上证50,2014-01-03,1561.099,1536.067,-0.016034857
000016.SH,上证50,2014-01-06,1536.067,1512.93,-0.015062494
000016.SH,上证50,2014-01-07,1512.93,1510.654,-0.001504366
000016.SH,上证50,2014-01-08,1510.654,1515.333,0.003097334
000016.SH,上证50,2014-01-09,1515.333,1503.881,-0.007557415
000016.SH,上证50,2014-01-10,1503.881,1498.268,-0.003732343
000016.SH,上证50,2014-01-13,1498.268,1494.613,-0.002439483
000016.SH,上证50,2014-01-14,1494.613,1499.285,0.003125893
000016.SH,上证50,2014-01-15,1499.285,1488.509,-0.007187426
000016.SH,上证50,2014-01-16,1488.509,1493.094,0.003080264
000016.SH,上证50,2014-01-17,1493.094,1475.671,-0.011669058
000016.SH,上证50,2014-01-20,1475.671,1464.842,-0.007338357
000016.SH,上证50,2014-01-21,1464.842,1478.884,0.009586017
000016.SH,上证50,2014-01-22,1478.884,1514.121,0.02382675
000016.SH,上证50,2014-01-23,1514.121,1499.031,-0.009966178
000016.SH,上证50,2014-01-24,1499.031,1502.065,0.002023974
000016.SH,上证50,2014-01-27,1502.065,1478.865,-0.015445403
000016.SH,上证50,2014-01-28,1478.865,1487.803,0.006043824
000016.SH,上证50,2014-01-29,1487.803,1494.49,0.004494547
000016.SH,上证50,2014-01-30,1494.49,1477.345,-0.011472141
000016.SH,上证50,2014-02-07,1477.345,1475.343,-0.001355134
000016.SH,上证50,2014-02-10,1475.343,1505.834,0.020667058
000016.SH,上证50,2014-02-11,1505.834,1528.322,0.014933917
000016.SH,上证50,2014-02-12,1528.322,1527.001,-0.000864347
000016.SH,上证50,2014-02-13,1527.001,1528.015,0.000664047
000016.SH,上证50,2014-02-14,1528.015,1534.239,0.004073258
000016.SH,上证50,2014-02-17,1534.239,1538.105,0.002519816
000016.SH,上证50,2014-02-18,1538.105,1508.541,-0.019221054
000016.SH,上证50,2014-02-19,1508.541,1533.396,0.016476185
000016.SH,上证50,2014-02-20,1533.396,1520.138,-0.008646168
000016.SH,上证50,2014-02-21,1520.138,1505.331,-0.009740563
000016.SH,上证50,2014-02-24,1505.331,1468.06,-0.024759339
000016.SH,上证50,2014-02-25,1468.06,1440.892,-0.018506056
000016.SH,上证50,2014-02-26,1440.892,1444.198,0.002294412
000016.SH,上证50,2014-02-27,1444.198,1452.461,0.005721515
000016.SH,上证50,2014-02-28,1452.461,1464.321,0.008165452
000016.SH,上证50,2014-03-03,1464.321,1462.686,-0.001116558
000016.SH,上证50,2014-03-04,1462.686,1464.284,0.001092511
000016.SH,上证50,2014-03-05,1464.284,1448.331,-0.010894744
000016.SH,上证50,2014-03-06,1448.331,1459.508,0.007717159
000016.SH,上证50,2014-03-07,1459.508,1455.585,-0.002687892
