代码,简称,date,前收盘价,收盘价,yield
000905.SH,中证500,2014/1/2,3829.096,3847.879,0.004905335
000905.SH,中证500,2014/1/3,3847.879,3816.316,-0.008202701
000905.SH,中证500,2014/1/6,3816.316,3710.898,-0.027622975
000905.SH,中证500,2014/1/7,3710.898,3733.662,0.006134364
000905.SH,中证500,2014/1/8,3733.662,3738.205,0.001216768
000905.SH,中证500,2014/1/9,3738.205,3696.023,-0.011284025
000905.SH,中证500,2014/1/10,3696.023,3628.634,-0.018232841
000905.SH,中证500,2014/1/13,3628.634,3612.02,-0.004578582
000905.SH,中证500,2014/1/14,3612.02,3683.534,0.019798894
000905.SH,中证500,2014/1/15,3683.534,3708.142,0.006680541
000905.SH,中证500,2014/1/16,3708.142,3714.314,0.001664445
000905.SH,中证500,2014/1/17,3714.314,3671.915,-0.011415028
000905.SH,中证500,2014/1/20,3671.915,3644.125,-0.007568258
000905.SH,中证500,2014/1/21,3644.125,3700.108,0.015362536
000905.SH,中证500,2014/1/22,3700.108,3799.042,0.026738138
000905.SH,中证500,2014/1/23,3799.042,3825.486,0.006960702
000905.SH,中证500,2014/1/24,3825.486,3882.668,0.014947643
000905.SH,中证500,2014/1/27,3882.668,3881.947,-0.000185697
000905.SH,中证500,2014/1/28,3881.947,3873.81,-0.002096113
000905.SH,中证500,2014/1/29,3873.81,3908.45,0.008942101
000905.SH,中证500,2014/1/30,3908.45,3885.416,-0.005893385
000905.SH,中证500,2014/2/7,3885.416,3957.671,0.018596464
000905.SH,中证500,2014/2/10,3957.671,4074.63,0.029552482
000905.SH,中证500,2014/2/11,4074.63,4080.378,0.00141068
000905.SH,中证500,2014/2/12,4080.378,4125.412,0.011036723
000905.SH,中证500,2014/2/13,4125.412,4064.423,-0.014783736
000905.SH,中证500,2014/2/14,4064.423,4134.16,0.017157909
000905.SH,中证500,2014/2/17,4134.16,4212.745,0.019008698
000905.SH,中证500,2014/2/18,4212.745,4207.699,-0.001197794
000905.SH,中证500,2014/2/19,4207.699,4207.994,7.01E-05
000905.SH,中证500,2014/2/20,4207.994,4149.071,-0.014002634
000905.SH,中证500,2014/2/21,4149.071,4121.917,-0.006544598
000905.SH,中证500,2014/2/24,4121.917,4105.792,-0.003912015
000905.SH,中证500,2014/2/25,4105.792,3961.439,-0.035158381
000905.SH,中证500,2014/2/26,3961.439,3987.48,0.006573621
000905.SH,中证500,2014/2/27,3987.48,3934.727,-0.013229659
000905.SH,中证500,2014/2/28,3934.727,3975.929,0.010471375
000905.SH,中证500,2014/3/3,3975.929,4058.799,0.020842928
000905.SH,中证500,2014/3/4,4058.799,4059.567,0.000189219
000905.SH,中证500,2014/3/5,4059.567,4037.784,-0.005365843
000905.SH,中证500,2014/3/6,4037.784,4032.756,-0.001245237
000905.SH,中证500,2014/3/7,4032.756,4012.447,-0.00503601
000905.SH,中证500,2014/3/10,4012.447,3860.244,-0.037932713
000905.SH,中证500,2014/3/11,3860.244,3864.26,0.001040349
000905.SH,中证500,2014/3/12,3864.26,3865.662,0.000362812
000905.SH,中证500,2014/3/13,3865.662,3907.146,0.010731409
000905.SH,中证500,2014/3/14,3907.146,3888.975,-0.004650709
000905.SH,中证500,2014/3/17,3888.975,3967.15,0.020101698
000905.SH,中证500,2014/3/18,3967.15,3989.201,0.005558398
000905.SH,中证500,2014/3/19,3989.201,3980.673,-0.002137771
000905.SH,中证500,2014/3/20,3980.673,3876.578,-0.026150101
000905.SH,中证500,2014/3/21,3876.578,3952.392,0.019556939
000905.SH,中证500,2014/3/24,3952.392,3985.861,0.008468037
000905.SH,中证500,2014/3/25,3985.861,3991.144,0.001325435
000905.SH,中证500,2014/3/26,3991.144,4001.502,0.002595246
000905.SH,中证500,2014/3/27,4001.502,3944.044,-0.014359108
000905.SH,中证500,2014/3/28,3944.044,3865.295,-0.019966562
000905.SH,中证500,2014/3/31,3865.295,3840.536,-0.006405462
000905.SH,中证500,2014/4/1,3840.536,3899.488,0.015349941
000905.SH,中证500,2014/4/2,3899.488,3902.043,0.000655214
000905.SH,中证500,2014/4/3,3902.043,3896.28,-0.001476919
000905.SH,中证500,2014/4/4,3896.28,3939.229,0.011023078
000905.SH,中证500,2014/4/8,3939.229,3981.625,0.010762512
000905.SH,中证500,2014/4/9,3981.625,4018.547,0.009273098
000905.SH,中证500,2014/4/10,4018.547,4038.84,0.005049835
000905.SH,中证500,2014/4/11,4038.84,4021.194,-0.004369076
000905.SH,中证500,2014/4/14,4021.194,4051.33,0.007494291
000905.SH,中证500,2014/4/15,4051.33,4021.906,-0.0072628
000905.SH,中证500,2014/4/16,4021.906,4019.883,-0.000502995
000905.SH,中证500,2014/4/17,4019.883,4014.94,-0.001229638
000905.SH,中证500,2014/4/18,4014.94,4029.262,0.003567177
000905.SH,中证500,2014/4/21,4029.262,3965.337,-0.015865188
000905.SH,中证500,2014/4/22,3965.337,3947.169,-0.004581704
000905.SH,中证500,2014/4/23,3947.169,3929.168,-0.004560484
000905.SH,中证500,2014/4/24,3929.168,3884.811,-0.011289158
000905.SH,中证500,2014/4/25,3884.811,3800.681,-0.021656137
000905.SH,中证500,2014/4/28,3800.681,3684.593,-0.030544
000905.SH,中证500,2014/4/29,3684.593,3738.926,0.014745998
000905.SH,中证500,2014/4/30,3738.926,3766.17,0.007286584
000905.SH,中证500,2014/5/5,3766.17,3798.288,0.008528027
000905.SH,中证500,2014/5/6,3798.288,3817.98,0.005184441
000905.SH,中证500,2014/5/7,3817.98,3749.965,-0.017814394
000905.SH,中证500,2014/5/8,3749.965,3754.011,0.001078943
000905.SH,中证500,2014/5/9,3754.011,3716.022,-0.010119576
000905.SH,中证500,2014/5/12,3716.022,3812.758,0.026032139
000905.SH,中证500,2014/5/13,3812.758,3806.89,-0.001539043
000905.SH,中证500,2014/5/14,3806.89,3803.803,-0.000810898
000905.SH,中证500,2014/5/15,3803.803,3732.337,-0.018788039
000905.SH,中证500,2014/5/16,3732.337,3726.656,-0.001522103
000905.SH,中证500,2014/5/19,3726.656,3705.364,-0.005713433
000905.SH,中证500,2014/5/20,3705.364,3715.71,0.002792168
000905.SH,中证500,2014/5/21,3715.71,3747.334,0.00851089
000905.SH,中证500,2014/5/22,3747.334,3746.14,-0.000318627
000905.SH,中证500,2014/5/23,3746.14,3786.563,0.010790574
000905.SH,中证500,2014/5/26,3786.563,3827.487,0.01080769
000905.SH,中证500,2014/5/27,3827.487,3818.322,-0.002394522
000905.SH,中证500,2014/5/28,3818.322,3861.588,0.011331155
