代码,简称,date,前收盘价,收盘价,yield
399006.SZ,创业板指,2014/1/2,1304.444,1333.003,0.021893619
399006.SZ,创业板指,2014/1/3,1333.003,1352.84,0.014881437
399006.SZ,创业板指,2014/1/6,1352.84,1323.328,-0.021814849
399006.SZ,创业板指,2014/1/7,1323.328,1352.276,0.021875151
399006.SZ,创业板指,2014/1/8,1352.276,1405.023,0.03900609
399006.SZ,创业板指,2014/1/9,1405.023,1380.244,-0.01763601
399006.SZ,创业板指,2014/1/10,1380.244,1353.302,-0.019519737
399006.SZ,创业板指,2014/1/13,1353.302,1362.788,0.007009522
399006.SZ,创业板指,2014/1/14,1362.788,1400.916,0.027977939
399006.SZ,创业板指,2014/1/15,1400.916,1415.323,0.010283986
399006.SZ,创业板指,2014/1/16,1415.323,1395.163,-0.014244098
399006.SZ,创业板指,2014/1/17,1395.163,1395.509,0.000248
399006.SZ,创业板指,2014/1/20,1395.509,1372.736,-0.016318777
399006.SZ,创业板指,2014/1/21,1372.736,1407.152,0.025071099
399006.SZ,创业板指,2014/1/22,1407.152,1431.741,0.017474303
399006.SZ,创业板指,2014/1/23,1431.741,1461.525,0.020802645
399006.SZ,创业板指,2014/1/24,1461.525,1484.432,0.015673355
399006.SZ,创业板指,2014/1/27,1484.432,1477.669,-0.004555951
399006.SZ,创业板指,2014/1/28,1477.669,1471.34,-0.004283097
399006.SZ,创业板指,2014/1/29,1471.34,1496.527,0.017118409
399006.SZ,创业板指,2014/1/30,1496.527,1495.978,-0.000366849
399006.SZ,创业板指,2014/2/7,1495.978,1532.687,0.024538462
399006.SZ,创业板指,2014/2/10,1532.687,1553.415,0.013523962
399006.SZ,创业板指,2014/2/11,1553.415,1527.151,-0.016907266
399006.SZ,创业板指,2014/2/12,1527.151,1539.966,0.008391443
399006.SZ,创业板指,2014/2/13,1539.966,1485.131,-0.035607929
399006.SZ,创业板指,2014/2/14,1485.131,1515.784,0.02063993
399006.SZ,创业板指,2014/2/17,1515.784,1558.616,0.028257324
399006.SZ,创业板指,2014/2/18,1558.616,1545.341,-0.008517172
399006.SZ,创业板指,2014/2/19,1545.341,1544.402,-0.000607633
399006.SZ,创业板指,2014/2/20,1544.402,1515.164,-0.018931599
399006.SZ,创业板指,2014/2/21,1515.164,1519.665,0.002970636
399006.SZ,创业板指,2014/2/24,1519.665,1540.026,0.013398348
399006.SZ,创业板指,2014/2/25,1540.026,1472.691,-0.043723288
399006.SZ,创业板指,2014/2/26,1472.691,1465.985,-0.004553569
399006.SZ,创业板指,2014/2/27,1465.985,1414.657,-0.035012637
