ÈÕÆÚ,600064.SH,600082.SH,600215.SH,600463.SH,600604.SH,600639.SH,600648.SH,600658.SH,600663.SH,600848.SH,600895.SH,900902.SH,900911.SH,900912.SH,900928.SH,900932.SH,600064.SH,600082.SH,600215.SH,600463.SH,600604.SH,600639.SH,600648.SH,600658.SH,600663.SH,600848.SH,600895.SH,900902.SH,900911.SH,900912.SH,900928.SH,900932.SH,600064.SH,600082.SH,600215.SH,600463.SH,600604.SH,600639.SH,600648.SH,600658.SH,600663.SH,600848.SH,600895.SH,900902.SH,900911.SH,900912.SH,900928.SH,900932.SH,600064.SH,600082.SH,600215.SH,600463.SH,600604.SH,600639.SH,600648.SH,600658.SH,600663.SH,600848.SH,600895.SH,900902.SH,900911.SH,900912.SH,900928.SH,900932.SH,600064.SH,600082.SH,600215.SH,600463.SH,600604.SH,600639.SH,600648.SH,600658.SH,600663.SH,600848.SH,600895.SH,900902.SH,900911.SH,900912.SH,900928.SH,900932.SH,600064.SH,600082.SH,600215.SH,600463.SH,600604.SH,600639.SH,600648.SH,600658.SH,600663.SH,600848.SH,600895.SH,900902.SH,900911.SH,900912.SH,900928.SH,900932.SH
2014/1/16,0.3972,1.8779,0.7653,0.1385,-2.0316,0,0.4317,1.2172,-0.0601,0.8013,-0.156,-0.3247,0,0.3307,0.9724,0.1255,0.2409,1.0877,0.2326,0.5422,0.4726,,1.447,1.056,0.3666,0.6995,0.4185,0.179,,0.2148,0.1567,0.0547,5218972392,2734151661,1836879876,1821960000,2894989969,7722190476,26388977539,6270852916,22584936920,1837569343,9911613120,2894989969,7722190476,26388977539,1837569343,22584936920,12.1239,69.2531,225.9761,24.1673,28.6151,25.5637,60.4597,12.5859,22.0914,208.5529,26.6087,12.3605,14.137,24.0766,126.138,12.9385,1.0497,1.6447,0.7622,2.3315,3.8087,2.3659,6.1009,2.3505,2.7556,12.9283,1.4347,1.6452,1.3084,2.4295,7.8194,1.6139,1.4789,3.2237,2.7684,1.9843,11.5358,7.6456,4.6626,4.266,6.8873,2.3267,5.1657,4.983,4.2281,1.8568,1.4073,4.0337
2014/1/17,-0.0989,-1.3825,0,-2.3513,-3.6866,0,-4.2984,-4.0703,-3.7883,-2.5437,-2.5,-1.3029,0,-1.6949,-0.4815,-0.9404,0.2652,0.7066,0.2165,0.6884,0.5321,,1.1188,0.676,0.3475,0.6459,0.3682,0.2216,,0.1917,0.2815,0.046,5213810203,2696352329,1836879876,1779120000,2788262228,7722190476,25254664718,6015610059,21729344000,1790826721,9663822792,2788262228,7722190476,25254664718,1790826721,21729344000,12.1119,68.2956,225.9761,23.599,27.5602,25.5637,57.8609,12.0737,21.2545,203.2479,25.9435,12.1947,14.1315,23.6592,125.4813,12.8118,1.0486,1.6219,0.7622,2.2767,3.6683,2.3659,5.8387,2.2549,2.6512,12.5994,1.3988,1.6231,1.3079,2.3874,7.7786,1.5981,1.4774,3.1792,2.7684,1.9376,11.1105,7.6456,4.4622,4.0923,6.6264,2.2676,5.0366,4.9161,4.2265,1.8246,1.3999,3.9942
2014/1/20,-0.396,0.4673,-0.2532,-0.1416,-0.2392,0,0,-1.2536,-0.3125,0,-0.3205,-0.165,0,0,0.3226,-0.0633,0.1957,0.513,0.1296,0.3644,0.4571,,0.6733,0.5157,0.1482,0.3577,0.2547,0.2738,,0.1584,0.0987,0.0266,5193161450,2708952107,1832229547,1776600000,2781591745,7722190476,25254664718,5940197396,21661439800,1790826721,9632849001,2781591745,7722190476,25254664718,1790826721,21661439800,12.0639,68.6148,225.404,23.5656,27.4943,25.5637,57.8609,11.9223,21.1881,203.2479,25.8603,12.1829,14.1412,23.6755,125.9727,12.8125,1.0445,1.6295,0.7603,2.2735,3.6595,2.3659,5.8387,2.2266,2.6429,12.5994,1.3944,1.6215,1.3088,2.3891,7.8091,1.5982,1.4716,3.194,2.7614,1.9349,11.084,7.6456,4.4622,4.041,6.6057,2.2676,5.0204,4.9114,4.2294,1.8258,1.4054,3.9945
2014/1/21,1.2922,1.6279,0,3.4043,1.199,0,2.1495,1.3672,1.3166,2.6101,1.9293,0.4959,0,1.8678,-0.1608,0.76,0.2717,0.649,0.1158,0.7962,0.2908,,0.8546,0.4027,0.2554,0.5703,0.4741,0.1879,,0.1875,0.2534,0.0541,5260269898,2753051327,1832229547,1837080000,2814944164,7722190476,25797514425,6021411033,21946637440,1837569343,9818691747,2814944164,7722190476,25797514425,1837569343,21946637440,12.2198,69.7318,225.404,24.3678,27.8239,25.5637,59.1046,12.0853,21.467,208.5529,26.3592,12.2399,14.1373,24.111,125.7351,12.9063,1.058,1.656,0.7603,2.3509,3.7034,2.3659,5.9642,2.257,2.6777,12.9283,1.4213,1.6291,1.3084,2.433,7.7944,1.6099,1.4906,3.246,2.7614,2.0007,11.2169,7.6456,4.5581,4.0963,6.6926,2.3267,5.1173,4.9344,4.2282,1.8594,1.4028,4.0237
2014/1/22,2.4534,2.5172,1.269,1.6461,5.3318,0,6.9095,4.0462,5.1361,2.0668,3.9432,2.1382,0,3.8082,1.1272,1.5085,0.5048,0.9813,0.39,0.887,0.7643,,2.6543,1.1166,0.6983,0.8711,0.6118,1.003,,1.0308,0.3289,0.1885,5389324606,2822350102,1855481191,1867320000,2965030049,7722190476,27580006000,6265051942,23073847160,1875547724,10205864135,2965030049,7722190476,27580006000,1875547724,23073847160,12.5196,71.487,228.2645,24.7689,29.3074,25.5637,63.1884,12.5743,22.5696,212.8632,27.3986,12.5059,14.1421,25.0378,127.1962,13.1055,1.0839,1.6977,0.77,2.3896,3.9008,2.3659,6.3763,2.3484,2.8152,13.1955,1.4773,1.6645,1.3088,2.5265,7.8849,1.6347,1.5272,3.3277,2.7964,2.0337,11.8149,7.6456,4.8731,4.262,7.0364,2.3748,5.3191,5.0416,4.2297,1.9309,1.4191,4.0858
2014/1/23,-0.6705,-1.1161,-0.2506,0,0.5624,0,-1.3514,-0.5556,-1.2949,0.7788,0.7587,-0.3221,0,-0.1359,0.1592,-0.3096,0.3824,0.7742,0.3212,0.7007,0.4111,,1.4771,0.8398,0.4297,0.7155,0.5191,0.2417,,0.3251,0.1851,0.0829,5353189288,2790850659,1850830862,1867320000,2981706259,7722190476,27207303216,6230246097,22775068680,1890154793,10283298612,2981706259,7722190476,27207303216,1890154793,22775068680,12.4357,70.6892,227.6924,24.7689,29.4723,25.5637,62.3345,12.5044,22.2774,214.521,27.6065,12.4697,14.1468,25.012,127.4404,13.0692,1.0766,1.6788,0.768,2.3896,3.9228,2.3659,6.2901,2.3353,2.7788,13.2983,1.4885,1.6597,1.3093,2.5239,7.9001,1.6302,1.5169,3.2906,2.7894,2.0337,11.8814,7.6456,4.8072,4.2383,6.9453,2.3933,5.3594,5.027,4.231,1.9289,1.4218,4.0745
2014/1/24,2.9894,4.0632,1.5075,1.3495,0.8949,0,1.8166,3.352,1.4908,0.1546,5.4217,-0.1616,0,3.4921,0.159,0.9317,0.8444,1.9306,0.4899,1.0075,0.4693,,1.7459,1.6858,0.5806,0.6437,0.964,0.2962,,0.7513,0.1602,0.1467,5513217126,2904248654,1878732835,1892520000,3008388194,7722190476,27701539516,6439081162,23114589680,1893076207,10840826850,3008388194,7722190476,27701539516,1893076207,23114589680,12.8074,73.5614,231.1249,25.1032,29.736,25.5637,63.4669,12.9236,22.6095,214.8526,29.1033,12.4349,14.1301,25.8549,127.4926,13.1754,1.1088,1.747,0.7796,2.4218,3.9579,2.3659,6.4044,2.4136,2.8202,13.3188,1.5692,1.6551,1.3077,2.609,7.9033,1.6434,1.5623,3.4243,2.8314,2.0611,11.9877,7.6456,4.8946,4.3804,7.0488,2.397,5.65,5.013,4.226,1.9939,1.4224,4.1076
2014/1/27,-1.8727,-2.82,-0.2475,-0.2663,-1.1086,0,1.4039,-1.982,0.6463,3.2407,-2.2857,-0.4854,0,-0.5259,0,-0.5538,0.4961,1.0738,0.2725,0.7345,0.3383,,1.455,0.8623,0.4322,1.24,0.592,0.2266,,0.5773,0.2027,0.0678,5409973359,2822350102,1874082506,1887480000,2975035775,7722190476,28090446769,6311459734,23263978920,1954425899,10593036522,2975035775,7722190476,28090446769,1954425899,23263978920,12.5676,71.487,230.5528,25.0364,29.4063,25.5637,64.3579,12.6674,22.7556,221.8154,28.438,12.3719,14.1271,25.7135,127.4655,13.0996,1.0881,1.6977,0.7777,2.4154,3.914,2.3659,6.4943,2.3657,2.8384,13.7504,1.5334,1.6467,1.3075,2.5947,7.9016,1.634,1.533,3.3277,2.8244,2.0556,11.8548,7.6456,4.9633,4.2936,7.0944,2.4747,5.5208,4.9876,4.2252,1.983,1.4221,4.084
2014/1/28,0.1908,1.1161,-1.4888,-0.6676,0.7848,0,6.1725,-0.1838,3.9696,-1.3453,0.2924,0,0,2.1145,-0.6349,0.8663,0.2311,0.7214,0.4681,0.3834,0.3135,,2.4072,0.5491,0.89,0.8796,0.4522,0.0981,,0.7548,0.163,0.1249,5420297736,2853849545,1846180534,1874880000,2998382468,7722190476,29824324937,6299857786,24187476040,1928133174,10624010313,2998382468,7722190476,29824324937,1928133174,24187476040,12.5916,72.2849,227.1203,24.8692,29.6371,25.5637,68.3304,12.6442,23.6589,218.8313,28.5212,12.3782,14.1343,26.2705,126.7205,13.2198,1.0901,1.7167,0.7661,2.3993,3.9447,2.3659,6.8952,2.3614,2.9511,13.5655,1.5378,1.6475,1.3081,2.6509,7.8555,1.649,1.5359,3.3649,2.7824,2.0419,11.9478,7.6456,5.2696,4.2857,7.376,2.4414,5.537,4.9901,4.2273,2.026,1.4138,4.1215
2014/1/29,-0.0952,-0.4415,-0.2519,1.2097,-1.5573,0,-0.7878,-0.5525,-0.6176,0.4545,-0.7289,-0.813,0,-0.5177,-0.9585,0.1227,0.2609,0.6418,0.163,0.694,0.3152,,1.4297,0.5117,0.4439,0.5941,0.4009,0.2397,,0.377,0.2281,0.0716,5415135548,2841249768,1841530205,1897560000,2951689082,7722190476,29589360138,6265051942,24038086800,1936897416,10546575836,2951689082,7722190476,29589360138,1936897416,24038086800,12.5796,71.9657,226.5482,25.1701,29.1756,25.5637,67.7921,12.5743,23.5128,219.826,28.3133,12.2816,14.1389,26.1431,125.547,13.2404,1.0891,1.7091,0.7642,2.4283,3.8833,2.3659,6.8408,2.3484,2.9328,13.6271,1.5266,1.6347,1.3085,2.6381,7.7827,1.6515,1.5345,3.35,2.7754,2.0666,11.7618,7.6456,5.2281,4.262,7.3304,2.4525,5.4966,4.9512,4.2287,2.0161,1.4007,4.1279
