ÈÕÆÚ,600759.SH,600777.SH,601857.SH
2014/7/11,7.9514,2.3786,6.7874
2014/7/14,7.8977,2.4681,6.8055
2014/7/15,7.8211,2.3734,6.8326
2014/7/16,7.8671,2.3839,6.8507
2014/7/17,7.66,2.3997,6.8236
2014/7/18,7.7981,2.3444,6.8326
2014/7/21,7.7061,2.3576,6.7874
2014/7/22,7.8134,2.355,6.8145
2014/7/23,7.6677,2.3155,6.8326
2014/7/24,7.5987,2.3155,6.9231
2014/7/25,7.5834,2.3129,6.9684
2014/7/28,7.6677,2.3313,7.1041
2014/7/29,7.6754,2.3707,7.0589
2014/7/30,7.8134,2.3602,7.2761
2014/7/31,7.7291,2.376,7.258
2014/8/1,7.7137,2.3707,7.2127
2014/8/4,7.9054,2.3523,7.2851
2014/8/5,8.2965,2.3497,7.267
2014/8/6,8.5802,2.3471,7.2218
2014/8/7,8.4805,2.2971,7.1132
2014/8/8,8.6492,2.3155,7.1403
2014/8/11,8.6262,2.3023,7.2218
2014/8/12,8.7105,2.326,7.2127
2014/8/13,8.5572,2.4234,7.1856
2014/8/14,9.1476,2.4102,7.1222
2014/8/15,9.0326,2.4181,7.1856
2014/8/18,9.1859,2.4471,7.1946
2014/8/19,9.1706,2.4497,7.258
2014/8/20,9.2013,2.4497,7.1946
2014/8/21,9.2779,2.497,7.1313
2014/8/22,9.462,2.7075,7.1494
2014/8/25,9.3393,2.6654,7.1765
2014/8/26,9.2243,2.697,7.1403
2014/8/27,9.4313,2.7496,7.1584
2014/8/28,9.439,2.6233,7.1765
2014/8/29,9.2549,2.6286,7.1403
2014/9/1,9.1246,2.6418,7.1584
2014/9/2,9.1476,2.6576,7.1946
2014/9/3,9.1092,2.6681,7.2851
2014/9/4,9.3393,2.6576,7.3213
2014/9/5,9.2089,2.6418,7.3485
2014/9/9,9.2549,2.6786,7.3213
2014/9/10,9.2779,2.7339,7.267
2014/9/11,9.1936,2.7917,7.258
2014/9/12,9.1936,2.8338,7.2942
2014/9/15,9.1476,2.747,7.3032
2014/9/16,8.9099,2.676,7.267
2014/9/17,9.1246,2.7049,7.2851
2014/9/18,9.1399,2.6839,7.267
2014/9/19,9.0326,2.7444,7.3132
2014/9/22,8.9866,2.7286,7.1653
2014/9/23,8.9712,2.897,7.1746
2014/9/24,9.1706,2.9207,7.2485
2014/9/25,9.0939,2.9233,7.23
2014/9/26,8.9942,2.9338,7.2023
2014/9/29,8.9099,2.9075,7.2115
2014/9/30,8.8715,3.0338,7.2023
2014/10/8,8.9636,3.1233,7.2208
2014/10/9,8.9559,3.2391,7.2485
2014/10/10,8.8639,3.3864,7.2023
2014/10/13,8.6569,3.2417,7.1653
2014/10/14,8.5802,3.1338,7.1561
2014/10/15,8.5802,3.1391,7.1653
2014/10/16,8.0971,3.2943,7.1468
2014/10/17,8.5495,3.1549,7.1098
2014/10/20,8.5035,3.0101,7.1191
2014/10/21,8.4958,3.0286,7.1006
2014/10/22,8.5572,2.9154,7.0914
2014/10/23,8.6338,2.7391,7.0081
2014/10/24,8.8409,2.776,7.0081
2014/10/27,8.7642,2.7839,6.9897
2014/10/28,8.7489,2.8391,7.0636
2014/10/29,8.7259,2.8917,7.1098
2014/10/30,8.8025,2.8917,7.1468
2014/10/31,8.7872,2.8996,7.2485
2014/11/3,8.9636,2.9628,7.23
2014/11/4,8.6492,2.9128,7.1931
2014/11/5,8.5188,2.897,7.1838
2014/11/6,8.4805,2.9444,7.2023
2014/11/7,8.3578,2.8786,7.1653
2014/11/10,8.2581,2.8865,7.267
2014/11/11,8.3195,2.7339,7.3225
2014/11/12,8.3501,2.8154,7.2948
2014/11/13,8.5188,2.918,7.3225
2014/11/14,8.7182,3.0654,7.2393
2014/11/17,8.7182,3.0654,7.2485
2014/11/18,8.7182,3.0891,7.1561
2014/11/19,8.7182,3.1075,7.1283
2014/11/20,8.7182,3.0601,7.1283
2014/11/21,8.7182,3.0759,7.1653
2014/11/24,8.7182,3.1364,7.23
2014/11/25,8.7182,3.1364,7.2578
2014/11/26,8.5802,3.1364,7.378
2014/11/27,8.3348,3.1364,7.3872
2014/11/28,8.4268,3.1364,7.5536
2014/12/1,8.1585,3.1364,7.5536
2014/12/2,8.1661,3.1364,7.7385
2014/12/3,8.1201,3.1364,7.7385
2014/12/4,8.3501,3.1364,8.5152
2014/12/5,8.1968,3.1364,9.3565
2014/12/8,8.0434,3.1364,9.5414
2014/12/9,7.7521,3.1364,8.7833
2014/12/10,7.7904,3.1364,8.7833
2014/12/11,7.7214,3.1364,8.5891
2014/12/12,7.9131,3.1364,8.6446
2014/12/15,8.1891,3.1364,8.5337
2014/12/16,8.0894,3.1364,8.8388
2014/12/17,8.0358,3.1364,9.0422
2014/12/18,7.9131,3.1364,9.0514
2014/12/19,7.8441,3.1364,9.3195
2014/12/22,7.637,3.1364,9.5784
2014/12/23,7.591,3.1364,9.0422
2014/12/24,7.591,3.1364,8.7648
2014/12/25,7.591,3.1364,9.0976
2014/12/26,7.591,3.1364,9.3565
2014/12/29,7.591,3.1364,9.5507
2014/12/30,7.591,3.1364,9.6616
2014/12/31,7.591,3.1364,9.9945
2015/1/5,7.591,3.1364,10.993
2015/1/6,7.591,3.1364,10.8081
