ÈÕÆÚ,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH
2014/1/16,-0.1661,-1.0929,0.5974,0.2883,0.6652,-0.9357,-0.4167,-0.146,2.2959,0.1916,0.3884,0.3388,1.1143,4.3426,0.14,0.9141,0.7467,1.3652,1.3776,1.1151,1919913486,8645422887,2002348412,830804647.2,,2974872082,1379626174,2921022000,2040437324,3765687874,35.3533,92.9393,36.0174,32.2901,22.0073,52.7812,23.4811,18.9401,-52.2358,33.2364,2.2941,3.7325,1.507,2.0141,1.7588,1.929,2.841,3.8011,9.5187,1.3092,6.4834,3.4377,3.3358,1.3608,1.7163,1.3467,2.9686,4.6813,173.7878,3.9414
2014/1/17,-1.6639,1.1839,0.2375,-2.6833,-1.1013,0.8264,-2.5941,-3.0702,-2.2444,-2.1033,0.2894,0.4298,1.0705,3.4431,0.0486,1.4563,0.6166,1.2469,1.0272,0.4661,1887968170,8747775960,2007104584,808511853.6,,2999457802,1343836708,2831341500,1994641973,3686486026,34.7651,94.0396,36.1029,31.4237,21.7558,53.2174,22.872,18.3586,-51.0634,32.5374,2.2559,3.7767,1.5106,1.96,1.7387,1.945,2.7673,3.6844,9.305,1.2816,6.3755,3.4784,3.3437,1.3243,1.6967,1.3579,2.8916,4.5376,169.8873,3.8585
2014/1/20,0.3384,-0.624,-1.3033,0.6893,0,2.3419,0,0.3017,-1.7857,0,0.216,0.2603,0.6971,2.677,0.0475,2.3094,0.3984,1.0653,0.8873,0.4691,1894357233,8693187654,1980945638,814085052,,3069702716,1343836708,2839882500,1959023366,3686486026,34.8827,93.4528,35.6324,31.6403,21.7672,54.4637,22.872,18.414,-50.1516,32.5374,2.2636,3.7531,1.4909,1.9735,1.7396,1.9905,2.7673,3.6955,9.1389,1.2816,6.3971,3.4567,3.3001,1.3334,1.6976,1.3897,2.8916,4.5513,166.8536,3.8585
2014/1/21,0.6745,1.2559,0.8403,1.2714,1.1136,-3.5469,2.0619,1.8045,1.2987,2.1484,0.2705,0.2821,0.5463,3.126,0.0632,2.332,0.6102,1.0466,0.9506,1.3723,1907135359,8802364265,1997592240,824435277.6,,2960823100,1371544681,2891128500,1984465228,3765687874,35.118,94.6264,35.9318,32.0426,22.0017,52.5319,23.3436,18.7463,-50.8029,33.2364,2.2788,3.8002,1.5034,1.9986,1.7584,1.9199,2.8244,3.7622,9.2576,1.3092,6.4402,3.5001,3.3279,1.3504,1.7159,1.3404,2.9512,4.6334,169.0205,3.9414
2014/1/22,2.3451,2.2481,2.0238,1.9797,0.2203,2.0166,2.3569,2.6588,3.5897,1.5296,0.5108,0.5495,1.3167,4.9637,0.1288,1.8228,1.7154,1.8839,1.7493,1.5699,1951858801,9000246873,2038019702,840756787.2,,3020531276,1403870650,2967997500,2055702442,3823289219,35.9415,96.7537,36.659,32.6769,22.0566,53.5913,23.8938,19.2447,-52.6266,33.7448,2.3323,3.8857,1.5339,2.0382,1.7628,1.9586,2.8909,3.8622,9.5899,1.3292,6.5912,3.5788,3.3952,1.3771,1.7202,1.3674,3.0207,4.7566,175.0879,4.0017
2014/1/23,-0.8183,-0.4549,0.8168,0.3788,0,10,0.7401,-0.5755,0.495,-0.3766,0.3954,0.5017,1.2235,5.1507,0.1314,4.7462,1.4913,1.5374,1.4807,0.9664,1935886144,8959305643,2054666304,843941472,,3322584404,1414261140,2950915500,2065879186,3808888883,35.6474,96.3136,36.9584,32.8007,22.0611,58.9504,24.0706,19.134,-52.8871,33.6177,2.3132,3.868,1.5464,2.0459,1.7631,2.1545,2.9123,3.84,9.6374,1.3242,6.5373,3.5625,3.423,1.3823,1.7205,1.5041,3.0431,4.7293,175.9547,3.9866
2014/1/24,2.1452,2.9703,0.463,1.7453,0.2198,2.7484,-0.0816,1.4472,0.4926,0.7561,0.5707,0.6682,1.3085,5.6631,0.1369,5.4527,1.3683,1.9541,1.781,1.2057,1977415054,9225423633,2064178648,858670639.2,,3413902791,1413106641,2993620500,2076055931,3837689555,36.4121,99.1744,37.1295,33.3732,22.0796,60.5706,24.051,19.4109,-53.1476,33.8719,2.3628,3.9829,1.5536,2.0816,1.7646,2.2137,2.91,3.8956,9.6848,1.3342,6.6775,3.6684,3.4388,1.4064,1.7219,1.5455,3.0406,4.7977,176.8215,4.0167
2014/1/27,-0.8078,-0.3698,-1.9585,-1.8544,-0.2193,-2.2634,-1.8791,-0.428,-4.1667,-1.5009,0.3262,0.3875,1.2199,4.1549,0.138,2.6897,1.332,1.9458,2.4018,0.6674,1961442396,9191305942,2023751186,842747215.2,,3336633387,1386553167,2980809000,1989553601,3780088211,36.118,98.8076,36.4023,32.7543,22.0124,59.1997,23.599,19.3278,-50.9332,33.3635,2.3437,3.9682,1.5231,2.043,1.7592,2.1636,2.8553,3.8789,9.2813,1.3142,6.6236,3.6548,3.3715,1.3804,1.7167,1.5105,2.9835,4.7772,169.4539,3.9564
2014/1/28,-0.1629,-0.5197,2.5852,-1.3699,-0.8791,4,0.0833,0.7163,-1.2788,1.5238,0.344,0.3684,2.2209,3.157,0.0704,2.7097,1.067,1.6174,1.1757,0.9487,1958247865,9143541175,2076069078,831202732.8,,3470098722,1387707666,3002161500,1964111739,3837689555,36.0592,98.2941,37.3434,32.3056,21.8261,61.5677,23.6187,19.4663,-50.2818,33.8719,2.3399,3.9475,1.5625,2.015,1.7443,2.2502,2.8577,3.9067,9.1626,1.3342,6.6128,3.6358,3.4586,1.3614,1.7022,1.5709,2.986,4.8114,167.287,4.0167
2014/1/29,0.4894,-1.1194,-0.1145,1.0536,0,-0.5061,-0.1664,-0.569,0.7772,-0.7505,0.2981,0.2532,1.1849,3.253,0.111,2.3936,1.1837,1.3777,0.8864,0.5972,1967831459,9041188102,2073690992,839960616,,3452537494,1385398668,2985079500,1979376856,3808888883,36.2357,97.1938,37.3006,32.646,21.84,61.2561,23.5794,19.3555,-50.6726,33.6177,2.3514,3.9033,1.5607,2.0363,1.7454,2.2388,2.8529,3.8845,9.2338,1.3242,6.6452,3.5951,3.4546,1.3758,1.7033,1.563,2.981,4.784,168.5871,3.9866
