,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31
SW公交,-0.05376588683376862,0.17363602208376566,0.14045375783277844,0.4656206225207251,0.3968623377453986,0.5729830011270697,0.10460787191544635,0.32104938864169574,0.21130317386644248,0.21134547094201206,0.07556464525026332,0.30824862042378676,0.2613699169291122,0.35807838994687247,0.24691850155732026,-0.20899739144519114,-0.28581059257588326,-0.10031208284542845,-0.1055800785537778,0.1767186967317573,-0.008281119195708786,-0.08070463563128477
SW机场,0.09923205181428087,0.3060513685309911,0.5402864278738461,0.8661139319115434,0.8652659247371008,0.9455983971221116,0.8163441103044852,0.9008218106252069,1.0285663743131805,1.0352752630349644,1.0310129184710677,1.1578186173128158,1.2551806352101402,1.3554604431625004,1.4760819887574192,1.4252475202864046,1.5398589495806276,1.3608393490612427,1.4243384158653198,1.6783890844591771,1.8141972419978842,2.0100867967247824
SW港口,0.0017267614683642806,0.40145625224363285,0.598705936163715,1.0140231376246194,0.7048979040918391,0.7509419414414511,0.3999080639368564,0.31287414266034363,0.3342050228460268,0.3865441401531134,0.5227549482781706,0.7870738346163435,0.6658281287649734,0.8137934877380654,0.6276794317811767,0.5852622138415632,0.4644675628726035,0.3053745281866138,0.18165641873094462,0.5235272586693109,0.4553570697143837,0.3186858114761275
SW物流,0.16142299579868613,0.3360906383835959,0.5141127584325826,0.9573636528078009,0.9468747731024878,1.046160434228146,0.6819130718978557,0.7475915778094582,0.9062045752150903,1.012849616258677,0.7377438344139512,0.7493746809055974,0.7100801078566931,0.7241713576631691,0.4855541444654653,0.5972121718626735,0.7300814011706318,0.5106192999677447,0.3056902754535007,0.5127066152741961,0.4249199073849174,0.42774933995176206
SW航空运输,0.09711768419020751,0.46427026499132545,0.8040871166074124,1.412195534184956,1.5168436915673114,1.4444676846767854,1.1788488911063486,1.2392343152186773,1.3861442959846861,1.2629980581061748,1.2168080212302317,1.2092444628387038,1.248136252444988,1.3195926816461203,1.6249153536673582,1.5107069264561876,1.2574689179926712,1.0514459980850681,1.1041933755597562,1.2993924506396048,1.149068092087015,1.0898308762210185
SW航运,0.07617915799135251,0.33521040907653255,0.4688467241003713,1.2121876012631763,0.935336065369244,0.9456671728361835,0.21055696854720396,0.28415759667049867,0.17014550396813988,0.1618763062259274,0.15215914310036352,0.1670605511133429,0.3436353219414088,0.3322389840743722,0.21981511136390108,0.1195667681857212,-0.05668069886035934,-0.08469968076549222,-0.04421709642104543,0.15418219800637992,0.03445909522173558,0.0918984686319213
SW铁路运输,0.10171389510584518,0.33291717472268445,0.6300697872982823,1.0576198286169434,0.8898885374318769,0.8396164758944481,0.5244525755328636,0.6991272705333149,0.6005634257755852,0.7060634698967395,0.8374273867616757,0.7279385055670888,0.9064214771269186,0.9468325141673529,0.8852635766410268,0.7505912448810158,0.8703197004232186,0.7150710211776264,0.7130688041889999,0.8521106406553807,0.7123468152887129,0.6567824084978844
SW高速公路,0.10736376261641772,0.2943239076321289,0.5333468517680436,1.0217076035433228,0.81321878644086,0.8286709881064798,0.5528176498932434,0.7054011638180098,0.672400957965735,0.7201145029835248,1.1192624542048932,1.075744433895156,1.021955516202425,0.9863115326739539,0.8622483823154079,0.6900387217299873,0.5201557444053744,0.45272315497234145,0.4893428122908659,0.7042815139675498,0.6246194478237966,0.5793850882694581
SW旅游综合,0.20041086529991728,0.3851996979885215,0.6304170147872978,1.0533848385287528,1.3338113966230705,1.4643008799376576,1.0424749823434,0.9978053099501937,1.0468140558578627,0.9668633253223462,0.826984019571743,0.7537755348652628,0.7226859704410467,0.9332328088985002,0.8971991908012952,0.8240796593466437,0.8287040457467696,0.6327672621376608,0.6428867818293155,0.90574432799375,0.8885562651194874,0.82392166853337
SW景点,0.13707697264550914,0.3070454250731721,0.39080535778524245,0.9142677781606372,1.111770090059103,1.0734584976834405,0.9627535246052609,1.0782954435764383,0.9701426340719614,1.1175269773595065,0.9672451799716276,0.8992058550552897,0.834685124532574,0.7880236481275562,0.6157570486704292,0.6385306875520959,0.8254887398638318,0.6457604793277889,0.6594438776886947,0.9319587280386279,0.8522243203193605,0.8984025533849227
