,涨跌幅,换手率,流通市值,PE,PB,PS
SW其他采掘,0.3,0.2,0.2,0.1,0.1,0.1
SW煤炭开采,0.3,0.2,0.2,0.1,0.1,0.1
SW石油开采,0.3,0.2,0.2,0.1,0.1,0.1
SW采掘服务,0.3,0.3,0.1,0.1,0.1,0.1
SW钢铁,0.3,0.3,0.1,0.1,0.1,0.1
SW银行,0.3,0.2,0.2,0.1,0.1,0.1
SW保险,0.3,0.2,0.2,0.1,0.1,0.1
SW多元金融,0.3,0.2,0.2,0.1,0.1,0.1
SW证券,0.3,0.2,0.2,0.1,0.1,0.1
SW食品加工,0.3,0.2,0.2,0.1,0.1,0.1
SW饮料制造,0.3,0.2,0.2,0.1,0.1,0.1
