ÈÕÆÚ,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH
2014/1/16,-1.2853,4.4061,-0.0712,-2.1774,-0.1748,0.1379,0,,0,1.659,3.125,,2.5298,1.0431,0.7676,2.6087,0.1936,0.4806,,,0.2597,1.3365,5.9691,,2303673446,5012740200,1820506681,6292793224,2083449040,15265095339,721548193.8,,2303673446,14432547879,16734292087,,102.3682,69.8878,489.2712,242.5393,-41.5162,24.3944,25.3822,,57.5214,9.1179,32.6977,,1.133,3.5589,3.6834,6.5579,1.4727,4.0539,2.4811,,0.6367,1.4596,1.1932,,0.2311,2.0289,1.6229,4.2351,0.8372,2.2892,2.3457,,0.1298,0.5068,0.2846,
2014/1/17,-2.0833,-1.1927,0.7835,-0.1649,-1.9264,0.1377,0,,-1.4599,-1.5413,-3.8567,,1.4254,0.5692,1.122,1.4387,0.3433,0.206,,,0.1179,0.8859,5.2132,,2255680250,4952955225,1834769910,6282417638,2043312544,15286121641,721548193.8,,2255680250,14210106071,16088892392,,100.2355,69.0543,493.1045,242.1394,-40.7164,24.428,25.3822,,56.6579,8.9774,31.4366,,1.1094,3.5164,3.7123,6.5471,1.4443,4.0595,2.4811,,0.6271,1.4371,1.1471,,0.2263,2.0047,1.6356,4.2282,0.821,2.2924,2.3457,,0.1279,0.499,0.2736,
2014/1/20,-1.8617,3.0641,-1.6961,-6.1107,-2.6786,1.9257,0,,0,0,0,,0.8388,0.8956,0.6623,2.6458,0.3091,0.5405,,,0.1944,0.5863,6.5855,,2213686202,5104717084,1803650137,5898520937,1988580958,15580489871,721548193.8,,2213686202,14210106071,16088892392,,98.3694,71.1702,484.7409,227.3431,-39.6258,24.8984,25.3822,,56.6874,8.9774,31.4366,,1.0888,3.6242,3.6493,6.147,1.4056,4.1377,2.4811,,0.6274,1.4371,1.1471,,0.2221,2.0661,1.6079,3.9698,0.7991,2.3365,2.3457,,0.128,0.499,0.2736,
2014/1/21,1.626,1.3514,-0.7908,0.1759,1.6514,2.1592,0,,1.4815,0.5525,-2.2923,,0.7986,0.5483,0.7042,2.5438,0.225,0.4445,,,0.4347,0.9119,4.1729,,2249681100,5173699748,1789386908,5908896523,2021419910,15916910705,721548193.8,,2249681100,14288614944,15720092566,,99.9689,72.1319,480.9076,227.743,-40.2801,25.436,25.3822,,57.5068,9.027,30.716,,1.1065,3.6732,3.6205,6.1579,1.4289,4.227,2.4811,,0.6365,1.445,1.1208,,0.2257,2.094,1.5952,3.9768,0.8122,2.387,2.3457,,0.1298,0.5017,0.2674,
2014/1/22,1.6,0.8,2.1014,2.9851,4.3321,0.1321,0,,1.0949,2.381,6.1584,,1.9146,0.9653,0.5886,3.4109,0.4707,0.5685,,,0.4481,1.1957,8.4595,,2285675998,5215089345,1826989967,6085281494,2108990447,15937937007,721548193.8,,2285675998,14628820062,16688192108,,101.5684,72.709,491.0136,234.5413,-42.0251,25.4696,25.3822,,58.1534,9.2419,32.6076,,1.1242,3.7025,3.6966,6.3417,1.4908,4.2326,2.4811,,0.6436,1.4794,1.1899,,0.2293,2.1108,1.6287,4.0955,0.8474,2.3901,2.3457,,0.1313,0.5137,0.2838,
2014/1/23,-0.7874,-1.0582,-0.9226,3.8363,-0.692,0.4617,0,,-0.361,0.3578,-2.2099,,1.3572,0.8332,0.6148,3.4287,0.3928,0.5059,,,0.1516,1.3222,4.4234,,2267678549,5159903215,1810133423,6318732191,2094395358,16011529064,721548193.8,,2267678549,14681159311,16319392283,,100.7687,71.9396,486.4833,243.539,-41.7343,25.5872,25.3822,,57.9552,9.275,31.887,,1.1153,3.6634,3.6625,6.585,1.4804,4.2522,2.4811,,0.6415,1.4847,1.1636,,0.2275,2.0884,1.6137,4.2526,0.8416,2.4012,2.3457,,0.1308,0.5155,0.2776,
2014/1/24,7.4074,-1.8717,1.6476,0.0821,0,6.4347,0,,1.8116,1.2478,-2.2599,,4.3059,1.185,1.1538,3.4812,0.3186,1.3623,,,0.8992,1.1286,4.2634,,2435654738,5063327486,1839956538,6323919984,2094395358,17041817868,721548193.8,,2435654738,14864346682,15950592457,,108.233,70.5931,494.4985,243.739,-41.7343,27.2337,25.3822,,58.925,9.3907,31.1664,,1.1979,3.5948,3.7228,6.5904,1.4804,4.5258,2.4811,,0.6522,1.5033,1.1373,,0.2443,2.0493,1.6402,4.2561,0.8416,2.5557,2.3457,,0.133,0.5219,0.2713,
2014/1/27,-2.7094,4.178,-1.6209,-0.4922,-0.1742,-0.1851,0,,-0.7117,1.6725,1.7341,,2.9975,1.0507,0.7367,2.9875,0.3806,0.7508,,,0.2743,1.8657,4.3572,,2369664092,5274874320,1810133423,6292793224,2090746585,17010278415,721548193.8,,2369664092,15112958114,16227192326,,105.3006,73.5425,486.4833,242.5393,-41.6616,27.1833,25.3822,,58.4558,9.5478,31.7069,,1.1655,3.745,3.6625,6.5579,1.4779,4.5174,2.4811,,0.647,1.5284,1.157,,0.2377,2.135,1.6137,4.2351,0.8401,2.5509,2.3457,,0.132,0.5307,0.276,
2014/1/28,1.2658,-1.3078,1.1461,-3.1327,0,-1.6069,0,,0.3584,-0.7792,-2.8409,,1.8495,0.5821,0.5646,2.7309,0.3309,0.63,,,0.2397,0.9843,2.8677,,2399659840,5205891657,1830879938,6095657081,2090746585,16736936488,721548193.8,,2399659840,14995194804,15766192544,,106.6335,72.5807,492.0591,234.9412,-41.6616,26.7465,25.3822,,58.6847,9.4734,30.8061,,1.1802,3.696,3.7044,6.3525,1.4779,4.4448,2.4811,,0.6495,1.5165,1.1241,,0.2407,2.1071,1.6322,4.1025,0.8401,2.5099,2.3457,,0.1325,0.5265,0.2682,
2014/1/29,0,3.1802,-1.6997,0.0851,0.5236,-0.1256,0,,0.3571,0.4363,0.2924,,2.1059,0.9856,0.664,1.7312,0.2869,0.4095,,,0.2719,0.7678,2.841,,2399659840,5371450049,1799760166,6100844874,2101692902,16715910185,721548193.8,,2399659840,15060618865,15812292523,,106.6335,74.889,483.6955,235.1411,-41.8797,26.7129,25.3822,,58.9317,9.5147,30.8962,,1.1802,3.8136,3.6415,6.3579,1.4856,4.4392,2.4811,,0.6523,1.5231,1.1274,,0.2407,2.1741,1.6044,4.106,0.8445,2.5068,2.3457,,0.133,0.5288,0.2689,
