ÈÕÆÚ,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH
2014/1/30,0.2451,-0.4444,-0.4474,-0.755,0.0639,0.1317,0.3293,0.1946,6919166322,7728000000,14597909900,4306332600,13.7756,8.635,13.7357,9.787,0.8881,1,1.5181,1.6873,2.7173,1.5031,4.9327,3.4337
2014/2/7,1.7115,-0.4464,-0.3745,0.4841,0.1602,0.18,0.4282,0.2954,7037587261,7693500000,14543236080,4327179300,14.0113,8.5965,13.6842,9.8343,0.9033,0.9955,1.5124,1.6955,2.7638,1.4964,4.9143,3.4503
2014/2/10,1.4423,1.9432,2.7068,2.4088,0.2329,0.5324,1.0361,0.5898,7139090924,7843000000,14936887583,4431412800,14.2134,8.7635,14.0546,10.0712,0.9163,1.0149,1.5534,1.7364,2.8037,1.5255,5.0473,3.5334
2014/2/11,0.237,0.1466,1.1713,1.9489,0.2055,0.3625,1.1134,0.8735,7156008201,7854500000,15111843807,4517777700,14.2471,8.7764,14.2192,10.2675,0.9185,1.0164,1.5716,1.7702,2.8103,1.5277,5.1064,3.6023
2014/2/12,0.2364,2.489,-0.7959,2.1094,0.2446,0.6879,0.8011,1.1884,7172925478,8050000000,14991561403,4613076900,14.2808,8.9948,14.1061,10.4841,0.9206,1.0417,1.5591,1.8075,2.817,1.5657,5.0658,3.6783
2014/2/13,-0.2358,1.8571,0.0729,0.5165,0.2673,2.0744,0.9408,1.697,7156008201,8199500000,15002496167,4636901700,14.2471,9.1619,14.1163,10.5382,0.9185,1.061,1.5602,1.8169,2.8103,1.5948,5.0695,3.6973
2014/2/14,0.4728,0.1403,0.5102,0.7707,0.1817,0.7437,0.5673,0.9468,7189842755,8211000000,15079039515,4672638900,14.3145,9.1747,14.1884,10.6195,0.9228,1.0625,1.5682,1.8309,2.8236,1.5971,5.0953,3.7258
2014/2/17,-0.4706,-0.4202,-0.3626,0.2549,0.4033,0.6019,0.8135,0.7192,7156008201,8176500000,15024365695,4684551300,14.2471,9.1362,14.1369,10.6465,0.9185,1.058,1.5625,1.8355,2.8103,1.5904,5.0768,3.7353
2014/2/18,-1.182,-0.7032,-1.0189,-0.3179,0.3071,0.6215,0.898,0.7735,7071421815,8119000000,14871278999,4669660800,14.0787,9.0719,13.9929,10.6127,0.9076,1.0506,1.5466,1.8297,2.7771,1.5792,5.0251,3.7234
2014/2/19,0.7177,0.5666,0.3676,0.1276,0.2553,0.7858,0.5751,0.7755,7122173646,8165000000,14925952819,4675617000,14.1797,9.1233,14.0443,10.6262,0.9141,1.0565,1.5522,1.832,2.797,1.5881,5.0436,3.7282
2014/2/20,-0.7126,0,1.0989,-3.2484,0.3182,1.0579,1.5298,0.7032,7071421815,8165000000,15089974279,4523733900,14.0787,9.1233,14.1987,10.2811,0.9076,1.0565,1.5693,1.7725,2.7771,1.5881,5.099,3.6071
2014/2/21,-0.7177,-1.6901,-1.3768,1.0533,0.173,0.4637,0.7515,0.4889,7020669984,8027000000,14882213763,4571383500,13.9776,8.9691,14.0032,10.3893,0.9011,1.0387,1.5477,1.7912,2.7572,1.5613,5.0288,3.645
2014/2/24,-1.4458,2.7221,-3.1594,-1.3681,0.2218,1.3316,0.8398,0.3537,6919166322,8245500000,14412018912,4508843400,13.7756,9.2133,13.5607,10.2472,0.8881,1.0669,1.4988,1.7667,2.7173,1.6038,4.8699,3.5952
2014/2/25,-1.956,-1.9526,-2.2762,-3.0383,0.2208,1.1253,0.9172,0.4725,6783828105,8084500000,14083975993,4371850800,13.5061,9.0334,13.2521,9.9359,0.8707,1.0461,1.4647,1.713,2.6641,1.5725,4.7591,3.4859
2014/2/26,0.2494,-0.569,-0.3882,-1.9074,0.1268,0.773,0.8082,0.7272,6800745382,8038500000,14029302174,4288464000,13.5398,8.982,13.2006,9.7464,0.8729,1.0402,1.459,1.6803,2.6708,1.5635,4.7406,3.4195
2014/2/27,0,-0.4292,0.0779,-0.0694,0.1964,0.4433,0.9979,0.5256,6800745382,8004000000,14040236937,4285485900,13.5398,8.9434,13.2109,9.7396,0.8729,1.0357,1.4601,1.6792,2.6708,1.5568,4.7443,3.4171
2014/2/28,0.7463,1.5805,-0.0779,0.5559,0.1194,0.5214,0.729,0.3647,6851497213,8130500000,14029302174,4309310700,13.6408,9.0848,13.2006,9.7937,0.8794,1.0521,1.459,1.6885,2.6907,1.5814,4.7406,3.4361
2014/3/3,0.9877,0.9901,1.1691,1.8659,0.1732,0.6759,0.9401,0.4964,6919166322,8211000000,14193323633,4389719400,13.7756,9.1747,13.355,9.9765,0.8881,1.0625,1.4761,1.72,2.7173,1.5971,4.796,3.5002
2014/3/4,-0.978,-0.4202,0.3082,2.1031,0.1719,0.4591,0.808,0.6117,6851497213,8176500000,14237062689,4482040500,13.6408,9.1362,13.3961,10.1863,0.8794,1.058,1.4806,1.7562,2.6907,1.5904,4.8108,3.5738
2014/3/5,-0.7407,-0.9845,0,-0.6645,0.1452,0.3848,0.4688,0.5721,6800745382,8096000000,14237062689,4452259500,13.5398,9.0462,13.3961,10.1186,0.8729,1.0476,1.4806,1.7445,2.6708,1.5747,4.8108,3.5501
2014/3/6,0.2488,0,0.2304,-1.806,0.2361,0.3982,0.4258,0.5772,6817662659,8096000000,14269866981,4371850800,13.5735,9.0462,13.427,9.9359,0.875,1.0476,1.484,1.713,2.6774,1.5747,4.8219,3.4859
2014/3/7,-0.7444,-0.5682,0.0766,-2.3161,0.1176,0.2991,0.573,0.7276,6766910828,8050000000,14280801745,4270595400,13.4724,8.9948,13.4373,9.7057,0.8685,1.0417,1.4851,1.6733,2.6575,1.5657,4.8256,3.4052
2014/3/10,-3.25,-3.8571,-2.4502,-3.5565,0.2142,0.5588,0.8749,0.5584,6546986226,7739500000,13930889298,4118712300,13.0346,8.6479,13.108,9.3606,0.8403,1.0015,1.4488,1.6138,2.5711,1.5054,4.7074,3.2841
2014/3/11,0,-0.1486,-1.7268,0.1446,0.1598,0.3256,1.2844,0.2994,6546986226,7728000000,13690324490,4124668500,13.0346,8.635,12.8817,9.3741,0.8403,1,1.4237,1.6162,2.5711,1.5031,4.6261,3.2889
2014/3/12,-0.2584,-0.8929,-0.2396,-0.0722,0.1086,0.3116,0.5362,0.2361,6530068949,7659000000,13657520199,4121690400,13.0009,8.5579,12.8508,9.3673,0.8381,0.9911,1.4203,1.615,2.5645,1.4897,4.615,3.2865
2014/3/13,0.2591,0.9009,-0.4804,1.5896,0.1209,0.2801,0.81,0.2947,6546986226,7728000000,13591911615,4187208600,13.0346,8.635,12.7891,9.5162,0.8403,1,1.4135,1.6407,2.5711,1.5031,4.5928,3.3387
2014/3/14,-1.292,-0.2976,-1.4481,-1.138,0.1642,0.2021,1.2229,0.2466,6462399841,7705000000,13395085863,4139559000,12.8662,8.6093,12.6039,9.4079,0.8294,0.997,1.393,1.622,2.5379,1.4986,4.5263,3.3007
2014/3/17,0.5236,0.8955,1.8776,1.9424,0.242,0.21,0.6333,0.2122,6496234395,7774000000,13646585435,4219967700,12.9335,8.6864,12.8405,9.5907,0.8338,1.0059,1.4192,1.6535,2.5512,1.5121,4.6113,3.3648
2014/3/18,-0.2604,0,0,-0.0706,0.2154,0.2452,0.4528,0.165,6479317118,7774000000,13646585435,4216989600,12.8998,8.6864,12.8405,9.5839,0.8316,1.0059,1.4192,1.6523,2.5446,1.5121,4.6113,3.3625
2014/3/19,0.7833,0.2959,0.5609,-0.2825,0.1059,0.2601,0.4002,0.1528,6530068949,7797000000,13723128782,4205077200,13.0009,8.7121,12.9125,9.5568,0.8381,1.0089,1.4272,1.6477,2.5645,1.5165,4.6371,3.353
2014/3/20,-1.0363,-1.6224,-1.4343,-1.983,0.1761,0.2302,0.8485,0.1914,6462399841,7670500000,13526303031,4121690400,12.8662,8.5708,12.7273,9.3673,0.8294,0.9925,1.4067,1.615,2.5379,1.4919,4.5706,3.2865
2014/3/21,1.5707,2.5487,1.536,2.3121,0.525,0.3751,0.6548,0.2481,6563903503,7866000000,13734063546,4216989600,13.0683,8.7892,12.9228,9.5839,0.8425,1.0178,1.4283,1.6523,2.5778,1.53,4.6408,3.3625
2014/3/24,1.2887,1.1696,1.8312,1.2712,0.4155,0.3348,0.6413,0.2956,6648489889,7958000000,13985563118,4270595400,13.2367,8.892,13.1595,9.7057,0.8533,1.0297,1.4544,1.6733,2.611,1.5479,4.7258,3.4052
2014/3/25,-0.2545,0,1.1728,-0.4184,0.3998,0.2452,1.0125,0.3115,6631572611,7958000000,14149584577,4252726800,13.203,8.892,13.3138,9.6651,0.8512,1.0297,1.4715,1.6663,2.6044,1.5479,4.7813,3.391
2014/3/26,-0.5102,-0.289,-0.0773,0.1401,0.1909,0.3516,0.4548,0.2206,6597738057,7935000000,14138649813,4258683000,13.1356,8.8663,13.3035,9.6787,0.8468,1.0268,1.4704,1.6687,2.5911,1.5434,4.7776,3.3957
