ÈÕÆÚ,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH
2014/2/7,0,1.3487,0.551,0,,0.4977,0.1332,0.247,4617177628,6867045057,1.08528E+11,14300159610,1340.8574,16.2947,8.5512,14.0688,34.4566,1.581,1.4081,0.6725,449.1079,1.6042,2.1138,1.1342
2014/2/10,0,1.9011,0.5479,2.3715,,1.0677,0.2469,0.6939,4617177628,6997597245,1.09122E+11,14639293830,1340.8574,16.6044,8.598,14.4024,34.4566,1.6111,1.4158,0.6884,449.1079,1.6347,2.1254,1.1611
2014/2/11,0,0.5597,0.545,0.3861,,1.1404,0.2327,0.4772,4617177628,7036762901,1.09717E+11,14695816200,1340.8574,16.6974,8.6449,14.458,34.4566,1.6201,1.4235,0.6911,449.1079,1.6439,2.137,1.1656
2014/2/12,0,0.5566,0,0.3846,,1.1826,0.1481,0.2967,4617177628,7075928557,1.09717E+11,14752338570,1340.8574,16.7903,8.6449,14.5136,34.4566,1.6291,1.4235,0.6937,449.1079,1.653,2.137,1.1701
2014/2/13,0,-0.9225,1.084,0.7663,,1.1521,0.2659,0.631,4617177628,7010652463,1.10906E+11,14865383310,1340.8574,16.6354,8.7386,14.6248,34.4566,1.6141,1.439,0.699,449.1079,1.6378,2.1601,1.179
2014/2/14,0,4.4693,4.1555,9.8859,,2.7355,0.5506,1.7931,4617177628,7323977713,1.15515E+11,16334964930,1340.8574,17.3789,9.1017,16.0706,34.4566,1.6862,1.4988,0.7681,449.1079,1.711,2.2499,1.2956
2014/2/17,0,-0.3565,-2.574,-1.3841,,2.187,1.2344,2.1054,4617177628,7297867276,1.12542E+11,16108875450,1340.8574,17.317,8.8675,15.8482,34.4566,1.6802,1.4602,0.7575,449.1079,1.7049,2.192,1.2777
2014/2/18,0,0.1789,-1.7173,-2.807,,1.6957,0.4287,0.9241,4617177628,7310922494,1.10609E+11,15656696490,1340.8574,17.3479,8.7152,15.4034,34.4566,1.6832,1.4351,0.7362,449.1079,1.7079,2.1543,1.2418
2014/2/19,0,-0.5357,-0.4032,0.361,,1.0785,0.3381,0.6178,4617177628,7271756838,1.10163E+11,15713218860,1340.8574,17.255,8.68,15.459,34.4566,1.6742,1.4293,0.7389,449.1079,1.6988,2.1456,1.2463
2014/2/20,0,0.3591,-0.6748,3.5971,,1.7501,0.3225,1.7295,4617177628,7297867276,1.0942E+11,16278442560,1340.8574,17.317,8.6215,16.015,34.4566,1.6802,1.4197,0.7655,449.1079,1.7049,2.1312,1.2911
2014/2/21,0,-2.5045,-2.5815,-3.8194,,1.1127,0.3496,0.885,4617177628,7115094213,1.06595E+11,15656696490,1340.8574,16.8833,8.3989,15.4034,34.4566,1.6381,1.383,0.7362,449.1079,1.6622,2.0761,1.2418
2014/2/24,0,-2.7523,-1.6736,-3.6101,,0.9008,0.2659,0.9229,4617177628,6919265932,1.04811E+11,15091472790,1340.8574,16.4186,8.2583,14.8473,34.4566,1.593,1.3599,0.7097,449.1079,1.6164,2.0414,1.197
2014/2/25,0,-2.6415,0.2837,-2.2472,,0.9507,0.2405,0.5882,4617177628,6736492870,1.05108E+11,14752338570,1340.8574,15.9849,8.2818,14.5136,34.4566,1.5509,1.3637,0.6937,449.1079,1.5737,2.0472,1.1701
2014/2/26,0,1.3566,-0.2829,2.2989,,0.8383,0.238,0.5157,4617177628,6827879401,1.04811E+11,15091472790,1340.8574,16.2017,8.2583,14.8473,34.4566,1.572,1.3599,0.7097,449.1079,1.5951,2.0414,1.197
2014/2/27,0,-0.3824,-0.5674,2.2472,,0.7577,0.351,0.9391,4617177628,6801768964,1.04216E+11,15430607010,1340.8574,16.1398,8.2115,15.1809,34.4566,1.566,1.3522,0.7256,449.1079,1.589,2.0298,1.2239
2014/2/28,0,0,-2.9957,-1.8315,,0.7718,0.3006,0.69,4617177628,6801768964,1.01094E+11,15147995160,1340.8574,16.1398,7.9655,14.9029,34.4566,1.566,1.3117,0.7123,449.1079,1.589,1.969,1.2015
2014/3/3,0,2.8791,0.4412,1.1194,,1.0282,0.2148,0.6425,4617177628,6997597245,1.0154E+11,15317562270,1340.8574,16.6044,8.0006,15.0697,34.4566,1.6111,1.3174,0.7203,449.1079,1.6347,1.9777,1.2149
2014/3/4,0,-0.7463,-0.2928,-1.845,,0.5156,0.1783,0.4813,4617177628,6945376370,1.01243E+11,15034950420,1340.8574,16.4805,7.9772,14.7917,34.4566,1.599,1.3136,0.707,449.1079,1.6225,1.9719,1.1925
2014/3/5,0,-0.7519,-1.0279,-1.1278,,0.579,0.1654,0.5789,4617177628,6893155495,1.00202E+11,14865383310,1340.8574,16.3566,7.8952,14.6248,34.4566,1.587,1.3001,0.699,449.1079,1.6103,1.9516,1.179
2014/3/6,0,0.3788,0,0.7605,,0.6003,0.2207,0.6445,4617177628,6919265932,1.00202E+11,14978428050,1340.8574,16.4186,7.8952,14.7361,34.4566,1.593,1.3001,0.7044,449.1079,1.6164,1.9516,1.188
2014/3/7,0,1.3208,-0.2967,-0.3774,,1.5194,0.1233,0.3002,4617177628,7010652463,99904838820,14921905680,1340.8574,16.6354,7.8718,14.6805,34.4566,1.6141,1.2962,0.7017,449.1079,1.6378,1.9458,1.1835
2014/3/10,0,-4.0968,-2.8274,-3.7879,,1.0158,0.1569,0.4596,4617177628,6723437651,97080148436,14356681980,1340.8574,15.9539,7.6492,14.1244,34.4566,1.5479,1.2596,0.6751,449.1079,1.5707,1.8908,1.1387
2014/3/11,0,-1.7476,-1.3783,-0.7874,,1.1033,0.2123,0.4204,4617177628,6605940682,95742137202,14243637240,1340.8574,15.6751,7.5438,14.0132,34.4566,1.5209,1.2422,0.6698,449.1079,1.5432,1.8648,1.1297
2014/3/12,0,0,-0.3106,-1.5873,,0.7447,0.1556,0.5111,4617177628,6605940682,95444801372,14017547760,1340.8574,15.6751,7.5203,13.7907,34.4566,1.5209,1.2384,0.6592,449.1079,1.5432,1.859,1.1118
2014/3/13,0,1.1858,0.1558,1.2097,,0.6297,0.2095,0.4041,4617177628,6684271995,95593469287,14187114870,1340.8574,15.861,7.5321,13.9576,34.4566,1.5389,1.2403,0.6671,449.1079,1.5615,1.8619,1.1252
2014/3/14,0,-0.9766,-2.1773,-1.1952,,0.419,0.2412,0.3443,4617177628,6618995901,93512118478,14017547760,1340.8574,15.7061,7.3681,13.7907,34.4566,1.5239,1.2133,0.6592,449.1079,1.5463,1.8213,1.1118
2014/3/17,0,1.3807,1.4308,0.8065,,0.6466,0.2365,0.2865,4617177628,6710382432,94850129713,14130592500,1340.8574,15.9229,7.4735,13.9019,34.4566,1.5449,1.2306,0.6645,449.1079,1.5676,1.8474,1.1208
2014/3/18,0,1.5564,0.1567,0.4,,1.4103,0.2475,0.4568,4617177628,6814824182,94998797627,14187114870,1340.8574,16.1707,7.4852,13.9576,34.4566,1.569,1.2326,0.6671,449.1079,1.592,1.8503,1.1252
2014/3/19,0,-0.1916,-0.7825,1.5936,,1.2223,0.1372,0.4478,4617177628,6801768964,94255458053,14413204350,1340.8574,16.1398,7.4266,14.18,34.4566,1.566,1.2229,0.6778,449.1079,1.589,1.8358,1.1432
2014/3/20,0,0.3839,0.6309,5.098,,2.8375,0.3095,1.9631,4617177628,6827879401,94850129713,15147995160,1340.8574,16.2017,7.4735,14.9029,34.4566,1.572,1.2306,0.7123,449.1079,1.5951,1.8474,1.2015
2014/3/21,0,2.1033,3.1348,3.3582,,1.8299,0.2543,1.7805,4617177628,6971486807,97823488011,15656696490,1340.8574,16.5425,7.7078,15.4034,34.4566,1.605,1.2692,0.7362,449.1079,1.6286,1.9053,1.2418
2014/3/24,0,0.1873,1.0638,0,,1.2239,0.1865,0.9984,4617177628,6984542026,98864163415,15656696490,1340.8574,16.5735,7.7898,15.4034,34.4566,1.608,1.2827,0.7362,449.1079,1.6317,1.9256,1.2418
2014/3/25,0,-0.9346,0.9023,-1.444,,1.0524,0.1791,0.905,4617177628,6919265932,99756170905,15430607010,1340.8574,16.4186,7.8601,15.1809,34.4566,1.593,1.2943,0.7256,449.1079,1.6164,1.9429,1.2239
2014/3/26,0,-0.9434,-1.1923,-1.4652,,0.6858,0.0965,0.4304,4617177628,6853989839,98566827585,15204517530,1340.8574,16.2637,7.7663,14.9585,34.4566,1.578,1.2789,0.715,449.1079,1.6012,1.9198,1.2059
2014/3/27,0,0.381,1.0558,0.3717,,0.7887,0.1232,0.4642,4617177628,6880100276,99607502990,15261039900,1340.8574,16.3256,7.8483,15.0141,34.4566,1.584,1.2924,0.7176,449.1079,1.6073,1.9401,1.2104
2014/3/28,0,-2.6565,-0.2985,-1.1111,,1.0227,0.1519,0.4723,4617177628,6697327214,99310167160,15091472790,1340.8574,15.8919,7.8249,14.8473,34.4566,1.5419,1.2885,0.7097,449.1079,1.5646,1.9343,1.197
2014/3/31,0,0.1949,0,-1.4981,,0.496,0.1073,0.3886,4617177628,6710382432,99310167160,14865383310,1340.8574,15.9229,7.8249,14.6248,34.4566,1.5449,1.2885,0.699,449.1079,1.5676,1.9343,1.179
2014/4/1,0,0.7782,0.2994,3.0418,,0.5546,0.1093,0.5477,4617177628,6762603307,99607502990,15317562270,1340.8574,16.0468,7.8483,15.0697,34.4566,1.5569,1.2924,0.7203,449.1079,1.5798,1.9401,1.2149
2014/4/2,0,2.1236,0.7463,2.583,,1.876,0.2204,1.5729,4617177628,6906210713,1.00351E+11,15713218860,1340.8574,16.3876,7.9069,15.459,34.4566,1.59,1.302,0.7389,449.1079,1.6134,1.9545,1.2463
2014/4/3,0,0.189,-2.6667,-2.518,,1.8434,0.3704,1.101,4617177628,6919265932,97674820096,15317562270,1340.8574,16.4186,7.6961,15.0697,34.4566,1.593,1.2673,0.7203,449.1079,1.6164,1.9024,1.2149
2014/4/4,0,-0.9434,1.2177,-0.738,,0.9172,0.14,0.7666,4617177628,6853989839,98864163415,15204517530,1340.8574,16.2637,7.7898,14.9585,34.4566,1.578,1.2827,0.715,449.1079,1.6012,1.9256,1.2059
2014/4/8,0,1.1429,0,1.487,,1.2925,0.3841,0.8915,4617177628,6932321151,98864163415,15430607010,1340.8574,16.4496,7.7898,15.1809,34.4566,1.596,1.2827,0.7256,449.1079,1.6195,1.9256,1.2239
2014/4/9,0,-0.1883,0.7519,0.7326,,0.854,0.257,0.7541,4617177628,6919265932,99607502990,15543651750,1340.8574,16.4186,7.8483,15.2921,34.4566,1.593,1.2924,0.7309,449.1079,1.6164,1.9401,1.2328
2014/4/10,0,0.7547,2.6866,1.0909,,1.4657,0.4384,1.2147,4617177628,6971486807,1.02284E+11,15713218860,1340.8574,16.5425,8.0592,15.459,34.4566,1.605,1.3271,0.7389,449.1079,1.6286,1.9922,1.2463
2014/4/11,0,0.7491,3.0523,0.3597,,1.77,0.5435,1.146,4617177628,7023707682,1.05406E+11,15769741230,1340.8574,16.6664,8.3052,15.5146,34.4566,1.6171,1.3676,0.7416,449.1079,1.6408,2.053,1.2508
2014/4/14,0,1.1152,-0.4231,-1.4337,,1.4721,0.2114,0.6321,4617177628,7102038995,1.0496E+11,15543651750,1340.8574,16.8523,8.27,15.2921,34.4566,1.6351,1.3618,0.7309,449.1079,1.6591,2.0443,1.2328
2014/4/15,0,-1.1029,-1.6997,-0.3636,,1.0478,0.1939,0.4171,4617177628,7023707682,1.03176E+11,15487129380,1340.8574,16.6664,8.1295,15.2365,34.4566,1.6171,1.3387,0.7283,449.1079,1.6408,2.0095,1.2284
2014/4/16,0,-0.3717,-0.8646,-0.365,,0.6377,0.2867,0.2638,4617177628,6997597245,1.02284E+11,15430607010,1340.8574,16.6044,8.0592,15.1809,34.4566,1.6111,1.3271,0.7256,449.1079,1.6347,1.9922,1.2239
2014/4/17,0,-0.5597,-0.5814,0,,0.5342,0.1489,0.3364,4617177628,6958431588,1.01689E+11,15430607010,1340.8574,16.5115,8.0123,15.1809,34.4566,1.602,1.3194,0.7256,449.1079,1.6256,1.9806,1.2239
2014/4/18,0,0.5629,-0.1462,-0.7326,,0.427,0.0965,0.3977,4617177628,6997597245,1.0154E+11,15317562270,1340.8574,16.6044,8.0006,15.0697,34.4566,1.6111,1.3174,0.7203,449.1079,1.6347,1.9777,1.2149
2014/4/21,0,-2.7985,-1.4641,-1.845,,1.0293,0.0893,0.3042,4617177628,6801768964,1.00054E+11,15034950420,1340.8574,16.1398,7.8835,14.7917,34.4566,1.566,1.2982,0.707,449.1079,1.589,1.9487,1.1925
2014/4/22,0,0.3839,0,-0.7519,,0.4778,0.1013,0.3962,4617177628,6827879401,1.00054E+11,14921905680,1340.8574,16.2017,7.8835,14.6805,34.4566,1.572,1.2982,0.7017,449.1079,1.5951,1.9487,1.1835
2014/4/23,0,-0.3824,0.8915,0,,0.4407,0.1446,0.2949,4617177628,6801768964,1.00946E+11,14921905680,1340.8574,16.1398,7.9538,14.6805,34.4566,1.566,1.3097,0.7017,449.1079,1.589,1.9661,1.1835
2014/4/24,0,-1.3436,-0.8837,-1.5152,,0.5302,0.0974,0.2741,4617177628,6710382432,1.00054E+11,14695816200,1340.8574,15.9229,7.8835,14.458,34.4566,1.5449,1.2982,0.6911,449.1079,1.5676,1.9487,1.1656
2014/4/25,0,-1.5564,-0.5944,-1.9231,,0.6013,0.1963,0.6918,4617177628,6605940682,99458835075,14413204350,1340.8574,15.6751,7.8366,14.18,34.4566,1.5209,1.2904,0.6778,449.1079,1.5432,1.9372,1.1432
2014/4/28,0,-0.5929,-0.5979,-1.1765,,0.6363,0.1355,0.4109,4617177628,6566775026,98864163415,14243637240,1340.8574,15.5822,7.7898,14.0132,34.4566,1.5119,1.2827,0.6698,449.1079,1.5341,1.9256,1.1297
2014/4/29,0,1.1928,-0.3008,0,,0.5207,0.1395,0.275,4617177628,6645106339,98566827585,14243637240,1340.8574,15.768,7.7663,14.0132,34.4566,1.5299,1.2789,0.6698,449.1079,1.5524,1.9198,1.1297
2014/4/30,0,0.5894,0.4525,0.3968,,0.4171,0.0762,0.3268,4617177628,6684271995,99012831330,14300159610,1340.8574,15.861,7.8015,14.0688,34.4566,1.5389,1.2847,0.6725,449.1079,1.5615,1.9285,1.1342
