ÈÕÆÚ,000028.SZ,000078.SZ,000411.SZ,000705.SZ,000950.SZ,002462.SZ,002589.SZ,002727.SZ,002758.SZ,002788.SZ,002872.SZ,200028.SZ,600056.SH,600090.SH,600272.SH,600511.SH,600713.SH,600829.SH,600833.SH,600998.SH,601607.SH,603233.SH,603368.SH,603716.SH,603883.SH,603939.SH,900943.SH
2014/2/13,53.1703,2.9857,10.451,8.5868,3.77,16.7855,4.9271,,,,,41.41,9.4517,6.6763,10.1994,22.055,6.4831,6.1315,8.5693,18.1999,12.5754,,,,,,0.6983
2014/2/14,55.1654,3.0368,10.5797,8.7059,3.97,18.0175,5.2291,,,,,43.0075,9.4973,6.7053,10.2583,23.1506,6.5689,6.2493,8.6471,18.0251,13.371,,,,,,0.6945
2014/2/17,55.1751,3.0839,11.5991,9.0286,4.21,18.8644,5.2718,,,,,42.6199,9.6294,6.7535,10.2779,22.7161,6.7691,6.2946,8.9292,17.6463,13.4162,,,,,,0.6954
2014/2/18,54.8846,3.025,11.51,9.1576,4.31,18.5757,5.2824,,,,,43.395,9.5064,6.657,10.1994,22.6217,6.7596,6.2583,8.8028,19.4139,13.362,,,,,,0.6945
2014/2/19,52.8604,3.1389,11.4803,9.0832,4.2,18.3158,5.5727,,,,,42.809,10.4584,6.9272,10.4054,22.055,6.9502,6.2764,8.7541,19.1905,13.5066,,,,,,0.705
2014/2/20,50.8459,3.0721,11.3319,8.7506,4.24,17.671,5.5439,,,,,41.032,10.053,6.7825,10.0523,21.9038,7.16,6.1497,8.5304,17.7726,13.3439,,,,,,0.6983
2014/2/21,49.5869,3.0957,11.4605,9.1824,3.99,17.8057,5.4532,,,,,39.4913,10.7864,6.7053,10.1014,21.4882,6.731,6.1406,8.511,17.656,13.0365,,,,,,0.6974
2014/2/24,49.3738,3.1507,11.6881,9.4405,3.95,18.5757,5.7402,,,,,39.6897,10.718,6.7246,10.3269,22.0361,6.6642,6.2764,8.8125,17.4618,13.2444,,,,,,0.6964
2014/2/25,48.4247,3.025,11.5397,8.9789,3.87,18.8356,5.4393,,,,,40.6444,10.176,6.5027,10.0621,20.7326,6.4259,6.2221,8.5401,15.7137,12.7291,,,,,,0.6926
2014/2/26,50.0518,2.97,11.5001,8.83,3.87,18.3928,5.2888,,,,,43.4801,10.3764,6.4641,10.0327,21.0254,6.4163,6.5482,8.3359,16.1119,12.7201,,,,,,0.683
2014/2/27,47.9405,3.0486,11.6486,8.5719,3.81,17.8057,5.0455,,,,,42.5349,10.7864,6.3483,10.1014,20.7137,6.0636,6.521,8.2872,16.2187,12.6387,,,,,,0.6811
2014/2/28,47.1753,3.0368,11.5793,8.7208,3.86,17.5362,5.101,,,,,41.7031,10.5905,6.4351,10.6309,20.6665,5.9968,6.4938,8.2678,16.1701,12.5212,,,,,,0.6868
2014/3/3,47.0494,3.0486,11.9257,8.7109,3.93,17.9693,5.165,,,,,41.6842,10.6998,6.5895,10.9644,21.3843,6.2066,6.5753,8.8028,16.9568,13.154,,,,,,0.6964
2014/3/4,45.6451,2.9857,11.9257,8.567,3.96,18.0463,5.1597,,,,,41.5802,10.4083,6.5606,10.8075,20.6476,6.3496,6.7746,8.8125,16.8888,13.2716,,,,,,0.6954
2014/3/5,44.5604,3.08,11.9554,8.9243,3.91,17.8923,5.1181,,,,,41.4006,10.4402,6.6377,10.6015,20.1187,6.2543,6.6568,8.6958,16.9471,13.0727,,,,,,0.6983
2014/3/6,45.1124,3.08,11.7079,8.9194,3.93,17.209,5.1288,,,,,40.6444,10.2853,6.6185,10.935,20.2037,6.3115,6.6116,8.7639,16.141,12.7834,,,,,,0.7031
2014/3/7,45.7129,3.3864,11.4209,9.0087,3.9,17.3245,5.1394,,,,,40.635,10.34,6.6474,10.9252,20.3642,6.2924,6.5391,8.7055,16.1022,12.8467,,,,,,0.6926
2014/3/10,45.0834,3.6968,10.8172,8.4379,3.72,17.3245,4.9569,,,,,39.1321,9.8298,6.2808,11.1703,19.9392,5.749,6.2312,8.2775,15.568,12.2409,,,,,,0.7022
2014/3/11,46.633,3.4336,10.7578,8.4925,4.03,17.44,4.9762,,,,,40.03,9.9528,6.3194,11.4351,19.1647,5.8062,6.213,8.297,14.8882,12.2952,,,,,,0.7156
2014/3/12,48.0373,3.3118,10.6391,8.3585,3.99,17.8346,4.9719,,,,,40.4554,9.8617,6.3194,11.1998,19.278,5.8634,6.1315,8.3553,15.3641,12.3223,,,,,,0.707
2014/3/13,49.1898,3.355,10.8073,8.4032,3.86,18.9607,5.005,,,,,40.7389,10.053,6.4834,10.9448,19.4292,5.9682,6.2946,8.5401,15.1698,12.4489,,,,,,0.7012
